##NAMES=Opal
##RRUFFID=X070003
##IDEAL CHEMISTRY=SiO_2_&#183;<i>n</i>H_2_O
##LOCALITY=Synthetic
##OWNER=Taka Yamanaka
##SOURCE=Taka Yamanaka
##DESCRIPTION=Black polished cab, with Raman spectra that match Libyan desert glass
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/X070003
615.3868, 70.44809
615.8689, 69.26465
616.3510, 66.82848
616.8331, 61.63638
617.3152, 56.33707
617.7974, 57.08501
618.2795, 62.31119
618.7616, 65.76924
619.2437, 60.75439
619.7258, 54.92429
620.2079, 55.36206
620.6901, 62.31616
621.1722, 66.45892
621.6543, 59.72508
622.1364, 52.35922
622.6185, 52.13820
623.1006, 67.07924
623.5828, 71.74004
624.0649, 60.09599
624.5470, 43.75603
625.0291, 37.42149
625.5112, 43.27502
625.9933, 46.90715
626.4755, 44.93578
626.9576, 40.41078
627.4397, 39.44701
627.9218, 41.74490
628.4039, 45.12209
628.8860, 50.45209
629.3682, 55.27948
629.8503, 54.63661
630.3324, 49.44368
630.8145, 46.09161
631.2966, 52.24986
631.7787, 58.97528
632.2609, 58.66884
632.7430, 47.60715
633.2251, 40.58177
633.7072, 44.65794
634.1893, 51.37637
634.6714, 53.60089
635.1536, 48.70331
635.6357, 45.03215
636.1178, 43.39580
636.5999, 43.14119
637.0820, 42.86331
637.5641, 42.28307
638.0463, 43.89613
638.5284, 49.84686
639.0105, 57.38741
639.4926, 61.12976
639.9747, 61.55923
640.4568, 60.81287
640.9390, 57.63336
641.4211, 54.23428
641.9032, 53.75578
642.3853, 56.37726
642.8674, 58.85561
643.3495, 60.13097
643.8317, 60.61028
644.3138, 60.62430
644.7959, 60.59779
645.2780, 59.91595
645.7601, 57.19353
646.2422, 53.78673
646.7244, 52.07991
647.2065, 52.94940
647.6886, 50.64520
648.1707, 42.69086
648.6528, 33.00702
649.1349, 29.80580
649.6171, 32.41408
650.0992, 35.89250
650.5813, 39.14003
651.0634, 41.25371
651.5455, 40.98445
652.0276, 38.50362
652.5098, 34.75357
652.9919, 27.17249
653.4740, 20.85759
653.9561, 19.84180
654.4382, 25.64204
654.9203, 29.78708
655.4025, 30.79524
655.8846, 30.23074
656.3667, 29.05157
656.8488, 27.33565
657.3309, 25.09738
657.8130, 21.89352
658.2952, 17.91185
658.7773, 12.76035
659.2594, 6.713409
659.7415, 3.841293
660.2236, 6.254974
660.7057, 10.59364
661.1879, 12.81673
661.6700, 13.16977
662.1521, 12.28621
662.6342, 8.263519
663.1163, 5.011124
663.5984, 6.176117
664.0806, 11.17772
664.5627, 14.10452
665.0448, 11.23598
665.5269, 7.767700
666.0090, 5.837646
666.4911, 5.658401
666.9733, 6.060394
667.4554, 7.107224
667.9375, 8.608704
668.4196, 10.67590
668.9017, 13.27747
669.3839, 15.24658
669.8660, 16.41957
670.3481, 16.92238
670.8302, 16.47122
671.3123, 15.48982
671.7944, 15.10260
672.2766, 16.92688
672.7587, 17.36668
673.2408, 11.64247
673.7229, 3.131729
674.2050, 1.671204
674.6871, 2.824097
675.1693, 7.158340
675.6514, 8.662735
676.1335, 7.846512
676.6156, 7.380875
677.0977, 7.636734
677.5798, 7.412872
678.0620, 5.185989
678.5441, 1.484329
679.0262, 3.091949
679.5083, 10.34676
679.9904, 17.13953
680.4725, 18.70201
680.9547, 16.56589
681.4368, 12.37737
681.9189, 5.954803
682.4010, 1.379044
682.8831, 3.044800
683.3652, 7.207550
683.8474, 9.987030
684.3295, 9.314880
684.8116, 9.159042
685.2937, 11.74606
685.7758, 14.43303
686.2579, 13.24220
686.7401, 6.109146
687.2222, 0.8115390
687.7043, 1.023010
688.1864, 0.4173430
688.6685, 0.5423280
689.1506, 1.830185
689.6328, 3.009995
690.1149, 3.887131
690.5970, 4.555588
691.0791, 4.760162
691.5612, 4.731247
692.0433, 5.610367
692.5255, 11.07315
693.0076, 15.20889
693.4897, 12.92595
693.9718, 3.121887
694.4539, 3.576340
694.9360, 4.389786
695.4182, 2.973831
695.9003, 0.5033870
696.3824, 4.099609
696.8645, 4.079239
697.3466, 2.332809
697.8287, 8.726990
698.3109, 6.431747
698.7930, 2.603897
699.2751, 7.578125
699.7572, 5.831467
700.2393, 2.447632
700.7214, 3.553406
701.2036, 6.477264
701.6857, 6.673065
702.1678, 2.483246
702.6499, 8.796173
703.1320, 4.345413
703.6141, 6.226669
704.0963, 10.99426
704.5784, 4.278809
705.0605, 0.3534090
705.5426, 0.7536010
706.0247, 6.098145
706.5068, 9.024124
706.9890, 9.390396
707.4711, 8.661636
707.9532, 6.841278
708.4353, 4.637344
708.9174, 4.421280
709.3995, 5.960510
709.8817, 6.981476
710.3638, 5.070541
710.8459, 2.491760
711.3280, 0.8042910
711.8101, 5.4581001E-02
712.2922, 1.566879
712.7744, 11.19888
713.2565, 19.04764
713.7386, 17.94305
714.2207, 2.106262
714.7028, 7.552658
715.1849, 9.734619
715.6671, 8.175201
716.1492, 6.589188
716.6313, 4.979553
717.1134, 3.302109
