##NAMES=Parasibirskite
##RRUFFID=R110009
##IDEAL CHEMISTRY=CaHBO_3_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Jin-Xiao Mi
##DESCRIPTION=Loose aggregate of colorless tabular crystals, mixed with CaLiBO3 crystals (R110010)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110009
680.2338, 0.2283940
680.7159, 0.4519040
681.1980, 1.022064
681.6801, 1.310242
682.1622, 1.247925
682.6443, 1.329346
683.1265, 2.018799
683.6086, 3.104126
684.0907, 3.509674
684.5728, 2.791351
685.0549, 2.355774
685.5370, 2.584320
686.0192, 2.970612
686.5013, 3.259827
686.9834, 3.470886
687.4655, 3.722107
687.9476, 4.147308
688.4297, 4.525024
688.9119, 4.692719
689.3940, 4.751434
689.8761, 4.854889
690.3582, 5.022369
690.8403, 4.985413
691.3224, 4.465332
691.8046, 3.632660
692.2867, 3.314728
692.7688, 4.503204
693.2509, 4.592102
693.7330, 2.041229
694.2151, 0.2215270
694.6973, 7.1075000E-02
695.1794, 1.758484
695.6615, 3.293640
696.1436, 3.744843
696.6257, 3.423981
697.1078, 2.081085
697.5900, 0.2182010
698.0721, 0.1602170
698.5542, 1.326019
699.0363, 2.873840
699.5184, 3.257355
700.0005, 2.736664
700.4827, 2.392944
700.9648, 2.381683
701.4469, 2.409088
701.9290, 2.552948
702.4111, 2.656982
702.8932, 2.785858
703.3754, 2.773163
703.8575, 2.153748
704.3396, 0.6886600
704.8217, 0.7102660
705.3038, 0.7939760
705.7859, 0.1880800
706.2681, 1.068085
706.7502, 1.749359
707.2323, 2.372589
707.7144, 3.084747
708.1965, 3.734009
708.6786, 3.936615
709.1607, 3.542664
709.6428, 3.167389
710.1249, 2.788330
710.6071, 2.495544
711.0892, 2.600708
711.5713, 2.748932
712.0534, 2.195343
712.5355, 0.7275700
713.0176, 0.7576900
713.4998, 1.316742
713.9819, 1.003448
714.4640, 6.5857001E-02
714.9461, 1.706879
715.4282, 2.606079
715.9103, 1.350525
716.3925, 0.5895390
716.8746, 0.8952330
717.3567, 0.5569460
717.8388, 2.069275
718.3209, 4.029602
718.8030, 5.442047
719.2852, 5.576569
719.7673, 4.994232
720.2494, 4.330811
720.7315, 3.803741
721.2136, 3.538544
721.6957, 3.786865
722.1779, 4.315826
722.6600, 4.151520
723.1421, 3.157776
723.6242, 2.570526
724.1063, 3.052063
724.5884, 3.695984
725.0706, 3.327881
725.5527, 2.030518
726.0348, 1.374542
726.5169, 2.204193
726.9990, 2.744781
727.4811, 1.776215
727.9633, 0.6154790
728.4454, 0.8495480
728.9275, 2.401581
729.4096, 4.001038
729.8917, 4.828461
730.3738, 5.087311
730.8560, 5.163605
731.3381, 5.032776
731.8202, 4.160156
732.3023, 2.105347
732.7844, 0.1583250
733.2665, 0.7005920
733.7487, 0.6918030
734.2308, 0.7869260
734.7129, 1.436554
735.1950, 1.427429
735.6771, 0.3129270
736.1592, 2.108826
736.6414, 2.513885
737.1235, 1.867432
737.6056, 1.197357
738.0877, 0.9568790
738.5698, 1.141693
739.0519, 1.879669
739.5341, 3.081604
740.0162, 3.923218
740.4983, 4.227661
740.9804, 4.903809
741.4625, 6.839874
741.9446, 9.001129
742.4268, 9.286346
742.9089, 7.326141
743.3910, 5.632416
743.8731, 4.780884
744.3552, 3.830078
