##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCu^2+^SiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
705.8533, 10.65625
706.3354, 27.57764
706.8175, 25.94775
707.2996, 24.16357
707.7817, 27.13525
708.2639, 30.55469
708.7460, 31.85596
709.2281, 31.89111
709.7102, 30.75879
710.1923, 28.85254
710.6744, 30.02539
711.1566, 40.91699
711.6387, 56.42871
712.1208, 59.63477
712.6029, 50.19775
713.0850, 36.12402
713.5671, 14.97461
714.0493, 3.947754
714.5314, 26.98291
715.0135, 83.57275
715.4956, 115.0269
715.9777, 109.4604
716.4598, 95.52051
716.9420, 64.39795
717.4241, 36.78076
717.9062, 31.66113
718.3883, 45.32861
718.8704, 61.06641
719.3525, 77.41016
719.8347, 80.99658
720.3168, 44.15576
720.7989, 11.02148
721.2810, 36.52637
721.7631, 27.18750
722.2452, 3.868164
722.7274, 21.29688
