##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
619.6295, 0.3163910
620.1116, 0.4566960
620.5937, 0.3095550
621.0758, 1.737595
621.5579, 2.656662
622.0400, 1.753860
622.5222, 0.7129520
623.0043, 0.6170350
623.4864, 1.797409
623.9685, 2.637436
624.4506, 2.636765
624.9327, 2.519547
625.4149, 2.790619
625.8970, 3.616257
626.3791, 4.351639
626.8612, 5.077942
627.3433, 5.532700
627.8254, 5.272034
628.3076, 4.304474
628.7897, 3.087906
629.2718, 1.440765
629.7539, 0.2518620
630.2360, 1.111313
630.7181, 3.427521
631.2003, 5.735779
631.6824, 8.255951
632.1645, 9.750565
632.6466, 8.630554
633.1287, 5.349640
633.6108, 2.717514
634.0930, 1.949066
634.5751, 1.735245
635.0572, 1.383148
635.5393, 0.6844480
636.0214, 0.9591670
636.5035, 2.969193
636.9857, 5.041275
637.4678, 5.564865
637.9499, 4.179886
638.4320, 4.209213
638.9141, 6.252731
639.3962, 8.550827
639.8784, 8.420120
640.3605, 6.404984
640.8426, 5.085220
641.3247, 5.530258
641.8068, 6.326508
642.2889, 5.527435
642.7711, 3.884644
643.2532, 3.142731
643.7353, 5.272705
644.2174, 7.508408
644.6995, 8.090149
645.1816, 7.189423
645.6638, 6.848267
646.1459, 8.585892
646.6280, 10.01006
647.1101, 9.984329
647.5922, 8.316971
648.0743, 7.379349
648.5565, 7.507095
649.0386, 7.725220
649.5207, 6.902008
650.0028, 5.261673
650.4849, 5.120850
650.9670, 6.813828
651.4492, 8.968750
651.9313, 10.35497
652.4134, 11.10225
652.8955, 11.39595
653.3776, 11.09256
653.8597, 10.90527
654.3419, 11.42557
654.8240, 12.24724
655.3061, 12.76874
655.7882, 12.48654
656.2703, 12.28226
656.7524, 12.51637
657.2346, 12.94838
657.7167, 12.87389
658.1988, 12.22112
658.6809, 11.49197
659.1630, 10.85246
659.6451, 10.27074
660.1273, 9.447083
660.6094, 8.346664
661.0915, 7.507904
661.5736, 7.407806
662.0557, 7.800934
662.5378, 8.272736
663.0200, 8.841995
663.5021, 9.390823
663.9842, 9.482635
664.4663, 9.517242
664.9484, 9.912628
665.4305, 11.02431
665.9127, 12.13667
666.3948, 13.66347
666.8769, 14.78203
667.3590, 14.57393
667.8411, 11.88124
668.3232, 10.10852
668.8054, 9.988617
669.2875, 10.86066
669.7696, 11.13713
670.2517, 10.76166
670.7338, 10.42932
671.2159, 10.31660
671.6981, 10.28792
672.1802, 10.05656
672.6623, 9.779755
673.1444, 9.820496
673.6265, 10.70198
674.1086, 11.68047
674.5908, 12.35162
675.0729, 12.65909
675.5550, 12.42929
676.0371, 10.57631
676.5192, 9.090988
677.0013, 9.084991
677.4835, 10.76083
677.9656, 11.72421
678.4477, 11.91811
678.9298, 11.67924
679.4119, 11.09908
679.8940, 10.13872
680.3762, 9.312317
680.8583, 8.656021
681.3404, 8.151566
681.8225, 7.894150
682.3046, 7.692825
682.7867, 7.127579
683.2689, 5.996185
683.7510, 4.883957
684.2331, 4.107941
684.7152, 3.646637
685.1973, 3.486481
685.6794, 4.576096
686.1616, 4.817398
686.6437, 2.893127
687.1258, 0.1051180
687.6079, 1.113480
688.0900, 0.1396790
688.5721, 1.113235
689.0543, 2.360382
689.5364, 3.389648
690.0185, 3.364334
690.5006, 2.326401
690.9827, 1.603668
691.4648, 2.077454
691.9470, 3.144272
692.4291, 4.095490
692.9112, 4.868256
693.3933, 5.123901
693.8754, 3.735825
694.3575, 2.636368
694.8397, 3.623871
695.3218, 7.078384
695.8039, 8.697891
696.2860, 6.245697
696.7681, 3.484741
697.2502, 2.357971
697.7324, 3.339966
698.2145, 3.586212
698.6966, 2.911438
699.1787, 2.012665
699.6608, 1.798096
700.1429, 2.007355
700.6251, 1.036499
701.1072, 1.586792
701.5893, 3.809418
702.0714, 2.771088
702.5535, 0.3392640
703.0356, 0.6301880
703.5178, 1.878296
703.9999, 3.879669
704.4820, 3.332977
704.9641, 1.494446
705.4462, 0.3235170
705.9283, 0.4875490
706.4105, 0.4254460
706.8926, 0.1642760
707.3747, 1.027924
707.8568, 1.621307
708.3389, 1.974396
708.8210, 2.017181
709.3032, 1.699432
709.7853, 1.036407
710.2674, 0.2001340
710.7495, 1.833801
711.2316, 3.095490
711.7137, 3.422119
712.1959, 3.344147
712.6780, 3.212708
713.1601, 3.019745
713.6422, 2.645264
714.1243, 2.186951
714.6064, 1.376099
715.0886, 0.2042240
715.5707, 2.626526
716.0528, 3.501648
716.5349, 2.323517
717.0170, 0.9201970
717.4991, 0.4128110
717.9813, 0.7234190
718.4634, 1.550110
718.9455, 2.931885
719.4276, 3.656921
719.9097, 1.898193
720.3918, 0.8101200
720.8740, 2.557861
721.3561, 3.115143
721.8382, 2.448212
722.3203, 1.244110
722.8024, 5.132507
723.2845, 6.664368
723.7667, 3.511871
724.2488, 1.784607
724.7309, 2.294800
725.2130, 3.349396
725.6951, 2.819946
726.1772, 0.5824890
726.6594, 1.325806
727.1415, 2.595001
727.6236, 3.389404
728.1057, 4.121063
728.5878, 4.554810
729.0699, 3.988770
729.5521, 1.494537
730.0342, 0.9467160
730.5163, 1.900665
730.9984, 1.896851
731.4805, 1.878632
731.9626, 2.203339
732.4448, 2.379517
732.9269, 2.351135
733.4090, 2.118011
733.8911, 1.419495
734.3732, 0.1350400
734.8553, 0.3958440
735.3375, 1.968079
735.8196, 5.545898
736.3017, 6.527588
736.7838, 5.222992
737.2659, 3.525513
737.7480, 2.085846
738.2302, 1.010956
738.7123, 0.4886780
739.1944, 0.4441220
739.6765, 0.5138550
740.1586, 0.7299190
740.6407, 0.6451720
741.1229, 3.401031
741.6050, 11.08557
742.0871, 13.76044
742.5692, 9.529510
743.0513, 4.823334
743.5334, 3.116058
744.0156, 4.011810
744.4977, 4.170197
744.9798, 3.523865
745.4619, 3.243774
745.9440, 4.978516
746.4261, 7.372131
746.9083, 8.779266
747.3904, 9.026642
747.8725, 8.643463
748.3546, 7.439301
748.8367, 5.973145
749.3188, 4.461914
749.8010, 2.569855
750.2831, 2.190430
750.7652, 4.061890
751.2473, 6.272217
751.7294, 7.496277
752.2115, 7.708893
752.6937, 6.595642
753.1758, 3.843201
753.6579, 1.624695
754.1400, 2.609894
754.6221, 5.490509
755.1042, 8.539642
755.5864, 11.89255
756.0685, 13.50418
756.5506, 10.02228
757.0327, 5.367432
757.5148, 3.605103
757.9969, 8.461853
