##NAMES=Ferro-katophorite
##RRUFFID=R050633
##IDEAL CHEMISTRY=NaNaCa[Fe^2+^_4_Al](Si_7_Al)O_22_(OH)_2_
##LOCALITY=Taguchi mine, Shidara, Kitashidara-Gun, Aichi Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Dark green fragment associated with yoshimuraite, R050266.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R050633
429.5068, 6.258820
429.9890, 4.753693
430.4711, 3.891876
430.9532, 3.710754
431.4353, 4.116180
431.9174, 5.710114
432.3995, 6.996490
432.8817, 7.092224
433.3638, 6.350952
433.8459, 5.451233
434.3280, 4.581421
434.8101, 3.746887
435.2922, 2.895538
435.7744, 1.913116
436.2565, 1.490570
436.7386, 2.317932
437.2207, 3.176178
437.7028, 2.982941
438.1849, 1.951447
438.6671, 1.169342
439.1492, 1.404175
439.6313, 2.457092
440.1134, 3.161652
440.5955, 3.260529
441.0776, 3.324890
441.5598, 3.262695
442.0418, 3.275116
442.5240, 3.773010
443.0061, 4.772156
443.4882, 5.621246
443.9703, 5.391296
444.4524, 3.802124
444.9345, 2.452759
445.4167, 1.301208
445.8988, 0.4438480
446.3809, 9.3170002E-02
446.8630, 5.6366000E-02
447.3451, 3.2471001E-02
447.8272, 0.3901980
448.3094, 0.8959960
448.7915, 1.187866
449.2736, 1.094635
449.7557, 1.287262
450.2378, 2.645721
450.7199, 3.876892
451.2021, 3.852570
451.6842, 2.512787
452.1663, 1.006195
452.6484, 0.2486570
453.1305, 8.7158002E-02
453.6126, 0.1341250
454.0948, 0.4848330
454.5769, 0.8284000
455.0590, 1.170319
455.5411, 1.432739
456.0232, 1.412262
456.5053, 0.8495480
456.9875, 0.2931210
457.4696, 0.3388370
457.9517, 0.8370060
458.4338, 1.064301
458.9159, 0.7199710
459.3980, 0.1259160
459.8802, 0.2647710
460.3623, 0.4602050
460.8444, 0.5345150
461.3265, 0.8090820
461.8086, 0.7571110
462.2907, 0.6117550
462.7729, 3.025208
463.2550, 4.676056
463.7371, 4.187653
464.2192, 2.006744
464.7013, 0.7045900
465.1834, 0.9709170
465.6656, 1.169586
466.1477, 0.9013980
466.6298, 0.5367430
467.1119, 0.5147090
467.5940, 0.9199520
468.0761, 1.488892
468.5583, 1.927704
469.0404, 2.242126
469.5225, 2.402618
470.0046, 2.372498
470.4867, 2.221344
470.9688, 1.880707
471.4510, 1.449066
471.9331, 1.063873
472.4152, 0.7834170
472.8973, 0.6130980
473.3794, 0.6511540
473.8615, 1.028839
474.3437, 1.044495
474.8258, 1.260218
475.3079, 0.8716740
475.7900, 1.389465
476.2721, 1.415375
476.7542, 0.9970400
477.2364, 1.760050
477.7185, 1.427063
478.2006, 2.976318
478.6827, 4.805298
479.1648, 5.866608
479.6469, 5.096008
480.1291, 3.431427
480.6112, 2.646912
481.0933, 3.142242
481.5754, 3.608978
482.0575, 3.075806
482.5396, 2.138214
483.0217, 2.056610
483.5038, 3.115692
483.9860, 4.298737
484.4681, 4.599640
484.9502, 3.971649
485.4323, 3.635498
485.9144, 3.536255
486.3965, 3.761414
486.8787, 4.726379
487.3608, 5.972534
487.8429, 6.496368
488.3250, 5.899628
488.8071, 5.045135
489.2892, 5.602661
489.7714, 8.752686
490.2535, 10.38605
490.7356, 9.429932
491.2177, 8.218781
491.6998, 7.644531
492.1819, 7.809570
492.6641, 8.761871
493.1462, 10.70923
493.6283, 13.07535
494.1104, 14.06992
494.5925, 13.21338
495.0746, 12.28302
495.5568, 11.69357
496.0389, 11.17599
496.5210, 10.31305
497.0031, 9.172455
497.4852, 8.609070
497.9673, 9.718323
498.4495, 11.83145
498.9316, 12.95013
499.4137, 12.78079
499.8958, 12.70547
500.3779, 13.74222
500.8600, 15.33130
501.3422, 16.29755
501.8243, 16.40421
502.3064, 16.28030
502.7885, 16.24783
503.2706, 16.19553
503.7527, 15.77072
504.2349, 14.89160
504.7170, 14.18704
505.1991, 14.28610
505.6812, 15.22394
506.1633, 16.25427
506.6454, 17.86597
507.1276, 19.07266
507.6097, 19.32492
508.0918, 18.88934
508.5739, 18.22171
509.0560, 17.58282
509.5381, 17.12625
510.0203, 16.92789
510.5024, 16.81253
510.9845, 17.31628
511.4666, 19.78879
511.9487, 21.53558
512.4308, 20.82022
512.9130, 18.67358
513.3951, 17.19650
513.8772, 17.50708
514.3593, 18.82895
514.8414, 19.93140
515.3235, 20.86691
515.8057, 21.17056
516.2878, 20.15903
516.7699, 19.04413
517.2520, 18.67303
517.7341, 19.03268
518.2162, 20.05661
518.6984, 22.56366
519.1805, 25.23361
519.6626, 26.17343
520.1447, 25.53455
520.6268, 24.90033
521.1089, 25.04105
521.5911, 25.65366
522.0732, 26.06015
522.5553, 26.20905
523.0374, 26.34570
523.5195, 26.56775
524.0016, 26.75119
524.4838, 26.72760
524.9659, 26.53693
525.4480, 26.35599
525.9301, 26.27417
526.4122, 26.35843
526.8943, 27.00217
527.3765, 29.00980
527.8586, 30.40973
528.3407, 30.80167
528.8228, 30.72705
529.3049, 30.48199
529.7870, 30.18585
530.2692, 30.00427
530.7513, 30.21576
531.2334, 30.68652
531.7155, 30.49570
532.1976, 29.24484
532.6797, 28.24591
533.1619, 28.05811
533.6440, 28.37939
534.1261, 29.13733
534.6082, 30.43921
535.0903, 31.40662
535.5724, 31.27124
536.0546, 30.35016
536.5367, 29.17270
537.0188, 27.76016
537.5009, 26.73453
537.9830, 26.76807
538.4651, 27.59879
538.9473, 27.67407
539.4294, 26.02130
539.9115, 24.83029
540.3936, 24.93057
540.8757, 25.73752
541.3578, 26.62399
541.8400, 27.38025
542.3221, 28.14090
542.8042, 29.10361
543.2863, 30.28763
543.7684, 30.67233
544.2505, 29.64120
544.7326, 28.50330
545.2147, 27.28391
545.6968, 26.19833
546.1790, 25.47198
546.6611, 25.15930
547.1432, 25.16779
547.6253, 25.60376
548.1074, 26.37048
548.5895, 26.45795
549.0717, 25.37714
549.5538, 24.54797
550.0359, 25.39233
550.5180, 26.89575
551.0001, 27.34958
551.4822, 25.99057
551.9644, 24.79755
552.4465, 25.25638
552.9286, 26.60278
553.4107, 27.72818
553.8928, 28.46875
554.3749, 28.55807
554.8571, 27.37430
555.3392, 24.93210
555.8213, 23.93668
556.3034, 25.72720
556.7855, 27.13708
557.2676, 27.22458
557.7498, 26.60632
558.2319, 25.91675
558.7140, 25.35779
559.1961, 24.87320
559.6782, 24.33585
560.1603, 23.73358
560.6425, 23.21231
561.1246, 22.58923
561.6067, 22.36960
562.0888, 23.11563
562.5709, 24.10269
563.0530, 24.49734
563.5352, 24.08820
564.0173, 23.29178
564.4994, 22.22330
564.9815, 21.04529
565.4636, 20.42361
565.9457, 20.56650
566.4279, 20.51266
566.9100, 19.37341
567.3921, 17.57516
567.8742, 16.64566
568.3563, 17.13437
568.8384, 17.56757
569.3206, 17.53244
569.8027, 17.12549
570.2848, 16.20508
570.7669, 14.94016
571.2490, 14.12143
571.7311, 14.52533
572.2133, 15.94403
572.6954, 16.16614
573.1775, 13.62659
573.6596, 12.05106
574.1417, 12.66531
574.6238, 13.88449
575.1060, 14.36261
575.5881, 13.93744
576.0702, 13.25406
576.5523, 12.76257
577.0344, 12.44974
577.5165, 12.42221
577.9987, 12.87872
578.4808, 12.70850
578.9629, 10.87140
579.4450, 8.533325
579.9271, 7.455994
580.4092, 7.870453
580.8914, 8.078247
581.3735, 7.266357
581.8556, 6.032562
582.3377, 4.788269
582.8198, 3.682709
583.3019, 3.246094
583.7841, 3.891418
584.2662, 5.145142
584.7483, 5.703430
585.2304, 5.132355
585.7125, 4.536041
586.1946, 3.783752
586.6768, 3.117859
587.1589, 2.713531
587.6410, 2.524475
588.1231, 2.398499
588.6052, 2.248993
589.0873, 2.108734
589.5695, 2.106628
590.0516, 2.293457
590.5337, 2.183746
591.0158, 1.173401
591.4979, 0.4617610
591.9800, 1.542664
592.4622, 3.865692
592.9443, 5.135193
593.4264, 3.881378
593.9085, 2.017303
594.3906, 1.003632
594.8727, 0.6413570
595.3549, 0.3535770
595.8370, 4.7118999E-02
596.3191, 0.2836610
596.8012, 7.4799001E-02
597.2833, 0.2068995
597.7654, 2.8934877E-02
598.2476, 0.5696110
598.7297, 0.1341860
599.2118, 0.4656680
599.6939, 1.629120
600.1760, 2.379364
600.6581, 2.439301
601.1403, 2.238831
601.6224, 2.304413
602.1045, 2.612427
602.5866, 2.621613
603.0687, 2.286041
603.5508, 1.746979
604.0330, 0.8355710
604.5151, 0.1422420
604.9972, 0.7873230
605.4793, 1.041595
605.9614, 1.062469
606.4435, 0.9294740
606.9257, 0.6115420
607.4078, 0.1885990
607.8899, 1.374176
608.3720, 1.986664
608.8541, 1.297577
609.3362, 0.1919560
609.8184, 0.8768310
610.3005, 0.3305050
610.7826, 0.7176820
611.2647, 0.5640260
611.7468, 1.890808
612.2289, 2.183350
612.7111, 1.619110
613.1932, 0.9012760
613.6753, 0.3757630
614.1574, 7.4463002E-02
614.6395, 0.1166990
615.1216, 0.5322880
615.6038, 0.9638370
616.0859, 1.582825
616.5680, 1.860687
617.0501, 1.973659
617.5322, 1.915019
618.0143, 1.703888
618.4965, 1.314117
618.9786, 0.6334230
619.4607, 0.1939090
619.9428, 5.3040002E-02
620.4249, 0.1811520
620.9070, 0.2123720
621.3892, 0.1844790
621.8713, 0.1573790
622.3534, 0.1270140
622.8355, 0.1983340
623.3176, 1.410919
623.7997, 2.146942
624.2819, 1.599457
624.7640, 0.8966980
625.2461, 1.359283
625.7282, 2.950104
626.2103, 4.164917
626.6924, 3.647125
627.1745, 2.005585
627.6566, 0.5375980
628.1387, 0.7960210
628.6208, 1.363800
629.1030, 0.7246700
629.5851, 0.5465390
630.0672, 1.825806
630.5493, 3.179779
631.0314, 3.834961
631.5135, 3.122498
631.9957, 2.209686
632.4778, 1.780487
632.9599, 1.721680
633.4420, 1.682220
633.9241, 1.534485
634.4063, 1.484924
634.8884, 1.882782
635.3705, 2.810089
635.8526, 3.485382
636.3347, 3.626984
636.8168, 3.906982
637.2990, 4.758972
637.7811, 5.764221
638.2632, 6.425598
638.7453, 6.634491
639.2274, 6.623138
639.7095, 6.376709
640.1917, 6.079742
640.6738, 6.146790
641.1559, 6.583282
641.6380, 6.881500
642.1201, 6.699524
642.6022, 6.331635
643.0844, 6.472717
643.5665, 7.546356
644.0486, 8.255188
644.5307, 8.423553
645.0128, 8.400513
645.4949, 8.068604
645.9771, 7.749054
646.4592, 8.091614
646.9413, 9.397766
647.4234, 11.03836
647.9055, 12.20633
648.3876, 12.90161
648.8698, 13.03824
649.3519, 12.16147
649.8340, 11.76642
650.3161, 13.19653
650.7982, 15.63132
651.2803, 17.44855
651.7625, 18.45999
652.2446, 19.04538
652.7267, 18.85114
653.2088, 18.61826
653.6909, 19.16965
654.1730, 20.50635
654.6552, 22.29431
655.1373, 24.34506
655.6194, 26.45123
656.1015, 28.05096
656.5836, 28.80127
657.0657, 29.90353
657.5479, 31.41779
658.0300, 33.27994
658.5121, 35.64301
658.9942, 38.31488
659.4763, 40.98615
659.9584, 43.66599
660.4406, 45.97986
660.9227, 47.16348
661.4048, 47.76074
661.8869, 49.37509
662.3690, 52.23251
662.8511, 55.06763
663.3333, 57.00055
663.8154, 58.28482
664.2975, 59.91330
664.7796, 62.18015
665.2617, 64.44012
665.7438, 66.40677
666.2260, 68.53119
666.7081, 71.28525
667.1902, 74.42963
667.6723, 77.42346
668.1544, 80.16788
668.6365, 82.47235
669.1187, 83.92877
669.6008, 84.54877
670.0829, 85.43823
670.5650, 86.90210
671.0471, 88.42352
671.5292, 89.69925
672.0114, 90.67068
672.4935, 91.20819
672.9756, 91.06711
673.4577, 90.84741
673.9398, 91.29218
674.4219, 91.34467
674.9041, 89.51041
675.3862, 86.22827
675.8683, 83.55008
676.3504, 82.87250
676.8325, 83.05881
677.3146, 81.24399
677.7968, 76.93097
678.2789, 73.01132
678.7610, 70.07693
679.2431, 67.18057
679.7252, 63.75861
680.2073, 59.97574
680.6895, 56.15652
681.1716, 52.30066
681.6537, 48.54114
682.1358, 44.89658
682.6179, 41.41983
683.1000, 38.02698
