##NAMES=Potassic-fluoro-pargasite
##RRUFFID=R110065
##IDEAL CHEMISTRY=KCa_2_(Mg_4_Al)Si_6_Al_2_O_22_F_2_
##LOCALITY=Tranomaro, Fort Dauphine area, Madagascar
##OWNER=RRUFF
##SOURCE=Renato & Adriana Pagano
##DESCRIPTION=Black blocky euhedral single-crystal, from the original find
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110065
365.9279, 245.9022
366.4100, 247.7175
366.8922, 249.7175
367.3743, 251.7753
367.8564, 254.3901
368.3385, 256.2871
368.8206, 256.4729
369.3027, 256.2278
369.7849, 257.4437
370.2670, 260.5431
370.7491, 263.7574
371.2312, 264.5819
371.7133, 262.1178
372.1954, 259.7592
372.6776, 257.7352
373.1597, 255.6215
373.6418, 252.7461
374.1239, 249.4093
374.6060, 246.8145
375.0881, 246.0558
375.5703, 247.0562
376.0524, 246.7495
376.5345, 243.6350
377.0166, 240.9702
377.4987, 239.8081
377.9808, 239.4617
378.4630, 238.8901
378.9451, 237.6257
379.4272, 235.9409
379.9093, 234.4832
380.3914, 233.5327
380.8735, 232.2970
381.3557, 229.6943
381.8378, 227.5413
382.3199, 227.9541
382.8020, 230.7598
383.2841, 233.3318
383.7662, 232.6532
384.2484, 228.2046
384.7305, 223.9534
385.2126, 220.6361
385.6947, 216.8910
386.1768, 212.0686
386.6589, 206.7091
387.1411, 201.6104
387.6232, 197.1718
388.1053, 193.2498
388.5874, 189.5444
389.0695, 186.7821
389.5516, 182.9473
390.0338, 176.5935
390.5159, 169.5990
390.9980, 163.9530
391.4801, 160.1576
391.9622, 156.5527
392.4443, 150.6136
392.9265, 142.0048
393.4086, 134.9121
393.8907, 131.3524
394.3728, 127.8671
394.8549, 122.1093
395.3370, 114.5846
395.8192, 107.5223
396.3013, 102.6962
396.7834, 99.40808
397.2655, 95.21667
397.7476, 89.45801
398.2297, 84.30811
398.7119, 82.00793
399.1940, 80.85486
399.6761, 78.72913
400.1582, 74.93958
400.6403, 70.37366
401.1224, 65.82715
401.6046, 61.22437
402.0867, 56.36804
402.5688, 51.02332
403.0509, 45.93445
403.5330, 41.66113
404.0151, 38.15149
404.4973, 35.89807
404.9794, 36.13025
405.4615, 37.51270
405.9436, 37.90015
406.4257, 37.09570
406.9078, 34.89636
407.3900, 30.73804
407.8721, 25.18433
408.3542, 20.91821
408.8363, 18.25037
409.3184, 16.54749
409.8005, 16.04541
410.2827, 16.51050
410.7648, 16.69812
411.2469, 16.03113
411.7290, 14.92847
412.2111, 14.24988
412.6932, 13.95789
413.1754, 13.66638
413.6575, 13.47339
414.1396, 13.40857
414.6217, 13.55481
415.1038, 13.90015
415.5859, 14.21082
416.0681, 14.24146
416.5502, 13.94434
417.0323, 13.58850
417.5144, 12.57251
417.9965, 12.18311
418.4786, 13.68103
418.9608, 16.11072
419.4429, 17.33508
419.9250, 16.16211
420.4071, 13.87195
420.8892, 14.19653
421.3713, 21.05493
421.8535, 24.55042
422.3356, 21.46985
422.8177, 17.18066
423.2998, 16.07104
423.7819, 18.52637
424.2640, 21.79517
424.7462, 22.92004
425.2283, 21.68506
425.7104, 21.42224
426.1925, 23.35364
426.6746, 24.96313
427.1567, 25.68091
427.6389, 25.57776
428.1210, 24.57251
428.6031, 22.44434
429.0852, 20.14783
429.5673, 19.91638
430.0494, 22.47839
430.5316, 24.46399
431.0137, 24.27930
431.4958, 23.81909
431.9779, 24.74646
432.4600, 26.98328
432.9421, 28.38257
433.4243, 26.54163
433.9064, 22.34399
434.3885, 19.91870
434.8706, 20.32019
435.3527, 20.44775
435.8348, 17.74084
436.3170, 13.50146
436.7991, 9.745239
437.2812, 6.795288
437.7633, 4.726074
438.2454, 3.998901
438.7275, 4.409790
