##NAMES=Metazeunerite
##RRUFFID=R060301
##IDEAL CHEMISTRY=Cu^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green blocky dipyramidal single crystals associated with yellow walpurgite, R050573
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060301
549.0620, 0.1445200
549.5441, 0.1389790
550.0262, 0.5979520
550.5083, 0.8930110
550.9904, 0.9697530
551.4725, 0.9208030
551.9547, 0.7387490
552.4368, 0.4835400
552.9189, 0.3055380
553.4010, 0.3216530
553.8831, 0.4976880
554.3652, 0.7360480
554.8474, 1.146284
555.3295, 1.338821
555.8116, 1.003975
556.2937, 0.5576060
556.7758, 0.2829150
557.2579, 0.1983130
557.7401, 0.1673850
558.2222, 6.7319997E-02
558.7043, 1.3002000E-02
559.1864, 0.1456570
559.6685, 0.5491620
560.1506, 0.8598560
560.6328, 0.9066870
561.1149, 0.7652650
561.5970, 0.5444980
562.0791, 0.1419660
562.5612, 1.1213000E-02
563.0433, 0.3696500
563.5255, 0.8761860
564.0076, 1.227880
564.4897, 1.387007
564.9718, 1.364620
565.4539, 1.150957
565.9360, 0.8157310
566.4182, 0.5952280
566.9003, 0.5257800
567.3824, 0.5057070
567.8645, 0.5873890
568.3466, 0.6599640
568.8287, 0.6404610
569.3109, 0.5446620
569.7930, 0.4475900
570.2751, 0.3887580
570.7572, 0.3645400
571.2393, 0.3846450
571.7214, 0.4560030
572.2036, 0.4837530
572.6857, 0.4135090
573.1678, 0.3140240
573.6499, 0.2380560
574.1320, 0.1846280
574.6141, 0.2413650
575.0963, 0.5613290
575.5784, 0.8979760
576.0605, 1.043549
576.5426, 1.018927
577.0247, 0.8929630
577.5068, 0.6946490
577.9890, 0.4996970
578.4711, 0.4462620
578.9532, 0.6025810
579.4353, 0.6967030
579.9174, 0.7506500
580.3995, 0.7301730
580.8817, 0.5043870
581.3638, 0.2155150
581.8459, 0.1421760
582.3280, 0.4490260
582.8101, 0.8616370
583.2922, 0.8697360
583.7744, 0.4311430
584.2565, 0.2615490
584.7386, 0.6784000
585.2207, 1.059954
585.7029, 0.8488060
586.1850, 0.2792610
586.6671, 8.1262998E-02
587.1492, 8.4170001E-03
587.6313, 0.1861170
588.1135, 0.3051340
588.5956, 0.3706230
589.0777, 0.4382990
589.5598, 0.5228210
590.0419, 0.5676000
590.5240, 0.5247550
591.0062, 0.4238490
591.4883, 0.4339290
591.9704, 0.6929630
592.4525, 0.8617670
592.9346, 0.8493290
593.4167, 0.7319810
593.8989, 0.5485630
594.3810, 0.3311900
594.8631, 0.1680490
595.3452, 0.1691630
595.8273, 0.3199140
596.3094, 0.4541550
596.7916, 0.5809800
597.2737, 0.6722200
597.7558, 0.7426680
598.2379, 0.7595290
598.7200, 0.6269450
599.2021, 0.3105490
599.6843, 0.1023710
600.1664, 0.2798100
600.6485, 0.5985030
601.1306, 0.6792200
601.6127, 0.5149630
602.0948, 0.3563980
602.5770, 0.3549840
603.0591, 0.4506510
603.5412, 0.4742600
604.0233, 0.3269810
604.5054, 0.2713550
604.9875, 0.3353610
605.4697, 0.4648150
605.9518, 0.7186050
606.4339, 1.007557
606.9160, 1.104912
607.3981, 0.8632090
607.8802, 0.4743160
608.3624, 0.3402730
608.8445, 0.5021290
609.3266, 0.5901360
609.8087, 0.4762310
610.2908, 0.3691430
610.7729, 0.4758890
611.2551, 0.7161750
611.7372, 0.8471660
612.2193, 0.7593540
612.7014, 0.6045340
613.1835, 0.4369070
613.6656, 0.2909490
