##NAMES=Symplesite
##RRUFFID=R120074
##IDEAL CHEMISTRY=Fe^2+^_3_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Saubachbruch, Muldenberg, Vogtland, Sachsen, Germany
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregate of black bladed crystals,  2-fold twin around [1 -1 0]
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120074
528.5699, 3.521751
529.0521, 3.444376
529.5342, 3.369665
530.0163, 3.289713
530.4984, 3.204769
530.9805, 3.116476
531.4626, 3.017990
531.9448, 2.921703
532.4269, 2.837883
532.9090, 2.777233
533.3911, 2.719893
533.8732, 2.661757
534.3553, 2.603394
534.8375, 2.521622
535.3196, 2.348715
535.8017, 2.225361
536.2838, 2.254009
536.7659, 2.533884
537.2480, 2.652811
537.7302, 2.554770
538.2123, 2.357561
538.6944, 2.218832
539.1765, 2.142570
539.6586, 2.107311
540.1407, 2.128126
540.6229, 2.161591
541.1050, 2.101934
541.5871, 1.959963
542.0692, 1.789093
542.5513, 1.574980
543.0334, 1.367197
543.5156, 1.257330
543.9977, 1.254452
544.4798, 1.265400
544.9619, 1.221375
545.4440, 1.158972
545.9261, 1.118255
546.4083, 1.143522
546.8904, 1.142734
547.3725, 1.054748
547.8546, 0.9214850
548.3367, 0.8295880
548.8188, 0.7896610
549.3010, 0.7988240
549.7831, 0.9039040
550.2652, 1.101453
550.7473, 1.109183
551.2294, 0.8152930
551.7115, 0.5206460
552.1937, 0.4305200
552.6758, 0.5715280
553.1579, 0.6676450
553.6400, 0.7068770
554.1221, 0.7030930
554.6042, 0.6554620
555.0864, 0.5729120
555.5685, 0.5124000
556.0506, 0.4996120
556.5327, 0.5073680
557.0148, 0.5142460
557.4969, 0.5133270
557.9791, 0.4778670
558.4612, 0.3462300
558.9433, 0.2062090
559.4254, 0.1436300
559.9075, 0.1651330
560.3896, 0.1712980
560.8718, 8.5228004E-02
561.3539, 8.6899996E-03
561.8360, 4.5382001E-02
562.3181, 4.8714001E-02
562.8002, 0.1020940
563.2823, 7.4654996E-02
563.7645, 1.6067000E-02
564.2466, 1.1475000E-02
564.7287, 0.1120430
565.2108, 0.1414030
565.6929, 1.5136000E-02
566.1750, 0.2067660
566.6572, 0.2134150
567.1393, 3.3298001E-02
567.6214, 0.2218250
568.1035, 6.9149002E-02
568.5856, 0.3055620
569.0677, 0.4217000
569.5499, 0.2516690
570.0320, 5.3220000E-03
570.5141, 0.1833660
570.9962, 0.3026300
571.4783, 0.3174540
571.9604, 0.1674900
572.4426, 2.1103000E-02
572.9247, 6.0790000E-03
573.4068, 6.5614000E-02
573.8889, 9.7172000E-02
574.3710, 2.0679999E-02
574.8531, 4.0847000E-02
575.3353, 2.9231001E-02
575.8174, 4.9201999E-02
576.2995, 8.7458998E-02
576.7816, 5.4469999E-02
577.2637, 1.4623000E-02
577.7458, 5.7629999E-03
578.2280, 3.6210001E-03
578.7101, 1.0156000E-02
579.1922, 4.1971002E-02
579.6743, 7.1424998E-02
580.1564, 9.2349999E-02
580.6385, 0.1023970
581.1207, 2.4303000E-02
581.6028, 0.1954060
582.0849, 0.4174540
582.5670, 0.3904900
583.0491, 0.1800910
583.5313, 2.3810000E-03
584.0134, 4.6271998E-02
584.4955, 2.4614999E-02
584.9776, 1.8672001E-02
585.4597, 7.6121002E-02
585.9418, 0.1113090
586.4240, 0.1166940
586.9061, 9.0497002E-02
587.3882, 1.0843000E-02
587.8703, 0.1579360
588.3524, 0.2495840
588.8345, 0.1315720
589.3167, 2.6179999E-03
589.7988, 3.1174000E-02
590.2809, 0.3292940
590.7630, 0.5310120
591.2451, 0.6049340
591.7272, 0.5741860
592.2094, 0.4582250
592.6915, 0.2525830
593.1736, 6.4873002E-02
593.6557, 9.2749000E-02
594.1378, 0.1953370
594.6199, 0.1199140
595.1021, 0.1089690
595.5842, 0.2876760
596.0663, 0.2396220
596.5484, 9.2973001E-02
597.0305, 3.4290999E-02
597.5126, 0.1353550
597.9948, 0.1450070
598.4769, 6.7895003E-02
