##NAMES=Ludlamite
##RRUFFID=R090071
##IDEAL CHEMISTRY=Fe^2+^_3_(PO_4_)_2_&#183;4H_2_O
##LOCALITY=Cigana Mine (ex-Jocão Mine), Galiléia, Minas Gerais  Brazil
##OWNER=RRUFF
##SOURCE=Royal Ontario Museum 
##DESCRIPTION=Groups of colorless tabular crystals on reddish-brown reddingite R090069, associated with pink hureaulite R090070.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R090071
418.7022, 3.735245
419.1844, 3.197779
419.6665, 2.504702
420.1486, 1.485752
420.6307, 0.5405220
421.1128, 0.2168940
421.5949, 0.4964900
422.0771, 0.8497850
422.5592, 1.184860
423.0413, 1.439877
423.5234, 1.343918
424.0055, 0.8630500
424.4876, 0.7956160
424.9698, 1.980284
425.4519, 4.144115
425.9340, 5.430967
426.4161, 5.198046
426.8982, 4.800365
427.3803, 4.908823
427.8625, 5.284994
428.3446, 5.316469
428.8267, 4.723728
429.3088, 4.039133
429.7909, 4.251089
430.2730, 6.174328
430.7552, 7.077616
431.2373, 5.945286
431.7194, 4.534241
432.2015, 4.153069
432.6836, 4.777040
433.1657, 5.616608
433.6479, 6.044947
434.1300, 6.102636
434.6121, 6.337255
435.0942, 7.395216
435.5763, 7.873943
436.0584, 6.755495
436.5406, 5.271233
437.0227, 4.874657
437.5048, 6.052208
437.9869, 8.121450
438.4690, 10.29653
438.9511, 13.07753
439.4333, 14.29425
439.9154, 12.21849
440.3975, 9.983543
440.8796, 9.014141
441.3617, 9.179325
441.8438, 9.726379
442.3260, 10.17566
442.8081, 10.56566
443.2902, 11.03418
443.7723, 11.42934
444.2544, 12.29278
444.7365, 14.64824
445.2187, 17.10980
445.7008, 18.33906
446.1829, 18.04485
446.6650, 17.07183
447.1471, 15.59733
447.6292, 13.81011
448.1114, 13.42847
448.5935, 15.18482
449.0756, 17.42870
449.5577, 18.97908
450.0398, 19.92786
450.5219, 20.41789
451.0041, 19.81803
451.4862, 19.25416
451.9683, 20.07837
452.4504, 22.08223
452.9325, 23.86248
453.4146, 24.86257
453.8968, 25.27591
454.3789, 25.20082
454.8610, 24.46415
455.3431, 23.57912
455.8252, 22.48356
456.3073, 21.47117
456.7895, 20.84389
457.2716, 20.62856
457.7537, 20.66875
458.2358, 20.86113
458.7179, 21.21676
459.2000, 21.14910
459.6822, 20.20927
460.1643, 19.39786
460.6464, 19.05742
461.1285, 19.05995
461.6106, 19.35326
462.0927, 19.81565
462.5748, 20.11517
463.0569, 19.70005
463.5391, 18.43027
464.0212, 16.72542
464.5033, 13.82072
464.9854, 11.36766
465.4675, 10.39161
465.9496, 10.53464
466.4318, 10.75823
466.9139, 10.36988
467.3960, 9.621592
467.8781, 9.340256
468.3602, 9.713037
468.8423, 10.06409
469.3245, 10.17153
469.8066, 9.903500
470.2887, 9.508289
470.7708, 9.207993
471.2529, 8.932854
471.7350, 8.566334
472.2172, 8.192371
472.6993, 8.265774
473.1814, 9.021341
473.6635, 9.635141
474.1456, 9.131321
474.6277, 8.067638
475.1099, 7.773298
475.5920, 9.099480
476.0741, 10.41307
476.5562, 10.38120
477.0383, 9.405010
477.5204, 8.613398
478.0026, 8.339680
478.4847, 8.509741
478.9668, 9.176891
479.4489, 10.59418
479.9310, 11.33064
480.4131, 10.29998
480.8953, 9.408127
481.3774, 10.31517
481.8595, 12.56194
482.3416, 14.47206
482.8237, 15.04607
483.3058, 14.64497
483.7880, 14.52410
484.2701, 14.95921
484.7522, 15.29093
485.2343, 15.48729
485.7164, 15.58611
486.1985, 15.61927
486.6807, 15.58820
487.1628, 15.44137
487.6449, 15.01495
488.1270, 14.37598
488.6091, 14.56137
489.0912, 16.45918
489.5734, 17.75311
490.0555, 17.45041
490.5376, 16.39945
491.0197, 15.44752
491.5018, 14.81237
491.9839, 14.50856
492.4661, 14.90355
492.9482, 15.84079
493.4303, 15.80154
493.9124, 14.21608
494.3945, 12.31844
494.8766, 10.99591
495.3588, 10.13334
495.8409, 9.527390
496.3230, 9.462982
496.8051, 9.325554
497.2872, 8.281288
497.7693, 6.659044
498.2515, 5.739279
498.7336, 6.077850
499.2157, 7.114796
499.6978, 8.157919
500.1799, 9.502132
500.6620, 9.639507
501.1442, 7.242008
501.6263, 4.630146
502.1084, 3.676777
502.5905, 4.004379
503.0726, 3.861010
503.5547, 2.070719
504.0369, 0.6120930
504.5190, 1.508791
505.0011, 1.148809
505.4832, 2.823261
505.9653, 2.790010
506.4474, 2.158381
506.9296, 1.593916
507.4117, 1.222073
507.8938, 0.9411530
508.3759, 0.6422480
508.8580, 0.3623710
509.3401, 0.4538230
509.8223, 1.380367
510.3044, 1.648483
510.7865, 0.2335870
511.2686, 2.523525
511.7507, 3.452703
512.2328, 2.651989
512.7150, 1.327944
513.1971, 3.8759999E-03
513.6792, 1.152557
514.1613, 1.370564
514.6434, 0.3658490
515.1255, 0.5857260
515.6077, 0.4737210
516.0898, 0.5063610
516.5719, 1.364265
517.0540, 2.307997
517.5361, 2.835121
518.0182, 2.249859
518.5004, 1.220182
518.9825, 1.050989
519.4646, 2.080893
519.9467, 3.279690
520.4288, 3.351318
520.9109, 2.038563
521.3931, 1.326334
521.8752, 1.143684
522.3573, 1.523766
522.8394, 3.135111
523.3215, 5.119946
523.8036, 6.019987
524.2858, 5.275074
524.7679, 4.052771
525.2500, 4.470808
525.7321, 7.043930
526.2142, 8.627922
526.6964, 8.099976
527.1785, 7.544008
527.6606, 8.119560
528.1427, 9.394289
528.6248, 10.32672
529.1069, 10.34754
529.5891, 10.05939
530.0712, 10.43028
530.5533, 11.39297
531.0354, 11.67372
531.5175, 10.55505
531.9996, 9.203411
532.4818, 9.226654
532.9639, 10.49762
533.4460, 11.43787
533.9281, 11.14876
534.4102, 10.89838
534.8923, 12.04181
535.3745, 14.13762
535.8566, 15.61681
536.3387, 15.70689
536.8208, 14.96669
537.3029, 14.52170
537.7850, 14.48308
538.2672, 14.53028
538.7493, 14.64979
539.2314, 14.85928
539.7135, 15.07137
540.1956, 15.38287
540.6777, 16.12420
541.1599, 17.57864
541.6420, 19.26595
542.1241, 19.79020
542.6062, 18.61327
543.0883, 18.01873
543.5704, 19.06383
544.0526, 20.29634
544.5347, 20.79336
545.0168, 20.63643
545.4989, 20.45635
545.9810, 20.72067
546.4631, 21.08200
546.9453, 20.75006
547.4274, 19.68567
547.9095, 19.48931
548.3916, 21.22119
548.8737, 23.62606
549.3558, 24.30863
549.8380, 23.04397
550.3201, 22.08916
550.8022, 22.01253
551.2843, 22.28836
551.7664, 22.71419
552.2485, 23.16139
552.7307, 23.26279
553.2128, 22.70552
553.6949, 21.70692
554.1770, 20.66565
554.6591, 19.12540
555.1412, 18.40624
555.6234, 19.14159
556.1055, 20.06238
556.5876, 20.35941
557.0697, 20.15829
557.5518, 20.14651
558.0339, 20.86276
558.5161, 21.70182
558.9982, 21.18804
559.4803, 19.12577
559.9624, 16.95465
560.4445, 14.41477
560.9266, 12.58282
561.4088, 12.74891
561.8909, 14.78561
562.3730, 16.55789
562.8551, 17.53083
563.3372, 17.60949
563.8193, 16.20395
564.3015, 13.67024
564.7836, 11.95472
565.2657, 12.01470
565.7478, 12.76147
566.2299, 12.00622
566.7120, 8.500341
567.1942, 6.618423
567.6763, 7.767727
568.1584, 9.232210
568.6405, 9.497974
569.1226, 8.731056
569.6047, 7.770229
570.0869, 7.058508
570.5690, 6.685795
571.0511, 7.042313
571.5332, 8.521347
572.0153, 9.060371
572.4974, 7.561234
572.9796, 5.948534
573.4617, 5.273624
573.9438, 5.319794
574.4259, 5.389732
574.9080, 5.063648
575.3901, 4.854994
575.8723, 5.864653
576.3544, 7.718792
576.8365, 7.972790
577.3186, 5.531221
577.8007, 2.832533
578.2828, 2.871071
578.7650, 5.802088
579.2471, 7.367935
579.7292, 6.642344
580.2113, 5.484352
580.6934, 4.407885
581.1755, 3.597935
581.6577, 3.379187
582.1398, 3.831991
582.6219, 4.505453
583.1040, 4.801781
583.5861, 4.681839
584.0682, 4.492752
584.5504, 4.371344
585.0325, 3.993982
585.5146, 2.566666
585.9967, 1.127407
586.4788, 1.193539
586.9609, 3.244781
587.4431, 5.731764
587.9252, 7.353893
588.4073, 8.212128
588.8894, 8.635052
589.3715, 8.604443
589.8536, 8.335701
590.3358, 7.635578
590.8179, 6.885321
591.3000, 7.381399
591.7821, 10.35893
592.2642, 12.35830
592.7463, 11.52691
593.2285, 9.600941
593.7106, 8.281448
594.1927, 7.864887
594.6748, 8.212675
595.1569, 9.373203
595.6390, 11.03062
596.1212, 11.44927
596.6033, 9.878551
597.0854, 8.349121
597.5675, 7.102991
598.0496, 5.977789
598.5317, 4.616522
599.0139, 3.194635
599.4960, 2.477781
599.9781, 3.332443
600.4602, 4.904922
600.9423, 5.515451
601.4244, 5.153482
601.9066, 4.906605
602.3887, 5.407804
602.8708, 5.788822
603.3529, 4.344824
603.8350, 1.029982
604.3171, 0.8065510
604.7993, 0.3518010
605.2814, 2.045818
605.7635, 2.855677
606.2456, 3.001919
606.7277, 3.158562
607.2098, 3.575632
607.6920, 3.883991
608.1741, 3.463751
608.6562, 2.139957
609.1383, 1.024229
609.6204, 0.5097100
610.1025, 1.049553
610.5847, 0.6657100
611.0668, 3.292667
611.5489, 5.122438
612.0310, 5.690872
612.5131, 5.398754
612.9952, 4.243587
613.4774, 2.512762
613.9595, 1.047369
614.4416, 0.1002480
614.9237, 0.7974000
615.4058, 0.8779320
615.8879, 0.4770260
616.3701, 2.6730999E-02
616.8522, 0.5743030
617.3343, 1.020250
617.8164, 1.445187
618.2985, 1.550974
618.7806, 0.6132010
619.2628, 0.9903660
619.7449, 1.774275
620.2270, 0.6838760
620.7091, 1.446566
621.1912, 2.075449
621.6733, 0.4169010
622.1555, 0.3842280
622.6376, 0.7771260
623.1197, 2.223940
623.6018, 3.304083
624.0839, 3.930868
624.5660, 3.957203
625.0482, 3.124140
625.5303, 1.995245
626.0124, 0.9660850
626.4945, 9.8379001E-02
626.9766, 0.3531650
627.4587, 0.3171100
627.9409, 3.8550999E-02
628.4230, 0.6743890
628.9051, 1.522036
629.3872, 2.001547
629.8693, 1.727711
630.3514, 1.665682
630.8336, 2.327972
631.3157, 3.115652
631.7978, 3.453585
632.2799, 3.230982
632.7620, 2.719807
633.2441, 2.217808
633.7263, 1.687351
634.2084, 0.8311900
634.6905, 0.5782200
635.1726, 1.413000
635.6547, 1.239599
636.1368, 0.4101490
636.6190, 1.010548
637.1011, 2.926277
637.5832, 4.115652
638.0653, 3.806173
638.5474, 2.967281
639.0295, 2.172777
639.5117, 1.502657
639.9938, 1.008581
640.4759, 0.7113490
640.9580, 0.9280760
641.4401, 2.294065
641.9222, 5.111290
642.4044, 6.254242
642.8865, 3.708918
643.3686, 1.929626
643.8507, 2.440229
644.3328, 3.526241
644.8149, 3.616644
645.2971, 2.483408
645.7792, 1.461775
646.2613, 1.858341
646.7434, 3.129225
647.2255, 3.985146
647.7076, 4.374041
648.1898, 4.436129
648.6719, 4.141262
649.1540, 3.745974
649.6361, 3.660278
650.1182, 3.924280
650.6003, 4.261126
651.0825, 4.822002
651.5646, 5.280897
652.0467, 5.641047
652.5288, 5.719448
653.0109, 4.977184
653.4930, 3.286898
653.9752, 1.592566
654.4573, 1.374525
654.9394, 2.686140
655.4215, 3.149239
655.9036, 2.304594
656.3857, 1.517336
656.8679, 1.354259
657.3500, 1.610889
657.8321, 2.162157
658.3142, 3.029911
658.7963, 3.875277
659.2784, 4.994722
659.7606, 5.714176
660.2427, 4.886076
660.7248, 2.858950
661.2069, 1.140270
661.6890, 0.4284730
662.1711, 0.4487170
662.6533, 0.8949620
663.1354, 1.844950
663.6175, 2.780890
664.0996, 3.555779
664.5817, 4.487057
665.0638, 6.274441
665.5460, 8.033571
666.0281, 8.311886
