##NAMES=Quadridavyne
##RRUFFID=R141084
##IDEAL CHEMISTRY=Na_6_Ca_2_Si_6_Al_6_O_24_Cl_4_
##LOCALITY=Mt Vesuvius, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Short hexagonal prismatic white crystals, associated with sodalite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R141084
403.0071, 0.8833690
403.4892, 0.7669450
403.9713, 0.6807560
404.4534, 0.6567080
404.9355, 0.6251830
405.4177, 0.5090030
405.8998, 0.3044590
406.3819, 1.4404000E-02
406.8640, 0.6193160
407.3461, 1.084595
407.8282, 0.9416280
408.3104, 0.4129940
408.7925, 7.0023000E-02
409.2746, 0.2764280
409.7567, 0.9269790
410.2388, 1.541435
410.7209, 2.274643
411.2031, 2.747261
411.6852, 2.569382
412.1673, 2.317596
412.6494, 2.675751
413.1315, 3.760986
413.6136, 4.967285
414.0958, 5.396286
414.5779, 4.742287
415.0600, 4.548096
415.5421, 5.377396
416.0242, 6.153389
416.5063, 6.389297
416.9885, 6.228729
417.4706, 6.082901
417.9527, 6.221123
418.4348, 6.560204
418.9169, 6.801010
419.3990, 6.860840
419.8812, 7.006783
420.3633, 7.428635
420.8454, 7.909813
421.3275, 8.243179
421.8096, 8.377022
422.2917, 8.430092
422.7739, 8.506683
423.2560, 8.605881
423.7381, 8.706024
424.2202, 8.762924
424.7023, 8.880188
425.1844, 9.200851
425.6666, 9.658012
426.1487, 10.00676
426.6308, 10.23697
427.1129, 10.25790
427.5950, 9.772408
428.0771, 8.734795
428.5593, 7.958008
429.0414, 8.084419
429.5235, 8.648499
430.0056, 8.564827
430.4877, 7.511177
430.9698, 6.537445
431.4520, 6.212151
431.9341, 6.327766
432.4162, 6.521446
432.8983, 6.723328
433.3804, 6.852959
433.8625, 6.816628
434.3447, 6.597008
434.8268, 6.267021
435.3089, 5.558395
435.7910, 4.969246
436.2731, 4.957840
436.7552, 5.383781
437.2374, 5.737717
437.7195, 5.720833
438.2016, 5.416679
438.6837, 5.142822
439.1658, 4.812416
439.6479, 4.626572
440.1301, 4.650749
440.6122, 4.797127
441.0943, 5.052132
441.5764, 5.378441
442.0585, 5.625092
442.5406, 5.577408
443.0227, 5.157013
443.5049, 5.017403
443.9870, 5.462120
444.4691, 5.877632
444.9512, 6.040794
445.4333, 6.054329
445.9154, 6.105064
446.3976, 6.288918
446.8797, 6.557518
447.3618, 6.812370
447.8439, 7.050636
448.3260, 7.294128
448.8081, 7.421936
449.2903, 7.655273
449.7724, 8.174919
450.2545, 8.950172
450.7366, 9.753777
451.2187, 10.47146
451.7008, 11.10578
452.1830, 11.57546
452.6651, 11.78040
453.1472, 12.11813
453.6293, 13.01006
454.1114, 14.11424
454.5935, 14.90978
455.0757, 15.10760
455.5578, 15.31785
456.0399, 16.19891
456.5220, 17.59389
457.0041, 18.70770
457.4862, 19.20455
457.9684, 19.49698
458.4505, 20.22414
458.9326, 21.39810
459.4147, 22.37001
459.8968, 22.86376
460.3789, 23.20975
460.8611, 23.68671
461.3432, 24.30084
461.8253, 24.94161
462.3074, 25.54643
462.7895, 26.13933
463.2716, 26.79346
463.7538, 27.54498
464.2359, 28.27749
464.7180, 28.98224
465.2001, 29.66965
465.6822, 30.37714
466.1643, 31.10862
466.6465, 31.77879
467.1286, 32.27408
467.6107, 32.56910
468.0928, 32.84999
468.5749, 33.23074
469.0570, 33.48540
469.5392, 33.60311
470.0213, 33.53799
470.5034, 33.20254
470.9855, 32.55264
471.4676, 31.71687
471.9497, 30.89838
472.4319, 30.09933
472.9140, 29.29768
473.3961, 28.65357
473.8782, 27.86365
474.3603, 26.61787
474.8424, 25.03501
475.3246, 23.57473
475.8067, 22.58620
476.2888, 21.88638
476.7709, 21.08844
477.2530, 20.19619
477.7351, 19.19534
478.2173, 17.95441
478.6994, 16.66943
479.1815, 15.66373
479.6636, 15.01281
480.1457, 14.42160
480.6278, 13.70773
481.1100, 12.95890
481.5920, 12.33183
482.0742, 11.85458
482.5563, 11.47765
483.0384, 11.17503
483.5205, 10.94644
484.0026, 10.68715
484.4847, 10.38756
484.9669, 10.06930
485.4490, 9.727737
485.9311, 9.372559
486.4132, 9.059166
486.8953, 8.804367
487.3774, 8.466080
487.8596, 7.756493
488.3417, 6.298561
488.8238, 5.513496
489.3059, 5.948738
489.7880, 6.418114
490.2701, 6.325996
490.7523, 5.801231
491.2344, 5.236977
491.7165, 4.862144
492.1986, 4.632248
492.6807, 4.450722
493.1628, 4.385635
493.6450, 4.181862
494.1271, 3.551296
494.6092, 2.935898
495.0913, 2.665600
495.5734, 2.739315
496.0555, 2.880207
496.5377, 2.975117
497.0198, 2.987087
497.5019, 2.766640
497.9840, 2.257252
498.4661, 1.764885
498.9482, 1.430775
499.4304, 1.231167
499.9125, 1.123764
500.3946, 1.150288
500.8767, 1.159420
501.3588, 1.046741
501.8409, 0.8731380
502.3231, 0.7584920
502.8052, 0.7300190
503.2873, 0.6920700
503.7694, 0.5483670
504.2515, 0.2925570
504.7336, 7.1635999E-02
505.2158, 0.1018830
505.6979, 0.2588730
506.1800, 0.4833030
506.6621, 0.6766890
507.1442, 0.6453290
507.6263, 0.3297880
508.1085, 8.1417002E-02
508.5906, 0.3052140
509.0727, 0.3198090
509.5548, 0.2243390
510.0369, 0.1552050
510.5190, 0.4709210
511.0012, 0.5761070
511.4833, 0.5228160
511.9654, 0.4031980
512.4475, 0.2402920
512.9296, 0.1036950
513.4117, 0.1805420
513.8939, 0.5268710
514.3760, 0.6872290
514.8581, 0.4328420
515.3402, 7.2082996E-02
515.8223, 0.1445580
516.3044, 0.2287670
516.7866, 0.2873000
517.2687, 0.3817250
517.7508, 0.4679790
518.2329, 0.4950680
518.7150, 0.4625660
519.1971, 0.3548200
519.6793, 0.1189920
520.1614, 0.1429370
520.6435, 0.1606790
521.1256, 0.1629450
521.6077, 0.3959850
522.0898, 0.4468190
522.5720, 0.3821790
523.0541, 0.1825220
523.5362, 9.2151999E-02
524.0183, 0.2425160
524.5004, 0.1122890
524.9825, 0.2471080
525.4647, 0.5699120
525.9468, 0.8677370
526.4289, 1.089821
526.9110, 1.284576
527.3931, 1.379047
527.8752, 1.239532
528.3574, 0.8970640
528.8395, 0.5856900
529.3216, 0.5386350
529.8037, 0.7102850
530.2858, 0.8042600
530.7679, 0.7938000
531.2501, 0.7843210
531.7322, 0.7887950
532.2143, 0.8049390
532.6964, 0.8396720
533.1785, 0.8966220
533.6606, 0.9617540
534.1428, 1.024166
534.6249, 1.089031
535.1070, 1.189053
535.5891, 1.336384
536.0712, 1.421112
536.5533, 1.324673
537.0355, 1.091839
537.5176, 0.9991760
537.9997, 1.110165
538.4818, 1.257839
538.9639, 1.478867
539.4460, 1.678120
539.9282, 1.711624
540.4103, 1.563087
540.8924, 1.351151
541.3745, 1.185005
541.8566, 1.061245
542.3387, 1.055302
542.8209, 1.320263
543.3029, 1.539028
543.7850, 1.608982
544.2672, 1.590733
544.7493, 1.574760
545.2314, 1.593906
545.7135, 1.649529
546.1956, 1.744217
546.6777, 1.857868
547.1599, 1.962585
547.6420, 2.095821
548.1241, 2.149433
548.6062, 1.962021
549.0883, 1.673809
549.5704, 1.509724
550.0526, 1.536854
550.5347, 1.611374
551.0168, 1.626945
551.4989, 1.634377
551.9810, 1.765484
552.4631, 2.050274
552.9453, 2.323616
553.4274, 2.410324
553.9095, 2.309731
554.3916, 2.351952
554.8737, 2.779881
555.3558, 3.039150
555.8380, 2.824814
556.3201, 2.426365
556.8022, 2.203667
557.2843, 2.246643
557.7664, 2.407749
558.2485, 2.549950
558.7307, 2.678349
559.2128, 2.622658
559.6949, 2.176044
560.1770, 1.847996
560.6591, 1.863918
561.1412, 2.051651
561.6234, 2.225620
562.1055, 2.344357
562.5876, 2.387066
563.0697, 2.282738
563.5518, 2.085133
564.0339, 1.978390
564.5161, 1.996429
564.9982, 2.065983
565.4803, 2.170071
565.9624, 2.293003
566.4445, 2.342068
566.9266, 2.238113
567.4088, 2.155140
567.8909, 2.202541
568.3730, 2.257526
568.8551, 2.166054
569.3372, 1.917183
569.8193, 1.600159
570.3015, 1.270058
570.7836, 0.9384840
571.2657, 0.8776400
571.7478, 1.427757
572.2299, 1.768196
572.7120, 1.602776
573.1942, 1.330639
573.6763, 1.351204
574.1584, 1.695915
574.6405, 2.040051
575.1226, 2.069363
575.6047, 1.859371
576.0869, 1.731739
576.5690, 1.706589
577.0511, 1.674274
577.5332, 1.597286
578.0153, 1.458698
578.4974, 1.217056
578.9796, 0.8268700
579.4617, 0.6319310
579.9438, 0.9475940
580.4259, 1.407543
580.9080, 1.608521
581.3901, 1.519203
581.8723, 1.261898
582.3544, 0.8959240
582.8365, 0.5064240
583.3186, 0.3381920
583.8007, 0.5857580
584.2828, 0.7478560
584.7650, 0.7471960
585.2471, 0.7225420
585.7292, 0.8154180
586.2113, 0.9732590
586.6934, 1.005581
587.1755, 0.7796750
587.6577, 0.4003680
588.1398, 6.3235998E-02
588.6219, 0.2492450
589.1040, 0.4111860
589.5861, 0.3533440
590.0682, 0.1717030
590.5504, 6.6676997E-02
591.0325, 0.3522150
591.5146, 0.6170040
591.9967, 0.8923650
592.4788, 1.094223
592.9609, 1.127228
593.4431, 1.023640
593.9252, 0.8485790
594.4073, 0.6158790
594.8894, 0.4261890
595.3715, 0.4371990
595.8536, 0.7190630
596.3358, 0.9036100
596.8179, 0.9732970
597.3000, 0.9789050
597.7821, 0.8877830
598.2642, 0.7620160
598.7463, 0.7117690
599.2285, 0.7672770
599.7106, 0.7958220
600.1927, 0.5438500
600.6748, 3.4878001E-02
