##NAMES=Brianyoungite
##RRUFFID=R060431
##IDEAL CHEMISTRY=Zn^2+^_3_CO_3_(OH)_4_
##LOCALITY=Brownley Hill mine, Nenthead, Cumbria, England
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Sprays of white bladed crystals, associated with colorless tabular or prismatic gypsum.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060431
##MEASURED CHEMISTRY=EDS analysis shows the presence of Zn, with trace S.
331.1452, 15.64478
331.6273, 14.33862
332.1094, 13.49707
332.5916, 14.10547
333.0737, 17.21289
333.5558, 20.04102
334.0379, 22.67065
334.5200, 24.57520
335.0021, 24.64966
335.4843, 22.60986
335.9664, 20.41333
336.4485, 21.67798
336.9306, 27.90088
337.4127, 33.44238
337.8948, 38.86377
338.3770, 42.40771
338.8591, 42.17139
339.3412, 38.54028
339.8233, 34.47412
340.3055, 32.69531
340.7876, 33.25708
341.2697, 33.92725
341.7518, 34.57642
342.2339, 35.48169
342.7160, 37.30762
343.1982, 39.51025
343.6803, 40.90723
344.1624, 40.29663
344.6445, 38.14551
345.1266, 37.03687
345.6087, 37.47974
346.0909, 38.07178
346.5730, 38.93359
347.0551, 39.42505
347.5372, 38.50659
348.0193, 35.51172
348.5014, 31.72803
348.9836, 29.46362
349.4657, 29.04517
349.9478, 29.11182
350.4299, 30.17993
350.9120, 31.05933
351.3941, 30.51392
351.8763, 28.36133
352.3584, 26.14917
352.8405, 25.34229
353.3226, 25.94482
353.8047, 27.62207
354.2868, 31.90869
354.7690, 35.59326
355.2511, 35.60840
355.7332, 32.89966
356.2153, 31.57886
356.6974, 36.24658
357.1795, 44.76611
357.6617, 48.27173
358.1438, 44.63892
358.6259, 40.13892
359.1080, 37.24316
359.5901, 36.04443
360.0722, 37.21021
360.5544, 42.45776
361.0365, 48.44067
361.5186, 49.79883
362.0007, 45.86768
362.4828, 42.43701
362.9649, 41.84180
363.4471, 43.02734
363.9292, 45.22998
364.4113, 48.79663
364.8934, 51.46582
365.3755, 50.62085
365.8576, 46.99731
366.3398, 44.63403
366.8219, 44.45142
367.3040, 45.87109
367.7861, 48.72339
368.2682, 52.84839
368.7503, 56.48291
369.2325, 59.12329
369.7146, 60.78613
370.1967, 61.28003
370.6788, 60.46924
371.1609, 59.32617
371.6430, 58.30591
372.1252, 57.47803
372.6073, 57.30078
373.0894, 59.24316
373.5715, 61.08496
374.0536, 60.35352
374.5357, 57.47363
375.0179, 55.33667
375.5000, 55.56958
375.9821, 57.07861
376.4642, 57.39160
376.9463, 56.56055
377.4284, 54.76685
377.9106, 51.61621
378.3927, 47.83081
378.8748, 44.40625
379.3569, 41.56226
379.8390, 39.26001
380.3211, 37.82886
380.8033, 37.51538
381.2854, 36.65723
381.7675, 35.54614
382.2496, 33.57666
382.7317, 29.34595
383.2138, 23.25342
383.6960, 18.17236
384.1781, 16.43408
384.6602, 17.77173
385.1423, 18.05518
385.6244, 16.49902
386.1065, 14.94434
386.5887, 14.13989
387.0708, 13.70923
387.5529, 13.00171
388.0350, 11.72900
388.5171, 10.01172
388.9992, 8.077881
389.4814, 5.229248
389.9635, 3.326416
390.4456, 3.252686
390.9277, 3.536621
391.4098, 2.827148
391.8919, 1.055664
392.3741, 0.7470700
392.8562, 1.425781
393.3383, 0.7453610
393.8204, 0.7082520
394.3025, 2.494141
394.7846, 3.641357
395.2668, 2.541992
395.7489, 0.2683110
396.2310, 0.8881840
396.7131, 0.5822750
397.1952, 3.491455
397.6773, 3.466553
398.1595, 2.438965
398.6416, 6.385254
399.1237, 6.911133
399.6058, 5.598145
400.0879, 3.272949
400.5700, 0.3264160
401.0522, 2.374023
401.5343, 3.953125
402.0164, 4.434814
402.4985, 3.492188
402.9806, 1.295410
403.4627, 5.216553
403.9449, 5.227295
404.4270, 2.628418
404.9091, 1.019287
405.3912, 3.122314
405.8733, 7.568115
406.3554, 9.978271
406.8376, 9.666016
407.3197, 9.012207
407.8018, 9.047119
408.2839, 9.194336
408.7660, 8.578369
409.2481, 6.749023
409.7303, 5.427490
410.2124, 7.229980
410.6945, 11.85376
411.1766, 14.36401
411.6587, 12.71777
412.1408, 9.911377
412.6230, 8.555420
413.1051, 8.544922
413.5872, 9.239014
414.0693, 10.84375
414.5514, 12.81372
415.0335, 14.22559
415.5157, 14.98560
415.9978, 15.70337
416.4799, 17.27808
416.9620, 18.95166
417.4441, 18.52197
417.9262, 13.86816
418.4084, 9.809326
418.8905, 9.453369
419.3726, 11.82593
419.8547, 14.74487
420.3368, 17.72144
420.8189, 20.12183
421.3011, 20.62134
421.7832, 18.65015
422.2653, 17.37964
422.7474, 17.93481
423.2295, 18.81201
423.7116, 18.39624
424.1938, 16.78198
424.6759, 15.60913
425.1580, 16.30811
425.6401, 18.72266
426.1222, 19.88867
426.6043, 18.54517
427.0865, 17.60645
427.5686, 18.75610
428.0507, 20.42065
428.5328, 19.64575
429.0149, 15.39062
429.4970, 10.52710
429.9792, 10.50977
430.4613, 19.37793
430.9434, 24.21460
431.4255, 23.45532
431.9076, 20.83887
432.3897, 17.52417
432.8719, 14.15356
433.3540, 11.57520
433.8361, 10.50244
434.3182, 10.81567
434.8003, 11.71631
435.2824, 14.13818
435.7646, 15.69824
436.2467, 15.61426
436.7288, 14.59033
437.2109, 13.04712
437.6930, 11.09766
438.1751, 9.616211
438.6573, 10.33496
439.1394, 13.53638
439.6215, 14.71313
440.1036, 11.19849
440.5857, 7.807129
441.0678, 7.995605
441.5500, 11.03369
442.0321, 14.00635
442.5142, 15.45215
442.9963, 15.89648
443.4784, 16.36523
443.9605, 16.93042
444.4427, 16.89600
444.9248, 15.40039
445.4069, 13.34131
445.8890, 12.33936
446.3711, 12.76123
446.8532, 13.39551
447.3354, 13.82642
447.8175, 13.96582
448.2996, 13.40747
448.7817, 11.94971
449.2638, 10.53247
449.7459, 10.33301
450.2281, 11.40308
450.7102, 11.84277
451.1923, 11.00854
451.6744, 10.11523
452.1565, 10.01611
452.6386, 10.47827
453.1208, 10.83740
453.6029, 10.78955
454.0850, 10.17188
454.5671, 8.711670
455.0492, 4.528076
455.5313, 1.996094
456.0135, 2.054199
456.4956, 3.293213
456.9777, 5.108398
457.4598, 7.189453
457.9419, 9.007568
458.4240, 10.02954
458.9062, 10.13770
459.3883, 10.20557
459.8704, 10.37573
460.3525, 10.54224
460.8346, 10.70557
461.3167, 10.82178
461.7989, 11.15112
462.2810, 11.79712
462.7631, 12.32275
463.2452, 11.93066
463.7273, 10.42017
464.2094, 9.098877
464.6916, 8.046387
465.1737, 7.288086
465.6558, 6.438721
466.1379, 5.786621
466.6200, 6.356689
467.1021, 9.888672
467.5843, 14.46899
468.0664, 16.08862
468.5485, 14.45654
469.0306, 11.91016
469.5127, 8.756104
469.9948, 5.748535
470.4770, 3.993408
470.9591, 3.615967
471.4412, 4.240234
471.9233, 6.796387
472.4054, 9.963867
472.8875, 11.04688
473.3697, 9.494385
473.8518, 7.139893
474.3339, 5.500244
474.8160, 4.608887
475.2981, 3.857666
475.7802, 3.075195
476.2624, 2.600830
476.7445, 2.717041
477.2266, 3.205566
477.7087, 3.665283
478.1908, 3.922363
478.6729, 4.117920
479.1551, 4.586670
479.6372, 5.385498
480.1193, 6.248047
480.6014, 7.368164
481.0835, 8.096680
481.5656, 8.291992
482.0478, 7.900146
482.5299, 6.553711
483.0120, 3.732422
483.4941, 0.3676760
483.9762, 0.6157230
484.4583, 7.620605
484.9405, 11.80835
485.4226, 8.919434
485.9047, 4.355957
486.3868, 2.372070
486.8689, 3.509277
487.3510, 5.333496
487.8332, 5.716797
488.3153, 4.932129
488.7974, 4.473389
489.2795, 4.418213
489.7616, 4.515625
490.2437, 4.204346
490.7259, 4.078369
491.2080, 5.395508
491.6901, 9.490967
492.1722, 12.96948
492.6543, 12.65820
493.1364, 9.750732
493.6186, 7.658691
494.1007, 7.360840
494.5828, 7.718506
495.0649, 7.402588
495.5470, 6.406372
496.0291, 5.965332
496.5113, 6.364258
496.9934, 6.851929
497.4755, 7.062988
497.9576, 7.142822
498.4397, 7.240356
498.9218, 7.515625
499.4040, 7.875122
499.8861, 8.025269
500.3682, 8.289551
500.8503, 7.875610
501.3324, 6.065552
501.8145, 4.274048
502.2967, 2.937988
502.7788, 2.352173
503.2609, 3.158447
503.7430, 6.208496
504.2251, 10.53638
504.7072, 12.14001
505.1894, 9.679565
505.6715, 7.552002
506.1536, 7.266602
506.6357, 7.507080
507.1178, 7.029785
507.5999, 5.762451
508.0821, 5.078125
508.5642, 6.722168
509.0463, 9.732056
509.5284, 10.81958
510.0105, 9.309326
510.4926, 8.310303
510.9748, 10.77307
511.4569, 14.80200
511.9390, 15.78967
512.4211, 11.64001
512.9032, 7.862793
513.3853, 7.519653
513.8674, 9.245117
514.3495, 10.83923
514.8317, 11.81250
515.3138, 12.56470
515.7959, 13.55212
516.2780, 14.82068
516.7601, 15.47668
517.2422, 15.30200
517.7244, 14.82996
518.2065, 13.74915
518.6886, 12.66821
519.1707, 12.83691
519.6528, 14.60303
520.1349, 16.41199
520.6171, 15.55750
521.0992, 11.03870
521.5813, 8.004395
522.0634, 7.455811
522.5455, 7.523926
523.0276, 7.890869
523.5098, 8.343018
523.9919, 8.526855
524.4740, 8.150269
524.9561, 7.797363
525.4382, 8.449829
525.9203, 10.12708
526.4025, 11.80481
526.8846, 14.04211
527.3667, 15.07788
527.8488, 11.86023
528.3309, 5.279419
528.8130, 1.295898
529.2952, 3.469849
529.7773, 7.576416
530.2594, 10.22632
530.7415, 11.44299
531.2236, 11.79199
531.7057, 11.46057
532.1879, 10.57458
532.6700, 9.273315
533.1521, 6.934570
533.6342, 5.665039
534.1163, 6.959229
534.5984, 8.110840
535.0806, 7.130981
535.5627, 4.424438
536.0448, 1.377686
536.5269, 1.237549
537.0090, 3.188965
537.4911, 3.590820
537.9733, 1.745605
538.4554, 9.9854000E-02
538.9375, 1.338379
539.4196, 2.773071
539.9017, 5.832764
540.3839, 9.841553
540.8660, 11.90564
541.3481, 9.076294
541.8302, 3.670654
542.3123, 1.111206
542.7944, 1.752319
543.2766, 2.252686
543.7587, 1.346191
544.2408, 0.3820800
544.7229, 2.346558
545.2050, 4.718628
545.6871, 5.884155
546.1693, 4.329224
546.6514, 1.872559
547.1335, 0.5863040
547.6156, 0.4566650
548.0977, 0.1915280
548.5798, 1.091309
549.0620, 2.899292
549.5441, 3.583740
550.0262, 1.253296
550.5083, 0.2833250
550.9904, 2.312012
551.4725, 4.448975
551.9547, 4.197510
552.4368, 1.836182
552.9189, 0.7061770
553.4010, 2.145142
553.8831, 2.456665
554.3652, 1.029907
554.8474, 3.610229
555.3295, 6.276367
555.8116, 3.278931
556.2937, 0.5302730
556.7758, 1.686279
557.2579, 1.4648000E-02
557.7401, 2.442627
558.2222, 5.343994
558.7043, 7.936646
559.1864, 8.370728
559.6685, 6.587036
560.1506, 5.553833
560.6328, 6.911621
561.1149, 9.694824
561.5970, 12.17627
562.0791, 15.06787
562.5612, 15.59497
563.0433, 10.55420
563.5255, 4.950928
564.0076, 3.573608
564.4897, 5.838501
564.9718, 7.612671
565.4539, 6.136963
565.9360, 2.651611
566.4182, 1.524170
566.9003, 4.862915
567.3824, 6.583008
567.8645, 4.536011
568.3466, 2.429321
568.8287, 3.182617
569.3109, 6.158081
569.7930, 8.363647
570.2751, 7.511475
570.7572, 5.184570
571.2393, 5.009888
571.7214, 7.221191
572.2036, 8.760864
572.6857, 8.434692
573.1678, 7.256714
573.6499, 5.951050
574.1320, 4.516479
574.6141, 4.593140
575.0963, 8.480713
575.5784, 12.58350
576.0605, 13.36658
576.5426, 11.56873
577.0247, 10.10303
577.5068, 10.33179
577.9890, 11.33557
578.4711, 11.36365
578.9532, 9.896851
579.4353, 8.785278
579.9174, 7.469849
580.3995, 7.018555
580.8817, 8.699341
581.3638, 11.50354
581.8459, 13.58875
582.3280, 14.08533
582.8101, 13.50500
583.2922, 12.33093
583.7744, 10.46289
584.2565, 9.532104
584.7386, 10.09656
585.2207, 11.13428
585.7029, 11.58887
586.1850, 11.91089
586.6671, 13.43250
587.1492, 17.72583
587.6313, 21.63330
588.1135, 22.35205
588.5956, 20.98486
589.0777, 20.34998
589.5598, 21.19336
590.0419, 21.61902
590.5240, 19.05957
591.0062, 13.22632
591.4883, 11.66150
591.9704, 19.06360
592.4525, 24.52710
592.9346, 24.09985
593.4167, 20.97656
593.8989, 18.63818
594.3810, 17.93677
594.8631, 17.75464
595.3452, 17.52124
595.8273, 17.33472
596.3094, 16.18799
596.7916, 12.90259
597.2737, 11.14868
597.7558, 14.89050
598.2379, 19.86609
598.7200, 20.80688
599.2021, 16.68250
599.6843, 13.61975
600.1664, 16.00696
600.6485, 20.56384
601.1306, 22.42529
601.6127, 21.45984
602.0948, 20.18518
602.5770, 19.96265
603.0591, 20.46912
603.5412, 21.00256
604.0233, 22.28455
604.5054, 22.82751
604.9875, 21.79688
605.4697, 20.56665
605.9518, 19.67053
606.4339, 19.43311
606.9160, 20.57898
607.3981, 23.79321
607.8802, 27.28650
608.3624, 27.00793
608.8445, 22.42102
609.3266, 18.90808
609.8087, 17.46350
610.2908, 17.12061
610.7729, 17.39539
611.2551, 18.07251
611.7372, 18.56628
612.2193, 18.97668
612.7014, 19.31140
613.1835, 18.73962
613.6656, 17.67615
614.1478, 16.99329
614.6299, 17.12805
615.1120, 18.34082
615.5941, 21.02295
616.0762, 25.13135
616.5583, 26.82117
617.0405, 24.43225
617.5226, 21.64453
618.0047, 18.38977
618.4868, 15.40637
618.9689, 13.37134
619.4510, 12.37756
619.9332, 12.10925
620.4153, 12.57727
620.8974, 13.50659
621.3795, 13.65808
621.8616, 12.74976
622.3438, 12.78113
622.8259, 15.27905
623.3080, 18.40027
623.7901, 19.53235
624.2722, 18.58997
624.7543, 17.91345
625.2365, 18.67969
625.7186, 19.34558
626.2007, 19.24939
626.6828, 18.41394
627.1649, 16.54016
627.6470, 13.42395
628.1292, 10.63611
628.6113, 10.99890
629.0934, 15.62561
629.5755, 18.64661
630.0576, 18.16443
630.5397, 18.00256
631.0219, 20.66248
631.5040, 23.73938
631.9861, 23.26440
632.4682, 17.98132
632.9503, 12.53845
633.4324, 11.60425
633.9146, 13.91101
634.3967, 15.51062
634.8788, 16.05750
635.3609, 16.28979
635.8430, 16.39539
636.3251, 16.63770
636.8073, 18.01111
637.2894, 21.62122
637.7715, 23.62317
638.2536, 21.95984
638.7357, 19.70007
639.2178, 19.71594
639.7000, 21.24841
640.1821, 21.37134
640.6642, 18.38867
641.1463, 13.97449
641.6284, 11.46790
642.1105, 11.13257
642.5927, 11.41968
643.0748, 13.03345
643.5569, 14.17932
644.0390, 13.31201
644.5211, 11.40198
645.0032, 10.61841
645.4854, 12.18140
645.9675, 13.22278
646.4496, 10.76160
646.9317, 6.784912
647.4138, 5.328613
647.8959, 6.844971
648.3781, 8.645508
648.8602, 8.804688
649.3423, 7.564331
649.8244, 6.057617
650.3065, 3.833374
650.7886, 2.023682
651.2708, 5.2490002E-03
651.7529, 1.057373
652.2350, 0.5924070
652.7171, 3.911255
653.1992, 6.008545
653.6813, 5.276123
654.1635, 2.772705
654.6456, 0.9296880
655.1277, 5.543335
655.6098, 6.912109
656.0919, 3.392334
656.5740, 1.010498
657.0562, 2.695801
657.5383, 2.121094
658.0204, 2.950806
658.5025, 7.723999
658.9846, 10.71765
659.4667, 8.607056
659.9489, 4.918091
660.4310, 3.266724
660.9131, 4.017456
661.3952, 5.778442
661.8773, 7.783691
662.3594, 9.500610
662.8416, 8.812012
663.3237, 4.795532
663.8058, 1.761963
664.2879, 0.6501460
664.7700, 0.5943600
665.2521, 1.009277
665.7343, 1.900635
666.2164, 3.336670
666.6985, 5.808105
667.1806, 8.209106
667.6627, 10.62573
668.1448, 12.19897
668.6270, 10.50037
669.1091, 5.321167
669.5912, 4.9683001E-02
670.0733, 2.841675
670.5554, 3.205078
671.0375, 2.169067
671.5197, 1.863037
672.0018, 4.646851
672.4839, 5.041992
672.9660, 4.739014
673.4481, 4.269531
673.9302, 4.073364
674.4124, 5.294800
674.8945, 9.479614
675.3766, 13.74988
675.8587, 13.87878
676.3408, 10.74817
676.8229, 8.289307
677.3051, 7.281738
677.7872, 7.542725
678.2693, 9.424316
678.7514, 12.62744
679.2335, 13.59009
679.7156, 10.15344
680.1978, 7.635132
680.6799, 8.248535
681.1620, 8.974365
681.6441, 5.983765
682.1262, 0.4107670
682.6083, 2.508911
683.0905, 1.085327
683.5726, 7.738770
684.0547, 11.06311
684.5368, 11.05090
685.0189, 9.854370
685.5010, 7.168213
685.9832, 5.005737
686.4653, 5.631836
686.9474, 8.365234
687.4295, 9.620483
687.9116, 7.512085
688.3937, 6.390503
688.8759, 9.050415
689.3580, 12.28699
689.8401, 12.22632
690.3222, 9.280151
690.8043, 7.092407
691.2864, 8.182129
691.7686, 11.00659
692.2507, 11.46252
692.7328, 8.932983
693.2149, 8.140747
693.6970, 10.73438
694.1791, 13.70862
694.6613, 14.71436
695.1434, 14.58264
695.6255, 15.32593
696.1076, 18.24756
696.5897, 19.97876
697.0718, 17.18848
697.5540, 13.39807
698.0361, 13.26001
698.5182, 16.63538
699.0003, 20.45703
699.4824, 22.93140
699.9645, 24.11914
700.4467, 23.77124
700.9288, 21.03345
701.4109, 20.07898
701.8930, 23.25488
702.3751, 25.64539
702.8572, 23.83350
703.3394, 20.01013
703.8215, 18.01501
704.3036, 19.03015
704.7857, 20.31494
705.2678, 20.14929
705.7499, 19.42249
706.2321, 19.24316
706.7142, 19.67163
707.1963, 20.53870
707.6784, 21.81360
708.1605, 23.03918
708.6426, 23.26550
709.1248, 22.16858
709.6069, 21.17480
710.0890, 20.05627
710.5711, 19.59949
711.0532, 20.99500
711.5353, 22.79944
712.0175, 22.96436
712.4996, 20.72449
712.9817, 18.57141
713.4638, 18.97607
713.9459, 20.81824
714.4280, 21.92212
714.9102, 22.07812
715.3923, 22.79504
715.8744, 25.01624
716.3565, 27.12671
716.8386, 26.23706
717.3207, 21.40698
717.8029, 20.47974
718.2850, 27.83301
718.7671, 33.74646
719.2492, 35.30835
719.7313, 34.94617
720.2134, 34.74426
720.6956, 35.05652
721.1777, 35.74939
721.6598, 37.21448
722.1419, 38.78723
722.6240, 39.28247
723.1061, 39.06470
723.5883, 39.99548
