##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
421.5758, 215.5425
422.0579, 196.2129
422.5400, 171.7935
423.0221, 148.0142
423.5042, 133.9868
423.9864, 136.8296
424.4685, 141.8633
424.9506, 147.2744
425.4327, 153.2856
425.9148, 155.3042
426.3969, 153.9824
426.8791, 147.9385
427.3612, 133.5405
427.8433, 104.8613
428.3254, 87.02490
428.8075, 86.02832
429.2896, 97.37695
429.7718, 107.6396
430.2539, 117.8296
430.7360, 122.0342
431.2181, 111.7617
431.7002, 88.66260
432.1823, 78.45557
432.6645, 84.45605
433.1466, 96.58447
433.6287, 100.7803
434.1108, 98.59180
434.5929, 97.97314
435.0750, 108.1333
435.5572, 119.4863
436.0393, 109.0645
436.5214, 77.91309
437.0035, 51.10596
437.4856, 57.88818
437.9677, 78.57617
438.4499, 82.97656
438.9320, 52.09277
439.4141, 22.01367
439.8962, 23.08740
440.3783, 45.94092
440.8604, 66.33057
441.3426, 75.46143
441.8247, 77.37402
442.3068, 71.30225
442.7889, 54.03711
443.2710, 44.07959
443.7531, 55.01416
444.2353, 72.38379
444.7174, 80.45703
445.1995, 60.40527
445.6816, 49.38379
446.1637, 58.43018
446.6458, 85.11963
447.1280, 103.8599
447.6101, 114.3413
448.0922, 116.1621
448.5743, 107.0767
449.0564, 78.41162
449.5385, 65.49658
450.0207, 75.40088
450.5028, 96.13721
450.9849, 97.19141
451.4670, 74.29297
451.9491, 55.64990
452.4312, 58.99951
452.9134, 84.64795
453.3955, 94.32666
453.8776, 84.44873
454.3597, 71.02686
454.8418, 69.20459
455.3239, 76.48340
455.8061, 85.19189
456.2882, 94.77734
456.7703, 104.2222
457.2524, 110.6445
457.7345, 114.2407
458.2166, 115.6797
458.6988, 113.5420
459.1809, 112.4800
459.6630, 116.9043
460.1451, 128.5283
460.6272, 137.2993
461.1093, 128.9355
461.5915, 116.3994
462.0736, 115.9702
462.5557, 155.3364
463.0378, 185.8545
463.5199, 178.7402
464.0020, 140.4600
464.4842, 120.5562
464.9663, 146.5249
465.4484, 180.9072
465.9305, 204.4390
466.4126, 213.9600
466.8947, 217.2573
467.3769, 212.5898
467.8590, 202.4863
468.3411, 189.9341
468.8232, 170.9321
469.3053, 157.5151
469.7874, 152.4321
470.2696, 155.6211
470.7517, 169.2871
471.2338, 197.9780
471.7159, 223.0527
472.1980, 223.1665
472.6801, 199.0962
473.1623, 186.0498
473.6444, 191.5151
474.1265, 204.9756
474.6086, 210.4351
475.0907, 208.2681
475.5728, 200.9053
476.0550, 186.1079
476.5371, 168.1079
477.0192, 153.2295
477.5013, 141.6074
477.9834, 133.4849
478.4655, 129.8481
478.9477, 129.5845
479.4298, 131.4624
479.9119, 138.0273
480.3940, 143.0278
480.8761, 145.0498
481.3582, 143.1836
481.8404, 134.6318
482.3225, 109.2979
482.8046, 84.64062
483.2867, 67.97510
483.7688, 60.35303
484.2509, 59.30420
484.7331, 73.03711
485.2152, 88.90820
485.6973, 95.30176
486.1794, 88.08057
486.6615, 78.15771
487.1436, 65.58984
487.6258, 51.38672
488.1079, 39.99609
488.5900, 31.21045
489.0721, 26.01123
489.5542, 26.67920
490.0363, 33.30908
490.5185, 36.15820
491.0006, 34.83643
491.4827, 30.04395
491.9648, 20.18018
492.4470, 6.574707
492.9291, 2.897949
493.4112, 2.190430
493.8933, 1.322266
494.3754, 7.190430
494.8575, 25.47559
495.3397, 38.00732
495.8218, 30.65576
496.3039, 14.20020
496.7860, 0.1025390
497.2681, 9.984375
497.7502, 18.39209
498.2324, 29.39355
498.7145, 38.71289
499.1966, 41.61768
499.6787, 26.63574
500.1608, 13.43750
500.6429, 9.841797
501.1251, 14.87354
501.6072, 15.92822
502.0893, 7.752930
502.5714, 0.7138670
503.0535, 5.029785
503.5356, 2.461914
504.0178, 3.282227
504.4999, 12.58301
504.9820, 20.58105
505.4641, 8.768066
505.9462, 27.92773
506.4283, 58.19922
506.9105, 74.33545
507.3926, 76.69873
507.8747, 55.98535
508.3568, 10.29395
508.8389, 17.53760
509.3210, 27.47949
509.8032, 113.9395
510.2853, 150.3926
510.7674, 116.9854
511.2495, 70.22412
511.7316, 59.15186
512.2137, 77.11182
512.6959, 92.36069
513.1780, 121.6107
513.6601, 140.5873
514.1422, 149.8418
514.6243, 120.2553
515.1064, 140.8230
515.5886, 141.2931
516.0707, 140.9367
516.5528, 168.5643
517.0349, 144.6270
517.5170, 171.8107
517.9991, 181.8755
518.4813, 197.6401
518.9634, 201.5962
519.4455, 177.8018
519.9276, 170.1592
520.4097, 192.4009
520.8918, 239.1191
521.3740, 279.7002
521.8561, 315.5796
522.3382, 340.3818
522.8203, 346.6099
523.3024, 335.4697
523.7845, 324.3066
524.2667, 312.3569
524.7488, 304.9526
525.2309, 310.8726
525.7130, 326.9453
526.1951, 342.3750
526.6772, 357.2632
527.1594, 366.2192
527.6415, 359.9824
528.1236, 341.1245
528.6057, 320.6689
529.0878, 300.4570
529.5699, 284.1274
530.0521, 276.9243
530.5342, 282.5308
531.0163, 283.0913
531.4984, 265.5664
531.9805, 243.2412
532.4626, 230.1704
532.9448, 235.9170
533.4269, 242.0830
533.9090, 250.2427
534.3911, 257.7349
534.8732, 252.3955
535.3553, 226.2598
535.8375, 202.1318
536.3196, 192.1538
536.8017, 197.2466
537.2838, 193.6860
537.7659, 179.9556
538.2480, 162.4707
538.7302, 147.4956
539.2123, 134.6753
539.6944, 121.7529
540.1765, 106.5645
540.6586, 94.11475
541.1407, 95.34082
541.6229, 106.2041
542.1050, 112.2212
542.5871, 97.63086
543.0692, 79.94629
543.5513, 75.75098
544.0334, 85.88184
544.5156, 98.63477
544.9977, 119.5615
545.4798, 134.5161
545.9619, 131.0190
546.4440, 87.72168
546.9261, 54.24121
547.4083, 40.59424
547.8904, 40.38770
548.3725, 43.00586
548.8546, 54.04053
549.3367, 58.51025
549.8188, 50.59570
550.3010, 31.66846
550.7831, 16.93066
551.2652, 6.360352
551.7473, 1.211426
552.2294, 4.760742
552.7115, 15.24316
553.1937, 18.95703
