##NAMES=Belendorffite
##RRUFFID=R070346
##IDEAL CHEMISTRY=Cu_7_Hg_6_
##LOCALITY=Landsberg Mountain (Moschellandsberg Mountain), Obermoschel, Rhineland-Palatinate, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Fragment of a yellowish-brown hexagonal crystal, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070346
502.0893, 15.58936
502.5714, 13.55969
503.0535, 10.29303
503.5356, 4.837219
504.0178, 0.1629640
504.4999, 4.861206
504.9820, 8.007019
505.4641, 4.049194
505.9462, 9.304626
506.4283, 17.16797
506.9105, 11.84338
507.3926, 1.505615
507.8747, 0.4899290
508.3568, 18.72760
508.8389, 36.02942
509.3210, 37.35120
509.8032, 28.05444
510.2853, 23.58154
510.7674, 26.78284
511.2495, 30.87268
511.7316, 28.16431
512.2137, 21.22052
512.6959, 15.31433
513.1780, 13.30695
513.6601, 12.46698
514.1422, 10.04871
514.6243, 6.657898
515.1064, 6.490723
515.5886, 18.16644
516.0707, 28.79358
516.5528, 29.21881
517.0349, 9.761108
517.5170, 2.903259
517.9991, 0.9182130
518.4813, 7.183899
518.9634, 10.84247
519.4455, 8.163635
519.9276, 3.991211
520.4097, 2.633972
520.8918, 10.35602
521.3740, 9.288696
521.8561, 3.299316
522.3382, 15.63495
522.8203, 19.72815
523.3024, 15.97888
523.7845, 10.85760
524.2667, 3.870911
524.7488, 1.262573
525.2309, 2.013000
525.7130, 11.08496
526.1951, 17.49847
526.6772, 16.70459
527.1594, 13.38458
527.6415, 13.14398
528.1236, 15.28375
528.6057, 16.72333
529.0878, 15.09076
529.5699, 12.59155
530.0521, 10.23749
530.5342, 7.606873
531.0163, 7.088928
531.4984, 11.30103
531.9805, 17.17731
532.4626, 21.47125
532.9448, 23.24567
533.4269, 24.00177
533.9090, 23.95667
534.3911, 23.02081
534.8732, 20.48474
535.3553, 14.63684
535.8375, 10.39905
536.3196, 11.06049
536.8017, 17.06232
537.2838, 18.16608
537.7659, 13.41553
538.2480, 6.939697
538.7302, 1.915710
539.2123, 1.412781
539.6944, 0.5461430
540.1765, 6.356384
540.6586, 15.29034
541.1407, 21.57361
541.6229, 25.36676
542.1050, 27.38519
542.5871, 26.98438
543.0692, 25.66010
543.5513, 24.00220
544.0334, 22.09668
544.5156, 22.28284
544.9977, 29.97070
545.4798, 37.64398
545.9619, 38.90070
546.4440, 24.75952
546.9261, 15.75916
547.4083, 20.73236
547.8904, 31.37805
548.3725, 31.93903
548.8546, 12.41608
549.3367, 0.4949340
549.8188, 2.160645
550.3010, 18.61841
550.7831, 28.06689
551.2652, 29.42157
551.7473, 27.37250
552.2294, 23.99219
552.7115, 19.57092
553.1937, 17.78790
553.6758, 20.12225
554.1579, 22.16956
554.6400, 15.79126
555.1221, 4.412903
555.6042, 1.794922
556.0864, 5.004517
556.5685, 14.16907
557.0506, 14.08453
557.5327, 7.235657
558.0148, 2.861877
558.4969, 9.481812
558.9791, 16.93829
559.4612, 17.94928
559.9433, 9.953308
560.4254, 5.029846
560.9075, 7.717957
561.3896, 13.12756
561.8718, 17.09747
562.3539, 20.48669
562.8360, 20.28815
563.3181, 14.16498
563.8002, 5.629578
564.2823, 3.780029
564.7645, 10.03717
565.2466, 16.68427
565.7287, 20.83081
566.2108, 22.89307
566.6929, 25.79034
567.1750, 29.66321
567.6572, 30.71405
568.1393, 22.18689
568.6214, 9.121582
569.1035, 1.996826
569.5856, 2.882324
570.0677, 7.721313
570.5499, 17.68042
571.0320, 28.44513
571.5141, 33.27826
571.9962, 25.21692
572.4783, 15.24243
572.9604, 5.430725
573.4426, 3.298035
573.9247, 6.886475
574.4068, 1.833740
574.8889, 9.910217
575.3710, 11.47815
575.8531, 4.579590
576.3353, 2.360535
576.8174, 6.767700
577.2995, 12.97015
577.7816, 16.82367
578.2637, 18.21869
578.7458, 16.67346
579.2280, 11.21631
579.7101, 5.572266
580.1922, 8.094116
580.6743, 16.93524
581.1564, 21.66785
581.6385, 11.73639
582.1207, 1.971069
582.6028, 4.098206
583.0849, 4.217102
583.5670, 13.45453
584.0491, 20.94012
584.5313, 25.24072
585.0134, 24.54108
585.4955, 17.00641
585.9776, 9.674927
586.4597, 1.915710
586.9418, 3.656738
587.4240, 3.679688
587.9061, 7.907471
588.3882, 15.41467
588.8703, 15.53778
589.3524, 10.95306
589.8345, 9.850830
590.3167, 13.23529
590.7988, 16.14142
591.2809, 14.99536
591.7630, 11.41974
592.2451, 15.62738
592.7272, 28.06403
593.2094, 38.74054
593.6915, 36.65875
594.1736, 27.44922
594.6557, 21.87646
595.1378, 22.22540
595.6199, 24.40961
596.1021, 26.15881
596.5842, 27.63525
597.0663, 29.04108
597.5485, 32.00787
598.0306, 34.00385
598.5127, 32.49457
598.9948, 27.81866
599.4769, 24.63690
599.9590, 27.61005
600.4412, 27.97186
600.9233, 21.44513
601.4054, 7.190186
601.8875, 0.2396850
602.3696, 0.3853150
602.8517, 3.640686
603.3339, 5.582336
603.8160, 7.017456
604.2981, 12.60962
604.7802, 24.50415
605.2623, 34.68066
605.7444, 28.21045
606.2266, 11.53149
606.7087, 2.401428
607.1908, 13.19147
607.6729, 27.72119
608.1550, 33.35638
608.6371, 32.09381
609.1193, 30.62250
609.6014, 30.85284
610.0835, 32.32703
610.5656, 35.07025
611.0477, 39.21497
611.5298, 43.78113
612.0120, 50.51196
612.4941, 55.49597
612.9762, 55.80170
613.4583, 50.07184
613.9404, 44.34198
614.4225, 38.05560
614.9047, 33.34717
615.3868, 33.91125
615.8689, 38.69324
616.3510, 44.75806
616.8331, 53.59589
617.3152, 61.75244
617.7974, 61.65210
618.2795, 54.61993
618.7616, 48.10931
619.2437, 46.77643
619.7258, 47.08887
620.2079, 46.11719
620.6901, 43.73956
621.1722, 42.68304
621.6543, 46.33014
622.1364, 49.89795
622.6185, 49.79810
623.1006, 42.38782
623.5828, 39.37506
624.0649, 44.07874
624.5470, 50.13470
625.0291, 49.16479
625.5112, 39.58746
625.9933, 31.32825
626.4755, 26.10199
626.9576, 23.36365
627.4397, 21.71832
627.9218, 21.37573
628.4039, 23.99152
628.8860, 33.37634
629.3682, 44.47620
629.8503, 50.49115
630.3324, 51.77716
630.8145, 50.99194
631.2966, 47.27283
631.7787, 43.52386
632.2609, 42.62415
632.7430, 45.60773
633.2251, 47.44891
633.7072, 45.35321
634.1893, 42.85339
634.6714, 43.25061
635.1536, 49.62079
635.6357, 51.73950
636.1178, 47.35828
636.5999, 39.98914
637.0820, 35.93683
637.5641, 35.32196
638.0463, 35.93170
638.5284, 37.93304
639.0105, 39.96198
639.4926, 39.39191
639.9747, 36.18219
640.4568, 31.26611
640.9390, 20.67273
641.4211, 11.73999
641.9032, 13.16626
642.3853, 25.51813
642.8674, 37.08826
643.3495, 45.65332
643.8317, 50.13806
644.3138, 49.44281
644.7959, 39.31122
645.2780, 31.58252
645.7601, 26.06885
646.2422, 23.07672
646.7244, 24.78998
647.2065, 33.29822
647.6886, 34.63306
648.1707, 23.66296
648.6528, 8.142822
649.1349, 4.156250
649.6171, 10.46906
650.0992, 17.93292
650.5813, 23.27991
651.0634, 26.68402
651.5455, 26.73602
652.0276, 24.33472
652.5098, 24.34564
652.9919, 36.43707
653.4740, 46.27460
653.9561, 42.85492
654.4382, 22.28314
654.9203, 5.889038
655.4025, 6.648315
