##NAMES=Cobaltlotharmeyerite
##RRUFFID=R070400
##IDEAL CHEMISTRY=CaCo^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Roter Berg District, Schneeberg District, Erzgebirge, Saxony, Germany
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Aggregates of light brown fibers on quartz, associated with metazeunerite R110205
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070400
632.0630, 29.62415
632.5452, 33.84717
633.0273, 37.78003
633.5094, 39.71204
633.9915, 36.91870
634.4736, 30.80371
634.9557, 29.13501
635.4379, 37.32971
635.9200, 46.22937
636.4021, 53.62488
636.8842, 57.55042
637.3663, 53.11902
637.8484, 40.57117
638.3306, 26.06360
638.8127, 14.84912
639.2948, 7.879028
639.7769, 11.24829
640.2590, 30.57935
640.7411, 41.30054
641.2233, 28.97620
641.7054, 12.16113
642.1875, 10.87561
642.6696, 24.24487
643.1517, 37.01489
643.6339, 51.37756
644.1160, 60.08521
644.5981, 55.22693
645.0802, 43.40588
645.5623, 33.16101
646.0444, 27.06006
646.5266, 24.08679
647.0087, 23.76306
647.4908, 25.48511
647.9729, 26.26953
648.4550, 25.31458
648.9371, 28.91638
649.4193, 42.95117
649.9014, 57.60901
650.3835, 62.63440
650.8656, 58.64966
651.3477, 53.30212
651.8298, 44.68091
652.3120, 40.88062
652.7941, 52.14282
653.2762, 67.97498
653.7583, 74.24438
654.2404, 69.26038
654.7225, 59.30505
655.2047, 48.15674
655.6868, 37.74963
656.1689, 33.25745
656.6510, 35.76941
657.1331, 37.01538
657.6152, 34.76208
658.0974, 31.50891
658.5795, 27.98218
659.0616, 24.87622
659.5437, 27.20251
660.0258, 47.08057
660.5079, 58.93640
660.9901, 44.72583
661.4722, 24.17786
661.9543, 19.77856
662.4364, 31.14893
662.9185, 42.99255
663.4006, 45.59180
663.8828, 41.34900
664.3649, 33.49756
664.8470, 21.80176
665.3291, 14.62183
665.8112, 12.67163
666.2933, 16.85938
666.7755, 31.31104
667.2576, 52.64038
667.7397, 66.21741
668.2218, 71.14319
668.7039, 70.25256
669.1860, 57.58313
669.6682, 44.67810
670.1503, 41.42297
670.6324, 45.71631
671.1145, 50.38147
671.5966, 52.16479
672.0787, 50.01160
672.5609, 38.61670
673.0430, 20.41211
673.5251, 14.34094
674.0072, 24.00696
674.4893, 34.80042
674.9714, 38.17285
675.4536, 36.73938
675.9357, 37.22937
676.4178, 40.90784
676.8999, 43.65955
677.3820, 44.84192
