##NAMES=Berzelianite
##RRUFFID=R110159
##IDEAL CHEMISTRY=Cu_2-x_Se (x &#8776; 0.12)
##LOCALITY=Facebaja, Romania
##OWNER=RRUFF
##SOURCE=Mark N Feinglos
##DESCRIPTION=Black metallic euhedral grains, associated with pale-yellow sulfur crystals.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110159
659.5370, 1.219473
660.0191, 1.270973
660.5012, 1.432028
660.9833, 1.509266
661.4655, 1.329050
661.9476, 0.9608120
662.4297, 0.5419160
662.9118, 1.9501001E-02
663.3939, 9.7966999E-02
663.8760, 0.5669350
664.3582, 1.437931
664.8403, 1.804245
665.3224, 1.709597
665.8045, 1.627714
666.2866, 1.689915
666.7687, 1.724840
667.2509, 1.591850
667.7330, 1.381945
668.2151, 1.238401
668.6972, 1.201593
669.1793, 1.246771
669.6614, 1.378693
670.1436, 1.579021
670.6257, 1.566877
671.1078, 1.205770
671.5899, 0.9136770
672.0720, 0.8263990
672.5541, 0.8394620
673.0363, 0.9013960
673.5184, 0.9997080
674.0005, 1.080284
674.4826, 1.097563
674.9647, 1.106457
675.4468, 1.196924
675.9290, 1.326191
676.4111, 1.360996
676.8932, 1.258535
677.3753, 1.079206
677.8574, 0.8610690
678.3395, 0.5888690
678.8217, 0.5911010
679.3038, 1.225492
679.7859, 1.702394
680.2680, 1.892986
680.7501, 1.864698
681.2322, 1.574034
681.7144, 1.079998
682.1965, 0.6883930
682.6786, 0.6374720
683.1607, 0.8329300
683.6428, 1.155455
684.1249, 1.531286
684.6071, 1.499855
685.0892, 0.8256650
685.5713, 9.3333997E-02
686.0534, 6.4349999E-03
686.5355, 0.5426790
687.0176, 0.9397560
687.4998, 1.325336
687.9819, 1.534763
688.4640, 1.449846
688.9461, 1.213850
689.4282, 0.9043390
689.9103, 0.5754090
690.3925, 0.3547290
690.8746, 0.3846870
691.3567, 0.5510390
691.8388, 0.5246470
692.3209, 0.2899530
692.8030, 0.3078020
693.2852, 0.8805560
693.7673, 1.399143
694.2494, 1.087793
694.7315, 1.9757999E-02
695.2136, 0.5989550
695.6957, 0.4771290
696.1779, 0.2043340
696.6600, 0.1100140
697.1421, 0.4155460
697.6242, 0.7339760
698.1063, 1.014246
698.5884, 1.037001
699.0706, 0.5688170
699.5527, 0.1604540
700.0348, 0.4849170
700.5169, 0.3463080
700.9990, 6.7633003E-02
701.4811, 0.4382380
701.9633, 0.9060920
702.4454, 1.106407
702.9275, 1.082743
703.4096, 0.9439930
703.8917, 0.5455250
704.3738, 0.2528210
704.8560, 0.2442230
705.3381, 0.4070380
705.8202, 0.6940460
706.3023, 1.044950
706.7844, 1.228848
707.2665, 1.086140
707.7487, 0.7728080
708.2308, 0.7632790
708.7129, 1.173525
709.1950, 1.351109
709.6771, 1.073555
710.1592, 0.7535990
710.6414, 0.6858350
711.1235, 0.7635590
711.6056, 0.7361530
