##NAMES=Pyrochlore
##RRUFFID=R080058
##IDEAL CHEMISTRY=Ca_2_Nb_2_O_7_
##LOCALITY=Samiresy, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange octahedron, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080058
523.8480, 0.3076170
524.3301, 3.526978
524.8122, 4.743164
525.2943, 4.027954
525.7764, 2.751221
526.2585, 0.9038090
526.7407, 0.8706050
527.2228, 0.7956540
527.7049, 0.6953130
528.1870, 1.178589
528.6691, 2.653198
529.1512, 7.345825
529.6334, 8.440796
530.1155, 5.531982
530.5976, 2.188843
531.0797, 0.1014400
531.5618, 1.527222
532.0439, 2.223633
532.5261, 1.682739
533.0082, 1.242310
533.4903, 1.925537
533.9724, 2.881958
534.4545, 2.269287
534.9366, 1.718750
535.4188, 5.422974
535.9009, 8.530762
536.3830, 11.02429
536.8651, 10.53784
537.3472, 5.606567
537.8293, 0.6129150
538.3115, 1.081909
538.7936, 0.8714600
539.2757, 1.400391
539.7578, 0.2331540
540.2399, 1.941162
540.7220, 0.1739500
541.2042, 4.373779
541.6863, 7.729004
542.1684, 8.075195
542.6505, 7.369385
543.1326, 9.357178
543.6147, 13.01953
544.0969, 14.51526
544.5790, 8.083618
545.0611, 0.7911380
545.5432, 0.6790770
546.0253, 4.465332
546.5074, 8.953369
546.9896, 8.817749
547.4717, 7.358887
547.9538, 7.190918
548.4359, 10.33972
548.9180, 12.57507
549.4001, 12.73413
549.8823, 12.03345
550.3644, 12.62549
550.8465, 15.27551
551.3286, 18.23523
551.8107, 21.66382
552.2928, 25.16333
552.7750, 24.99341
553.2571, 20.29407
553.7392, 16.06262
554.2213, 16.17676
554.7034, 19.82690
555.1855, 22.50024
555.6677, 23.99426
556.1498, 24.68384
556.6319, 24.87415
557.1140, 24.46545
557.5961, 23.01794
558.0782, 19.18286
558.5604, 16.44128
559.0425, 19.58618
559.5246, 25.87769
560.0067, 29.27026
560.4888, 23.79456
560.9709, 18.22839
561.4531, 16.93176
561.9352, 19.98865
562.4173, 22.02429
562.8994, 21.75366
563.3815, 20.82703
563.8636, 19.90344
564.3458, 18.54236
564.8279, 18.56519
565.3100, 20.79700
565.7921, 23.36841
566.2742, 23.62354
566.7563, 21.29626
567.2385, 18.72632
567.7206, 15.93774
568.2027, 14.09705
568.6848, 16.94299
569.1669, 23.80859
569.6490, 29.00476
570.1312, 28.48657
570.6133, 24.89197
571.0954, 21.18311
571.5775, 17.71240
572.0596, 16.09375
572.5417, 18.42236
573.0239, 21.99597
573.5060, 24.47949
573.9881, 25.29626
574.4702, 25.65198
574.9523, 24.89929
575.4344, 24.22607
575.9166, 25.17261
576.3987, 30.97827
576.8808, 33.92102
577.3629, 31.78955
577.8450, 26.87683
578.3271, 25.97107
578.8093, 30.02148
579.2914, 34.38745
579.7735, 37.17798
580.2556, 38.53027
580.7377, 40.20837
581.2198, 42.25952
581.7020, 43.29431
582.1841, 40.88635
582.6662, 36.74097
583.1483, 34.90369
583.6304, 36.11975
584.1125, 38.70557
584.5947, 42.69836
585.0768, 46.58484
585.5589, 48.17615
586.0410, 44.98950
586.5231, 41.70911
587.0052, 39.55811
587.4874, 38.61780
587.9695, 39.17700
588.4516, 45.04736
588.9337, 48.46899
589.4158, 45.98572
589.8979, 37.59668
590.3801, 33.02759
590.8622, 33.48926
591.3443, 35.50635
591.8264, 37.06018
592.3085, 38.20471
592.7906, 39.52661
593.2728, 40.84998
593.7549, 42.15393
594.2370, 43.66516
594.7191, 45.22058
595.2012, 46.26660
595.6833, 46.73157
596.1655, 46.33630
596.6476, 43.55969
597.1297, 39.79749
597.6118, 38.35950
598.0939, 44.19275
598.5760, 49.86292
599.0582, 49.95813
599.5403, 45.12012
600.0224, 42.56799
600.5045, 46.45483
600.9866, 50.85815
601.4688, 53.24768
601.9509, 53.39075
