##NAMES=Kleinite
##RRUFFID=R150103
##IDEAL CHEMISTRY=Hg_2_N(Cl,S^6+^O_4_)&#183;nH_2_O
##LOCALITY=Terlingua, Brewster Co., Texas, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of orange short hexagonal prismatic crystals, associated with colorless or white prismatic gypsum. Part of the type find.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R150103
408.4623, 8.318604
408.9445, 9.126953
409.4266, 8.885986
409.9087, 7.387207
410.3908, 5.445557
410.8729, 5.352539
411.3550, 7.027832
411.8372, 8.738770
412.3193, 10.22046
412.8014, 10.73071
413.2835, 7.616943
413.7656, 0.4614260
414.2477, 8.255371
414.7299, 8.147705
415.2120, 3.140869
415.6941, 0.4282230
416.1762, 6.060547
416.6583, 13.68433
417.1404, 16.96948
417.6226, 15.98389
418.1047, 15.62866
418.5868, 19.95630
419.0689, 25.68750
419.5510, 29.82959
420.0331, 31.37524
420.5153, 31.38525
420.9974, 29.46655
421.4795, 26.24048
421.9616, 23.25562
422.4437, 19.16968
422.9258, 16.94189
423.4080, 18.52368
423.8901, 25.63232
424.3722, 31.00513
424.8543, 33.29688
425.3364, 34.04248
425.8185, 34.60742
426.3007, 33.96484
426.7828, 34.80396
427.2649, 38.14307
427.7470, 43.45532
428.2291, 47.59497
428.7112, 50.51807
429.1934, 52.20972
429.6755, 52.34448
430.1576, 50.37036
430.6397, 49.24902
431.1218, 48.66357
431.6039, 49.52979
432.0861, 54.63721
432.5682, 64.39404
433.0503, 71.89575
433.5324, 74.22412
434.0145, 72.69141
434.4966, 71.35547
434.9788, 70.20581
435.4609, 69.79932
435.9430, 71.33521
436.4251, 74.10083
436.9072, 75.94019
437.3893, 76.30103
437.8715, 76.08813
438.3536, 75.81079
438.8357, 75.72266
439.3178, 76.52393
439.7999, 81.14185
440.2820, 85.20166
440.7642, 83.41089
441.2463, 75.44751
441.7284, 68.26880
442.2105, 66.60767
442.6926, 67.16040
443.1747, 66.67676
443.6569, 62.82568
444.1390, 59.30835
444.6211, 56.88354
445.1032, 55.68237
445.5853, 55.66309
446.0674, 59.78687
446.5496, 62.51221
447.0317, 61.09766
447.5138, 53.49121
447.9959, 48.24756
448.4780, 46.20532
448.9601, 46.01538
449.4423, 46.69604
449.9244, 49.28613
450.4065, 50.94019
450.8886, 50.48926
451.3707, 48.57275
451.8528, 49.13525
452.3350, 53.15112
452.8171, 57.06958
453.2992, 58.85474
453.7813, 58.57764
454.2634, 59.43921
454.7455, 61.80786
455.2277, 64.21240
455.7098, 64.36572
456.1919, 62.59448
456.6740, 61.76001
457.1561, 63.29419
457.6382, 65.63403
458.1204, 65.99951
458.6025, 64.73267
459.0846, 63.12207
459.5667, 60.82324
460.0488, 58.97632
460.5309, 59.74585
461.0131, 64.07446
461.4952, 67.90356
461.9773, 66.93359
462.4594, 63.83276
462.9415, 62.50854
463.4236, 66.41699
463.9058, 70.92969
464.3879, 74.52222
464.8700, 76.83496
465.3521, 78.22852
465.8342, 78.92749
