##NAMES=Scheelite
##RRUFFID=R150130
##IDEAL CHEMISTRY=CaW^6+^O_4_
##LOCALITY=Tsumeb mine, Tsumeb, Otjikoto Region, Namibia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Golden brown pseudo-octahedral crystals, associated with yellow disc-like siderite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150130
376.4907, 664.3359
376.9728, 663.3718
377.4549, 661.5947
377.9370, 664.2246
378.4192, 672.8137
378.9013, 681.4697
379.3834, 688.1267
379.8655, 694.4871
380.3476, 701.9614
380.8297, 710.8003
381.3119, 720.0034
381.7940, 728.2285
382.2761, 735.4624
382.7582, 744.2974
383.2403, 755.1201
383.7224, 767.6914
384.2046, 781.6689
384.6867, 796.9202
385.1688, 813.2715
385.6509, 830.9248
386.1330, 849.4392
386.6151, 867.4463
387.0973, 884.3889
387.5794, 902.9158
388.0615, 925.4895
388.5436, 950.4844
389.0257, 975.3274
389.5078, 997.8340
389.9900, 1023.147
390.4721, 1056.412
390.9542, 1097.126
391.4363, 1140.104
391.9184, 1183.502
392.4005, 1228.809
392.8827, 1278.064
393.3648, 1331.254
393.8469, 1386.406
394.3290, 1441.607
394.8111, 1498.604
395.2932, 1561.841
395.7754, 1633.310
396.2575, 1702.327
396.7396, 1760.509
397.2217, 1807.576
397.7038, 1848.728
398.1859, 1889.388
398.6681, 1920.070
399.1501, 1936.049
399.6323, 1937.151
400.1144, 1922.255
400.5965, 1889.384
401.0786, 1842.444
401.5607, 1792.248
402.0428, 1738.396
402.5250, 1682.507
403.0071, 1622.682
403.4892, 1561.847
403.9713, 1504.905
404.4534, 1452.837
404.9355, 1400.320
405.4177, 1340.933
405.8998, 1273.568
406.3819, 1206.139
406.8640, 1140.081
407.3461, 1072.964
407.8282, 1001.443
408.3104, 927.5562
408.7925, 856.0930
409.2746, 789.3032
409.7567, 726.8989
410.2388, 666.2021
410.7209, 605.9663
411.2031, 549.6450
411.6852, 496.7488
412.1673, 448.1597
412.6494, 405.1353
413.1315, 367.7627
413.6136, 334.2449
414.0958, 302.3796
414.5779, 271.8967
415.0600, 243.5527
415.5421, 218.1917
416.0242, 194.4280
416.5063, 171.6677
416.9885, 150.0371
417.4706, 130.4141
417.9527, 113.2397
418.4348, 98.35474
418.9169, 85.05884
419.3990, 74.05518
419.8812, 63.32129
420.3633, 51.64868
420.8454, 40.33423
421.3275, 30.94922
421.8096, 23.91968
422.2917, 17.56567
422.7739, 9.829834
423.2560, 0.8452150
423.7381, 6.679199
424.2202, 11.94263
424.7023, 16.16602
425.1844, 20.16162
425.6666, 24.00269
426.1487, 27.98779
426.6308, 33.53320
427.1129, 38.73462
427.5950, 40.10986
428.0771, 37.46973
428.5593, 34.51953
429.0414, 32.69092
429.5235, 32.09253
430.0056, 32.76318
430.4877, 35.35522
430.9698, 37.67651
431.4520, 38.00464
431.9341, 37.35278
432.4162, 38.03589
432.8983, 40.73535
433.3804, 43.85498
433.8625, 45.60205
434.3447, 45.79370
434.8268, 45.58228
435.3089, 44.67993
435.7910, 43.67554
436.2731, 43.10059
436.7552, 42.79419
437.2374, 42.02930
437.7195, 40.27271
438.2016, 37.96411
438.6837, 36.74390
439.1658, 38.46338
439.6479, 38.89673
440.1301, 37.14136
440.6122, 34.30737
441.0943, 31.62915
441.5764, 29.22974
442.0585, 25.96655
442.5406, 20.19043
443.0227, 11.23486
443.5049, 4.480225
443.9870, 1.155762
444.4691, 1.222168
444.9512, 2.630127
445.4333, 3.742188
445.9154, 5.291748
446.3976, 7.586182
446.8797, 10.94043
447.3618, 16.28198
447.8439, 24.26660
448.3260, 32.26758
448.8081, 40.55786
449.2903, 48.16211
449.7724, 53.86060
450.2545, 57.86719
450.7366, 62.21680
451.2187, 68.57544
451.7008, 76.58008
452.1830, 84.82104
452.6651, 93.52808
453.1472, 101.7388
453.6293, 107.9248
454.1114, 113.4631
454.5935, 120.6262
455.0757, 130.8281
455.5578, 140.8579
456.0399, 147.3755
456.5220, 151.2407
457.0041, 156.1287
457.4862, 162.8721
457.9684, 171.4551
458.4505, 183.1313
458.9326, 197.9626
459.4147, 210.1936
459.8968, 216.6768
460.3789, 221.6663
460.8611, 228.7925
461.3432, 238.0117
461.8253, 247.5056
462.3074, 256.1370
462.7895, 264.2771
463.2716, 273.5889
463.7538, 287.4412
464.2359, 298.0308
464.7180, 301.7446
465.2001, 303.3088
465.6822, 306.8025
466.1643, 313.3564
466.6465, 322.9839
467.1286, 336.2500
467.6107, 353.9221
468.0928, 368.3870
468.5749, 376.5781
469.0570, 384.7397
469.5392, 393.7700
470.0213, 403.9937
470.5034, 415.9272
470.9855, 429.8650
471.4676, 444.6641
471.9497, 458.8025
472.4319, 472.7695
472.9140, 483.8677
473.3961, 488.0747
473.8782, 492.3716
474.3603, 501.6902
474.8424, 514.9841
475.3246, 527.2905
475.8067, 534.6426
476.2888, 539.3669
476.7709, 546.5415
477.2530, 556.3652
477.7351, 567.4141
478.2173, 579.8630
478.6994, 592.7346
479.1815, 604.1924
479.6636, 613.6646
480.1457, 623.3516
480.6278, 634.6387
481.1100, 646.4810
481.5920, 657.6248
482.0742, 667.9902
482.5563, 677.2139
483.0384, 684.8276
483.5205, 690.7869
484.0026, 696.3293
484.4847, 700.6484
484.9669, 705.2217
485.4490, 711.4519
485.9311, 718.6899
486.4132, 724.8303
486.8953, 729.0625
487.3774, 733.6194
487.8596, 742.6924
488.3417, 759.8779
488.8238, 771.3328
489.3059, 773.9434
489.7880, 775.0894
490.2701, 777.7222
490.7523, 781.6013
491.2344, 785.5203
491.7165, 788.8193
492.1986, 791.9395
492.6807, 795.8184
493.1628, 800.5322
493.6450, 805.9719
494.1271, 812.5835
494.6092, 819.5098
495.0913, 826.0276
495.5734, 832.2500
496.0555, 839.2070
496.5377, 849.2466
497.0198, 860.1226
497.5019, 864.9329
497.9840, 862.1440
498.4661, 860.7944
498.9482, 867.0144
499.4304, 877.4016
499.9125, 885.3179
500.3946, 889.7871
500.8767, 894.1179
501.3588, 899.1106
501.8409, 904.8538
502.3231, 912.2261
502.8052, 921.3828
503.2873, 930.7214
503.7694, 938.9875
504.2515, 946.1758
504.7336, 951.4658
505.2158, 952.5859
505.6979, 954.6160
506.1800, 959.7632
506.6621, 966.7676
507.1442, 973.7910
507.6263, 980.1438
508.1085, 986.1401
508.5906, 992.3767
509.0727, 999.2646
509.5548, 1004.839
510.0369, 1008.943
510.5190, 1011.844
511.0012, 1012.975
511.4833, 1013.031
511.9654, 1013.040
512.4475, 1013.332
512.9296, 1014.421
513.4117, 1017.826
513.8939, 1024.044
514.3760, 1028.786
514.8581, 1030.871
515.3402, 1031.337
515.8223, 1031.527
516.3044, 1031.241
516.7866, 1029.058
517.2687, 1022.825
517.7508, 1015.248
518.2329, 1008.939
518.7150, 1004.083
519.1971, 1002.714
519.6793, 1007.138
520.1614, 1014.023
520.6435, 1015.491
521.1256, 1010.210
521.6077, 1004.740
522.0898, 1001.249
522.5720, 997.2825
523.0541, 989.5388
523.5362, 978.8047
524.0183, 969.3555
524.5004, 964.4290
524.9825, 963.2817
525.4647, 961.8416
525.9468, 959.1992
526.4289, 957.7227
526.9110, 960.7405
527.3931, 962.7915
527.8752, 957.7883
528.3574, 946.1829
528.8395, 935.0698
529.3216, 931.7424
529.8037, 934.5220
530.2858, 932.7563
530.7679, 925.1455
531.2501, 916.0359
531.7322, 904.5425
532.2143, 893.8411
532.6964, 888.1782
533.1785, 888.9900
533.6606, 889.2256
534.1428, 882.8474
534.6249, 872.8477
535.1070, 865.8254
535.5891, 862.7839
536.0712, 860.3906
536.5533, 856.2600
537.0355, 850.6353
537.5176, 845.4534
537.9997, 841.6365
538.4818, 837.0679
538.9639, 829.7271
539.4460, 821.9143
539.9282, 816.6880
540.4103, 814.5776
540.8924, 813.8438
541.3745, 813.1782
541.8566, 812.6943
542.3387, 808.3643
542.8209, 796.5505
543.3029, 785.1250
543.7850, 773.7949
544.2672, 764.5962
544.7493, 761.0793
545.2314, 763.8408
545.7135, 767.3071
546.1956, 764.9810
546.6777, 757.3701
547.1599, 750.9666
547.6420, 746.6455
548.1241, 742.4617
548.6062, 736.7366
549.0883, 730.4854
549.5704, 725.1558
550.0526, 720.8745
550.5347, 717.9675
551.0168, 717.4580
551.4989, 718.2966
551.9810, 718.2566
552.4631, 716.8184
552.9453, 714.6426
553.4274, 712.4885
553.9095, 710.3516
554.3916, 706.8770
554.8737, 701.1702
555.3558, 695.5442
555.8380, 689.4207
556.3201, 683.9055
556.8022, 681.2534
557.2843, 681.7744
557.7664, 683.0166
558.2485, 681.9622
558.7307, 678.5071
559.2128, 674.8428
559.6949, 671.1704
560.1770, 667.3037
560.6591, 663.9753
561.1412, 660.2036
561.6234, 654.2346
562.1055, 645.4172
562.5876, 636.0122
563.0697, 627.8623
563.5518, 620.9663
564.0339, 615.2134
564.5161, 610.6492
564.9982, 605.0684
565.4803, 596.4146
565.9624, 585.5371
566.4445, 576.2051
566.9266, 569.6111
567.4088, 563.0303
567.8909, 555.6846
568.3730, 547.2561
568.8551, 537.0117
569.3372, 525.3364
569.8193, 513.9038
570.3015, 504.6804
570.7836, 497.4036
571.2657, 488.6702
571.7478, 477.7717
572.2299, 465.9148
572.7120, 451.5979
573.1942, 437.0967
573.6763, 425.1438
574.1584, 416.0232
574.6405, 407.4570
575.1226, 397.0686
575.6047, 385.2961
576.0869, 374.7300
576.5690, 366.0417
577.0511, 356.1809
577.5332, 342.5208
578.0153, 327.4507
578.4974, 314.8184
578.9796, 304.9541
579.4617, 296.7539
579.9438, 291.3418
580.4259, 286.4780
580.9080, 279.4792
581.3901, 270.2579
581.8723, 259.6407
582.3544, 247.8906
582.8365, 235.6859
583.3186, 225.1676
583.8007, 217.5522
584.2828, 209.8264
584.7650, 201.4272
585.2471, 193.1776
585.7292, 185.8694
586.2113, 179.2614
586.6934, 172.3853
587.1755, 164.5258
587.6577, 156.2256
588.1398, 148.8496
588.6219, 142.4037
589.1040, 136.7454
589.5861, 132.3373
590.0682, 128.0272
590.5504, 122.8699
591.0325, 116.9470
591.5146, 110.8083
591.9967, 104.3339
592.4788, 98.03503
592.9609, 92.56714
593.4431, 87.80493
593.9252, 83.13062
594.4073, 78.33826
594.8894, 73.98328
595.3715, 70.90173
595.8536, 69.50439
596.3358, 67.28992
596.8179, 64.20679
597.3000, 60.48914
597.7821, 55.95972
598.2642, 50.93066
598.7463, 45.62061
599.2285, 40.10181
599.7106, 34.82397
600.1927, 30.11414
600.6748, 25.94189
601.1569, 22.99475
601.6390, 21.94104
602.1212, 20.84790
602.6033, 18.38708
