##NAMES=Phillipsite-K
##RRUFFID=R140774
##IDEAL CHEMISTRY=K_6_(Si_10_Al_6_)O_32_&#183;12H_2_O
##LOCALITY=Mt Vesuvius, Somma-Vesuvius Complex, Naples Province, Campania, Italy
##OWNER=RRUFF
##SOURCE=Ch. and H. Schäfer
##DESCRIPTION=Radial aggregates of colorless prismatic crystals, associated with calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140774
395.4452, 10.02460
395.9273, 9.976776
396.4094, 9.222351
396.8915, 8.983521
397.3737, 9.962891
397.8558, 11.42572
398.3379, 12.46280
398.8200, 12.71375
399.3021, 12.79529
399.7842, 12.60376
400.2664, 12.13367
400.7485, 12.31921
401.2306, 13.47418
401.7127, 14.95294
402.1948, 16.37268
402.6769, 17.76276
403.1591, 19.03149
403.6412, 20.21918
404.1233, 21.24908
404.6054, 21.94739
405.0875, 22.22156
405.5696, 22.43066
406.0518, 22.67639
406.5339, 22.95880
407.0160, 23.42236
407.4981, 24.06818
407.9802, 24.87610
408.4623, 25.80652
408.9445, 26.86505
409.4266, 28.19604
409.9087, 30.11151
410.3908, 32.16168
410.8729, 32.92267
411.3550, 32.43079
411.8372, 32.06067
412.3193, 32.97742
412.8014, 34.79449
413.2835, 36.53448
413.7656, 38.02655
414.2477, 39.48749
414.7299, 41.28345
415.2120, 43.24030
415.6941, 44.87939
416.1762, 45.77069
416.6583, 46.41821
417.1404, 47.23450
417.6226, 48.18494
418.1047, 49.08746
418.5868, 50.14386
419.0689, 51.06018
419.5510, 51.49817
420.0331, 50.90747
420.5153, 50.34540
420.9974, 50.23792
421.4795, 50.50635
421.9616, 50.84540
422.4437, 51.36420
422.9258, 51.72662
423.4080, 51.84711
423.8901, 51.80603
424.3722, 51.53546
424.8543, 51.02258
425.3364, 50.20129
425.8185, 49.05402
426.3007, 47.48578
426.7828, 45.84729
427.2649, 44.01624
427.7470, 42.03033
428.2291, 40.50366
428.7112, 39.74121
429.1934, 39.10211
429.6755, 38.07562
430.1576, 36.46588
430.6397, 34.99396
431.1218, 33.73364
431.6039, 32.68542
432.0861, 31.79773
432.5682, 31.07544
433.0503, 30.45172
433.5324, 29.94183
434.0145, 29.48883
434.4966, 28.83624
434.9788, 27.98840
435.4609, 27.30579
435.9430, 27.28424
436.4251, 27.68311
436.9072, 27.69617
437.3893, 26.95477
437.8715, 26.38287
438.3536, 27.31348
438.8357, 29.31335
439.3178, 31.17358
439.7999, 31.83344
440.2820, 32.34467
440.7642, 33.87799
441.2463, 36.50861
441.7284, 38.79187
442.2105, 39.39935
442.6926, 39.53406
443.1747, 40.36664
443.6569, 42.84625
444.1390, 45.29413
444.6211, 47.13434
445.1032, 48.53876
445.5853, 49.93677
446.0674, 50.69305
446.5496, 52.11481
447.0317, 54.87970
447.5138, 59.56738
447.9959, 63.85791
448.4780, 67.89722
448.9601, 71.49579
449.4423, 74.42480
449.9244, 76.08972
450.4065, 78.28479
450.8886, 81.30872
451.3707, 85.05273
451.8528, 89.32831
452.3350, 94.39447
452.8171, 99.26562
453.2992, 103.2722
453.7813, 106.4044
454.2634, 110.2157
454.7455, 114.8489
455.2277, 119.8697
455.7098, 124.9788
456.1919, 130.0833
456.6740, 134.9600
457.1561, 139.3649
457.6382, 143.5169
458.1204, 147.4278
458.6025, 151.2155
459.0846, 155.4246
459.5667, 160.8800
460.0488, 166.8664
460.5309, 172.5487
461.0131, 177.8187
461.4952, 182.6797
461.9773, 186.6190
462.4594, 190.1934
462.9415, 194.2791
463.4236, 199.8550
463.9058, 205.3311
464.3879, 210.1137
464.8700, 214.1605
465.3521, 217.8826
465.8342, 220.9578
466.3163, 224.0777
466.7985, 227.7122
467.2806, 232.6461
467.7627, 236.6640
468.2448, 239.0699
468.7269, 240.7845
469.2090, 243.1800
469.6912, 246.7906
470.1733, 250.1718
470.6554, 253.0745
471.1375, 255.4897
471.6196, 257.2757
472.1017, 258.3119
472.5839, 259.0524
473.0660, 259.8694
473.5481, 260.7631
474.0302, 261.2460
474.5123, 261.1934
474.9944, 260.9868
475.4766, 261.4593
475.9587, 262.4390
476.4408, 262.7565
476.9229, 261.6589
477.4050, 259.8096
477.8871, 258.1464
478.3693, 256.6834
478.8514, 255.4858
479.3335, 254.7936
479.8156, 254.3099
480.2977, 253.7782
480.7798, 253.2761
481.2620, 252.2845
481.7441, 250.6163
482.2262, 248.2315
482.7083, 245.0671
483.1904, 239.5479
483.6725, 234.6794
484.1547, 232.3441
484.6368, 232.3000
485.1189, 230.7728
485.6010, 226.8491
486.0831, 221.5246
486.5652, 215.2766
487.0474, 207.5085
487.5295, 199.9883
488.0116, 192.8564
488.4937, 185.9661
488.9758, 179.0211
489.4579, 171.8851
489.9401, 165.0118
490.4222, 158.4127
490.9043, 152.1153
491.3864, 146.2582
491.8685, 140.9249
492.3506, 135.4173
492.8328, 128.9205
493.3149, 121.7963
493.7970, 115.5845
494.2791, 110.4931
494.7612, 105.8557
495.2433, 100.8500
495.7255, 95.57562
496.2076, 90.30817
496.6897, 85.04608
497.1718, 80.00153
497.6539, 75.45490
498.1360, 71.36548
498.6182, 67.48077
499.1003, 63.59515
499.5824, 59.91302
500.0645, 56.75793
500.5466, 54.23413
501.0287, 51.69037
501.5109, 48.88312
501.9930, 46.00897
502.4751, 43.29010
502.9572, 40.80725
503.4393, 38.43030
503.9214, 36.03754
504.4036, 33.74048
504.8857, 31.89368
505.3678, 30.66888
505.8499, 29.39252
506.3320, 27.85449
