##NAMES=Muirite
##RRUFFID=R140248
##IDEAL CHEMISTRY=Ba_10_Ca_2_Mn^2+^Ti^4+^Si_10_O_30_(OH)_10_
##LOCALITY=Esquire No. 7 Claim, Big Creek, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Scattered orange grains and aggregates associated with taramellite, walstromite and sanbornite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140248
602.1212, 27.20532
602.6033, 26.10040
603.0854, 24.12347
603.5675, 22.88885
604.0496, 22.94049
604.5317, 22.89807
605.0139, 21.66541
605.4960, 20.02264
605.9781, 19.09033
606.4602, 19.03015
606.9423, 19.32019
607.4244, 19.66681
607.9066, 19.96124
608.3887, 19.65631
608.8708, 17.72864
609.3529, 16.75757
609.8350, 17.46509
610.3171, 18.60675
610.7993, 19.34058
611.2814, 19.66022
611.7635, 20.03259
612.2456, 20.90582
612.7277, 21.70081
613.2098, 20.85083
613.6920, 18.15509
614.1741, 16.53485
614.6562, 17.18604
615.1383, 18.36890
615.6204, 18.13757
616.1025, 16.80109
616.5847, 16.16003
617.0668, 17.56946
617.5489, 18.70154
618.0310, 17.80377
618.5131, 15.72375
618.9952, 14.05859
619.4774, 13.29388
619.9595, 13.12817
620.4416, 13.33209
620.9237, 13.98083
621.4058, 13.82617
621.8879, 11.81683
622.3701, 10.29364
622.8522, 9.937744
623.3343, 10.19031
623.8164, 10.68811
624.2985, 11.28741
624.7806, 11.52905
625.2628, 10.70892
625.7448, 9.295105
626.2269, 8.622986
626.7090, 8.772949
627.1912, 9.020813
627.6733, 9.109680
628.1554, 9.032227
628.6375, 8.707947
629.1196, 8.079773
629.6017, 7.537964
630.0839, 7.103577
630.5660, 6.794922
631.0481, 6.777649
631.5302, 6.876404
632.0123, 6.529968
632.4944, 5.482117
632.9766, 4.461853
633.4587, 4.928650
633.9408, 7.325439
634.4229, 8.928406
634.9050, 9.506470
635.3871, 9.492737
635.8693, 8.482117
636.3514, 7.262939
636.8335, 7.323486
637.3156, 9.402283
637.7977, 11.00464
638.2798, 9.735718
638.7620, 6.964233
639.2441, 5.104919
639.7262, 4.459412
640.2083, 4.713989
640.6904, 5.902771
641.1725, 7.574036
641.6547, 8.211121
642.1368, 7.093384
642.6189, 5.931519
643.1010, 4.398071
643.5831, 3.110657
644.0652, 2.704651
644.5474, 2.881165
645.0295, 2.763794
645.5116, 1.849182
645.9937, 0.7185670
646.4758, 0.4100340
646.9579, 0.9224240
647.4401, 1.240540
647.9222, 1.286987
648.4043, 0.9014890
648.8864, 0.3635860
649.3685, 2.161133
649.8506, 3.315369
650.3328, 3.198486
650.8149, 3.288452
651.2970, 4.610718
651.7791, 6.135132
652.2612, 6.628113
652.7433, 6.049011
653.2255, 5.017761
653.7076, 3.896729
654.1897, 2.866333
654.6718, 2.724854
655.1539, 3.970764
655.6360, 4.820923
656.1182, 4.936523
656.6003, 4.754517
657.0824, 4.323792
657.5645, 3.765137
658.0466, 3.445557
658.5287, 3.816895
659.0109, 4.014954
659.4930, 2.687195
659.9751, 0.5299680
660.4572, 0.5059200
660.9393, 1.4648000E-02
661.4214, 1.470032
661.9036, 3.830566
