##NAMES=Simpsonite
##RRUFFID=R061059
##IDEAL CHEMISTRY=Al_4_Ta^5+^_3_O_13_(OH)
##LOCALITY=Mt. Vasin-Myl'k, Voron'ya Tundra, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Subhedral off-white to pale yellowish gray crystal associated with spodumene, feldspar and quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061059
574.7121, 21494.29
575.1942, 21460.30
575.6763, 21387.55
576.1584, 21262.77
576.6406, 21118.90
577.1227, 20965.45
577.6049, 20787.75
578.0870, 20558.34
578.5691, 20267.29
579.0512, 19969.23
579.5333, 19675.25
580.0154, 19373.17
580.4976, 19081.27
580.9797, 18765.30
581.4618, 18452.10
581.9439, 18145.10
582.4260, 17849.95
582.9081, 17576.25
583.3903, 17323.04
583.8724, 17077.94
584.3545, 16820.40
584.8366, 16567.20
585.3187, 16340.06
585.8008, 16158.38
586.2830, 15989.10
586.7651, 15814.18
587.2472, 15643.53
587.7293, 15495.47
588.2114, 15382.43
588.6935, 15285.93
589.1757, 15206.95
589.6578, 15144.94
590.1399, 15068.32
590.6220, 14963.96
591.1041, 14868.15
591.5862, 14806.84
592.0684, 14782.63
592.5505, 14761.31
593.0326, 14742.44
593.5147, 14723.43
593.9968, 14701.84
594.4789, 14677.64
594.9611, 14647.32
595.4432, 14594.32
595.9253, 14556.96
596.4074, 14597.21
596.8895, 14692.32
597.3716, 14776.45
597.8538, 14805.60
598.3359, 14822.04
598.8180, 14843.67
599.3001, 14871.56
599.7822, 14920.25
600.2643, 15014.28
600.7465, 15114.10
601.2286, 15194.29
601.7107, 15233.98
602.1928, 15294.82
602.6749, 15378.13
603.1570, 15482.04
603.6392, 15607.32
604.1213, 15758.32
604.6034, 15903.69
605.0855, 16033.95
605.5676, 16158.41
606.0497, 16297.24
606.5319, 16451.15
607.0140, 16615.94
607.4961, 16789.05
607.9782, 16972.96
608.4603, 17177.26
608.9424, 17400.98
609.4246, 17630.07
609.9067, 17863.16
610.3888, 18094.29
610.8709, 18310.39
611.3530, 18487.13
611.8351, 18701.29
612.3173, 18989.93
612.7994, 19318.46
613.2815, 19631.31
613.7636, 19913.78
614.2457, 20213.46
614.7278, 20544.18
615.2100, 20892.25
615.6921, 21218.67
616.1742, 21520.22
616.6563, 21811.77
617.1384, 22095.70
617.6205, 22375.79
618.1027, 22685.90
618.5848, 23024.06
619.0669, 23359.93
619.5490, 23665.64
620.0311, 23950.94
620.5132, 24225.42
620.9954, 24482.18
621.4775, 24747.64
621.9596, 25062.52
622.4417, 25385.54
622.9238, 25668.10
623.4059, 25911.66
623.8881, 26098.00
624.3702, 26212.13
624.8523, 26268.53
625.3344, 26306.68
625.8165, 26331.90
626.2986, 26328.61
626.7808, 26298.19
627.2629, 26237.05
627.7450, 26102.27
628.2271, 25888.94
628.7092, 25653.01
629.1913, 25442.53
629.6735, 25243.26
630.1556, 25019.73
630.6377, 24766.96
631.1198, 24504.51
631.6019, 24244.71
632.0840, 23984.82
632.5662, 23729.32
633.0483, 23490.90
633.5304, 23233.75
634.0125, 22918.44
634.4946, 22576.69
634.9767, 22281.94
635.4589, 22071.49
635.9410, 21866.25
636.4231, 21656.05
636.9052, 21441.01
637.3873, 21189.58
637.8694, 20887.72
638.3516, 20595.74
638.8337, 20366.05
639.3158, 20185.13
639.7979, 19954.26
640.2800, 19669.83
640.7621, 19381.48
641.2443, 19143.94
641.7264, 18931.14
642.2085, 18703.21
642.6906, 18456.12
643.1727, 18187.22
643.6548, 17878.56
644.1370, 17554.24
644.6191, 17249.03
645.1012, 16973.79
645.5833, 16712.53
646.0654, 16468.16
646.5475, 16234.27
647.0297, 15981.98
647.5118, 15697.50
647.9939, 15423.63
648.4760, 15179.35
648.9581, 14960.34
649.4402, 14765.26
649.9224, 14596.93
650.4045, 14427.14
650.8866, 14226.23
651.3687, 14011.22
651.8508, 13821.95
652.3329, 13662.84
652.8151, 13522.87
653.2972, 13402.00
653.7793, 13290.77
654.2614, 13177.88
654.7435, 13057.59
655.2256, 12938.31
655.7078, 12816.44
656.1899, 12699.04
656.6720, 12596.41
657.1541, 12514.21
657.6362, 12435.54
658.1183, 12355.81
658.6005, 12277.52
659.0826, 12212.95
659.5647, 12164.30
660.0468, 12114.03
660.5289, 12050.89
661.0110, 11979.31
661.4932, 11909.95
661.9753, 11843.35
662.4574, 11785.96
662.9395, 11745.64
663.4216, 11716.07
663.9037, 11690.87
664.3859, 11670.04
664.8680, 11648.70
665.3501, 11628.77
665.8322, 11604.84
666.3143, 11571.83
666.7964, 11481.47
667.2786, 11448.55
667.7607, 11504.25
668.2428, 11597.61
668.7249, 11647.62
669.2070, 11648.61
669.6891, 11630.49
670.1713, 11594.33
670.6534, 11549.52
671.1355, 11516.99
671.6176, 11496.87
672.0997, 11488.15
672.5818, 11510.74
673.0640, 11532.76
673.5461, 11512.57
674.0282, 11454.34
674.5103, 11397.58
674.9924, 11350.47
675.4745, 11321.10
675.9567, 11319.81
676.4388, 11359.87
676.9209, 11382.48
677.4030, 11383.02
677.8851, 11367.88
678.3672, 11336.12
678.8494, 11278.58
679.3315, 11246.65
679.8136, 11249.22
680.2957, 11261.99
680.7778, 11250.82
681.2599, 11219.37
681.7421, 11184.23
682.2242, 11145.89
682.7063, 11113.30
683.1884, 11109.83
683.6705, 11119.43
684.1526, 11105.87
684.6348, 11021.53
685.1169, 10943.15
685.5990, 10909.19
686.0811, 10915.26
686.5632, 10910.91
687.0454, 10881.85
687.5275, 10858.05
688.0096, 10853.88
688.4918, 10869.54
688.9739, 10873.98
689.4560, 10868.22
689.9381, 10846.02
690.4202, 10781.79
690.9023, 10696.14
691.3845, 10663.25
691.8666, 10692.43
692.3487, 10733.32
692.8308, 10752.80
693.3129, 10753.85
693.7950, 10737.13
694.2772, 10687.21
