##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061122
323.1541, 571.9777
323.6362, 570.0125
324.1183, 567.0275
324.6004, 570.7975
325.0826, 578.9859
325.5647, 584.2546
326.0468, 583.4111
326.5289, 579.2711
327.0110, 577.0842
327.4931, 577.2690
327.9753, 577.7115
328.4574, 578.0398
328.9395, 578.4540
329.4216, 580.5400
329.9037, 584.1909
330.3858, 584.8600
330.8680, 576.4509
331.3501, 556.0656
331.8322, 545.6974
332.3143, 552.4755
332.7964, 561.0938
333.2785, 564.0885
333.7606, 562.8212
334.2427, 562.5277
334.7249, 566.8087
335.2070, 574.3280
335.6891, 577.8693
336.1712, 572.5086
336.6533, 569.1179
337.1354, 570.1424
337.6176, 573.0733
338.0997, 575.7340
338.5818, 577.3040
339.0639, 577.5668
339.5460, 576.1618
340.0281, 572.9918
340.5103, 568.4438
340.9924, 558.9702
341.4745, 550.9971
341.9566, 547.2496
342.4387, 548.0058
342.9208, 552.8932
343.4030, 564.3630
343.8851, 580.5727
344.3672, 590.1873
344.8493, 591.9090
345.3314, 589.1542
345.8135, 579.4417
346.2957, 567.5853
346.7778, 561.6393
347.2599, 566.6434
347.7420, 575.0892
348.2241, 577.8815
348.7062, 575.1617
349.1884, 573.1672
349.6705, 575.4544
350.1526, 578.4439
350.6347, 576.2872
351.1168, 567.7274
351.5989, 559.8652
352.0811, 554.4576
352.5632, 552.0649
353.0453, 555.3619
353.5274, 565.4260
354.0095, 575.1086
354.4916, 576.2831
354.9738, 567.4450
355.4559, 563.4842
355.9380, 568.4803
356.4201, 574.8691
356.9022, 578.7993
357.3843, 580.2131
357.8665, 572.3073
358.3486, 584.6003
358.8307, 591.8356
359.3128, 594.2852
359.7949, 577.6146
360.2770, 585.6337
360.7592, 583.7584
361.2413, 581.4773
361.7234, 592.9713
362.2055, 579.0817
362.6876, 589.0360
363.1697, 591.3259
363.6519, 596.5513
364.1340, 597.5466
364.6161, 587.3159
365.0982, 579.2589
365.5803, 581.6102
366.0624, 591.0971
366.5446, 598.2800
367.0267, 596.4733
367.5088, 588.1916
367.9909, 581.0289
368.4730, 573.8844
368.9551, 570.8087
369.4373, 579.3191
369.9194, 589.9270
370.4015, 591.1638
370.8836, 578.2260
371.3657, 565.7810
371.8478, 570.3448
372.3300, 588.6256
372.8121, 599.9215
373.2942, 597.8919
373.7763, 590.6434
374.2584, 585.9778
374.7405, 583.6624
375.2227, 583.7066
375.7048, 588.7112
376.1869, 594.4581
376.6690, 595.7155
377.1511, 592.6384
377.6332, 590.2710
378.1154, 592.3398
378.5975, 597.8580
379.0796, 600.1547
379.5617, 596.7485
380.0438, 593.7414
380.5259, 592.4446
381.0081, 592.4911
381.4902, 593.8701
381.9723, 596.4839
382.4544, 599.0195
382.9365, 599.4280
383.4186, 596.9890
383.9008, 594.3626
384.3829, 591.3847
384.8650, 588.3864
385.3471, 583.9138
385.8292, 579.4009
386.3113, 578.7589
386.7935, 585.6727
387.2756, 597.8250
387.7577, 605.4761
388.2398, 607.6258
388.7219, 607.1107
389.2040, 601.3539
389.6862, 595.3243
390.1683, 594.9996
390.6504, 602.2129
391.1325, 609.6423
391.6146, 608.7606
392.0967, 600.9805
392.5789, 596.9268
393.0610, 599.5519
393.5431, 604.0321
394.0252, 607.1790
394.5073, 608.8548
394.9894, 607.2264
395.4716, 597.1425
395.9537, 586.8405
396.4358, 587.8140
396.9179, 597.8863
397.4000, 599.6084
397.8821, 579.9791
398.3643, 549.2012
398.8464, 541.6772
399.3285, 577.0149
399.8106, 602.2222
400.2927, 603.7169
400.7748, 594.0850
401.2570, 583.9341
401.7391, 576.3835
402.2212, 573.0316
402.7033, 576.8513
403.1854, 589.5666
403.6675, 594.7548
404.1497, 584.1638
404.6317, 574.5585
405.1139, 572.5178
405.5960, 574.4398
406.0781, 573.5139
406.5602, 566.0892
407.0423, 556.3243
407.5244, 551.7651
408.0066, 552.7689
408.4887, 557.7580
408.9708, 572.9272
409.4529, 586.7386
409.9350, 589.0582
410.4171, 580.3162
410.8993, 572.1099
411.3814, 573.8274
411.8635, 580.1038
412.3456, 578.4294
412.8277, 566.9648
413.3098, 557.2065
413.7920, 556.8422
414.2741, 564.3063
414.7562, 571.6666
415.2383, 579.9132
415.7204, 586.8087
416.2025, 593.5776
416.6847, 597.8386
417.1668, 592.7307
417.6489, 576.2151
418.1310, 559.0879
418.6131, 557.1232
419.0952, 576.8898
419.5774, 587.5168
420.0595, 582.4346
420.5416, 575.9966
421.0237, 576.2697
421.5058, 580.5041
421.9879, 581.1479
422.4701, 573.3883
422.9522, 560.7006
423.4343, 552.7557
423.9164, 550.6053
424.3985, 550.7203
424.8806, 555.0184
425.3628, 559.4901
425.8449, 561.1031
426.3270, 559.6915
426.8091, 557.6636
427.2912, 556.6629
427.7733, 556.3954
428.2555, 555.7056
428.7376, 554.1945
429.2197, 553.7131
429.7018, 556.5084
430.1839, 561.0663
430.6660, 563.3705
431.1482, 562.8583
431.6303, 560.4783
432.1124, 553.9689
432.5945, 546.4160
433.0766, 544.8715
433.5587, 551.5376
434.0409, 560.3086
434.5230, 563.1276
435.0051, 558.0024
435.4872, 555.1198
435.9693, 556.5516
436.4514, 557.8657
436.9336, 555.6577
437.4157, 551.8700
437.8978, 551.0626
438.3799, 555.8944
438.8620, 563.6450
439.3441, 567.4256
439.8263, 565.6111
440.3084, 564.3113
440.7905, 564.3978
441.2726, 565.3315
441.7547, 567.0463
442.2368, 569.4320
442.7190, 572.0415
443.2011, 575.0279
443.6832, 577.9449
444.1653, 580.9906
444.6474, 584.8671
445.1295, 583.0585
445.6117, 567.8973
446.0938, 546.4344
446.5759, 535.7039
447.0580, 540.1550
447.5401, 546.4026
448.0222, 549.6251
448.5044, 551.5793
448.9865, 555.9301
449.4686, 563.0166
449.9507, 567.5592
450.4328, 563.2178
450.9149, 549.1093
451.3971, 542.7202
451.8792, 551.7005
452.3613, 559.2106
452.8434, 559.3634
453.3255, 555.9975
453.8076, 554.3702
454.2898, 556.3999
454.7719, 560.2963
455.2540, 563.8117
455.7361, 567.0078
456.2182, 569.3751
456.7003, 571.5333
457.1825, 571.9243
457.6646, 569.4227
458.1467, 564.6022
458.6288, 558.9315
459.1109, 551.2075
459.5930, 544.5377
460.0752, 542.5550
460.5573, 544.9261
461.0394, 550.3593
