##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
3.076698e+002, 2.177095e+002
3.081519e+002, 2.172736e+002
3.086341e+002, 2.171348e+002
3.091162e+002, 2.172137e+002
3.095983e+002, 2.174254e+002
3.100804e+002, 2.177787e+002
3.105625e+002, 2.181289e+002
3.110446e+002, 2.182675e+002
3.115268e+002, 2.181986e+002
3.120089e+002, 2.180720e+002
3.124910e+002, 2.178368e+002
3.129731e+002, 2.175947e+002
3.134552e+002, 2.174651e+002
3.139373e+002, 2.174662e+002
3.144195e+002, 2.175505e+002
3.149016e+002, 2.177183e+002
3.153837e+002, 2.179563e+002
3.158658e+002, 2.180846e+002
3.163479e+002, 2.180444e+002
3.168300e+002, 2.179200e+002
3.173121e+002, 2.177955e+002
3.177943e+002, 2.176668e+002
3.182764e+002, 2.174335e+002
3.187585e+002, 2.169524e+002
3.192406e+002, 2.163228e+002
3.197227e+002, 2.159819e+002
3.202048e+002, 2.162013e+002
3.206870e+002, 2.164299e+002
3.211691e+002, 2.162000e+002
3.216512e+002, 2.156858e+002
3.221333e+002, 2.155852e+002
3.226154e+002, 2.163873e+002
3.230975e+002, 2.176048e+002
3.235797e+002, 2.179434e+002
3.240618e+002, 2.170839e+002
3.245439e+002, 2.162291e+002
3.250260e+002, 2.157530e+002
3.255081e+002, 2.155757e+002
3.259902e+002, 2.155886e+002
3.264724e+002, 2.157921e+002
3.269545e+002, 2.160508e+002
3.274366e+002, 2.161285e+002
3.279187e+002, 2.159860e+002
3.284008e+002, 2.159228e+002
3.288829e+002, 2.161399e+002
3.293651e+002, 2.163958e+002
3.298472e+002, 2.163745e+002
3.303293e+002, 2.160205e+002
3.308114e+002, 2.155614e+002
3.312935e+002, 2.151672e+002
3.317756e+002, 2.148463e+002
3.322578e+002, 2.147688e+002
3.327399e+002, 2.153314e+002
3.332220e+002, 2.158413e+002
3.337041e+002, 2.156252e+002
3.341862e+002, 2.147650e+002
3.346683e+002, 2.140332e+002
3.351505e+002, 2.140264e+002
3.356326e+002, 2.146183e+002
3.361147e+002, 2.148249e+002
3.365968e+002, 2.142186e+002
3.370789e+002, 2.137252e+002
3.375610e+002, 2.138330e+002
3.380432e+002, 2.143546e+002
3.385253e+002, 2.148561e+002
3.390074e+002, 2.151514e+002
3.394895e+002, 2.152729e+002
3.399716e+002, 2.152670e+002
3.404537e+002, 2.149450e+002
3.409359e+002, 2.148510e+002
3.414180e+002, 2.153034e+002
3.419001e+002, 2.159638e+002
3.423822e+002, 2.163164e+002
3.428643e+002, 2.162119e+002
3.433464e+002, 2.160554e+002
3.438286e+002, 2.164583e+002
3.443107e+002, 2.177710e+002
3.447928e+002, 2.186026e+002
3.452749e+002, 2.184433e+002
3.457570e+002, 2.181426e+002
3.462391e+002, 2.183522e+002
3.467213e+002, 2.191115e+002
3.472034e+002, 2.201175e+002
3.476855e+002, 2.211564e+002
3.481676e+002, 2.222446e+002
3.486497e+002, 2.228965e+002
3.491318e+002, 2.227663e+002
3.496140e+002, 2.226283e+002
3.500961e+002, 2.227594e+002
3.505782e+002, 2.231417e+002
3.510603e+002, 2.237370e+002
3.515424e+002, 2.245584e+002
3.520245e+002, 2.254931e+002
3.525067e+002, 2.260488e+002
3.529888e+002, 2.260113e+002
3.534709e+002, 2.258621e+002
3.539530e+002, 2.255088e+002
3.544351e+002, 2.251306e+002
3.549172e+002, 2.249183e+002
3.553994e+002, 2.249408e+002
3.558815e+002, 2.251668e+002
3.563636e+002, 2.255890e+002
3.568457e+002, 2.265980e+002
3.573278e+002, 2.269464e+002
3.578099e+002, 2.262701e+002
3.582920e+002, 2.252711e+002
3.587741e+002, 2.243023e+002
3.592563e+002, 2.234630e+002
3.597384e+002, 2.228149e+002
3.602205e+002, 2.224420e+002
3.607026e+002, 2.223852e+002
3.611847e+002, 2.222060e+002
3.616668e+002, 2.218768e+002
3.621490e+002, 2.214651e+002
3.626311e+002, 2.208107e+002
3.631132e+002, 2.201022e+002
3.635953e+002, 2.197658e+002
3.640774e+002, 2.201094e+002
3.645595e+002, 2.208696e+002
3.650417e+002, 2.208946e+002
3.655238e+002, 2.194196e+002
3.660059e+002, 2.182318e+002
3.664880e+002, 2.177100e+002
3.669701e+002, 2.174746e+002
3.674522e+002, 2.171350e+002
3.679344e+002, 2.165729e+002
3.684165e+002, 2.159695e+002
3.688986e+002, 2.156624e+002
3.693807e+002, 2.158855e+002
3.698628e+002, 2.157589e+002
3.703449e+002, 2.148275e+002
3.708271e+002, 2.139205e+002
3.713092e+002, 2.136090e+002
3.717913e+002, 2.137964e+002
3.722734e+002, 2.138876e+002
3.727555e+002, 2.132861e+002
3.732376e+002, 2.120232e+002
3.737198e+002, 2.110737e+002
3.742019e+002, 2.106857e+002
3.746840e+002, 2.103266e+002
3.751661e+002, 2.097402e+002
3.756482e+002, 2.090810e+002
3.761303e+002, 2.086328e+002
3.766125e+002, 2.085784e+002
3.770946e+002, 2.086965e+002
3.775767e+002, 2.084277e+002
3.780588e+002, 2.075553e+002
3.785409e+002, 2.069124e+002
3.790230e+002, 2.069179e+002
3.795052e+002, 2.071214e+002
3.799873e+002, 2.071784e+002
3.804694e+002, 2.070207e+002
3.809515e+002, 2.068321e+002
3.814336e+002, 2.069189e+002
3.819157e+002, 2.072677e+002
3.823979e+002, 2.071513e+002
3.828800e+002, 2.061242e+002
3.833621e+002, 2.050155e+002
3.838442e+002, 2.043852e+002
3.843263e+002, 2.041516e+002
3.848084e+002, 2.039850e+002
3.852906e+002, 2.036960e+002
3.857727e+002, 2.033570e+002
3.862548e+002, 2.031743e+002
3.867369e+002, 2.032154e+002
3.872190e+002, 2.031696e+002
3.877011e+002, 2.027356e+002
3.881833e+002, 2.021349e+002
3.886654e+002, 2.016884e+002
3.891475e+002, 2.015164e+002
3.896296e+002, 2.014011e+002
3.901117e+002, 2.010995e+002
3.905938e+002, 2.006491e+002
3.910760e+002, 2.003640e+002
3.915581e+002, 2.004029e+002
3.920402e+002, 2.005885e+002
3.925223e+002, 2.007045e+002
3.930044e+002, 2.007619e+002
3.934865e+002, 2.007013e+002
3.939687e+002, 2.003526e+002
3.944508e+002, 1.999189e+002
3.949329e+002, 1.998025e+002
3.954150e+002, 2.000921e+002
3.958971e+002, 2.003400e+002
3.963792e+002, 2.000763e+002
3.968614e+002, 1.993545e+002
3.973435e+002, 1.988913e+002
3.978256e+002, 1.987557e+002
3.983077e+002, 1.988470e+002
3.987898e+002, 1.992910e+002
3.992719e+002, 1.999491e+002
3.997540e+002, 2.003323e+002
4.002361e+002, 2.001639e+002
4.007183e+002, 1.996127e+002
4.012004e+002, 1.991450e+002
4.016825e+002, 1.986818e+002
4.021646e+002, 1.984154e+002
4.026467e+002, 1.985459e+002
4.031288e+002, 1.988150e+002
4.036110e+002, 1.988736e+002
4.040931e+002, 1.986581e+002
4.045752e+002, 1.984582e+002
4.050573e+002, 1.986503e+002
4.055394e+002, 1.993738e+002
4.060215e+002, 1.997779e+002
4.065037e+002, 1.997645e+002
4.069858e+002, 1.995727e+002
4.074679e+002, 1.992554e+002
4.079500e+002, 1.988554e+002
4.084321e+002, 1.984335e+002
4.089142e+002, 1.980208e+002
4.093964e+002, 1.976192e+002
4.098785e+002, 1.972240e+002
4.103606e+002, 1.965945e+002
4.108427e+002, 1.963087e+002
4.113248e+002, 1.966001e+002
4.118069e+002, 1.971444e+002
4.122891e+002, 1.977090e+002
4.127712e+002, 1.982025e+002
4.132533e+002, 1.985541e+002
4.137354e+002, 1.986759e+002
4.142175e+002, 1.985654e+002
4.146996e+002, 1.982286e+002
4.151818e+002, 1.972972e+002
4.156639e+002, 1.964816e+002
4.161460e+002, 1.960354e+002
4.166281e+002, 1.959319e+002
4.171102e+002, 1.960896e+002
4.175923e+002, 1.965367e+002
4.180745e+002, 1.971307e+002
4.185566e+002, 1.973079e+002
4.190387e+002, 1.967435e+002
4.195208e+002, 1.964912e+002
4.200029e+002, 1.971027e+002
4.204850e+002, 1.980285e+002
4.209672e+002, 1.988409e+002
4.214493e+002, 1.994437e+002
4.219314e+002, 1.997952e+002
4.224135e+002, 1.997222e+002
4.228956e+002, 1.992533e+002
4.233777e+002, 1.990014e+002
4.238599e+002, 1.992206e+002
4.243420e+002, 1.994501e+002
4.248241e+002, 1.993421e+002
4.253062e+002, 1.989550e+002
