##NAMES=Chistyakovaite
##RRUFFID=R070024
##IDEAL CHEMISTRY=Al(U^6+^O_2_)_2_(As^5+^O_4_)_2_F&#183;6.5H_2_O
##LOCALITY=Bota-Burum U deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Platy fragment of a pale yellow crystal, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070024
621.7469, 806.8835
622.2291, 823.3503
622.7112, 827.8406
623.1933, 820.4337
623.6754, 813.2166
624.1575, 811.6310
624.6396, 813.2590
625.1218, 814.0735
625.6039, 814.1235
626.0860, 813.1049
626.5681, 809.7967
627.0502, 806.8974
627.5323, 804.1778
628.0145, 803.0051
628.4966, 806.4150
628.9787, 815.1078
629.4608, 822.8134
629.9429, 822.7205
630.4250, 817.6798
630.9072, 815.9802
631.3893, 817.9698
631.8714, 816.8434
632.3535, 808.3152
632.8356, 796.9969
633.3177, 791.4692
633.7999, 793.7397
634.2820, 796.0981
634.7641, 799.9340
635.2462, 802.3553
635.7283, 801.1457
636.2104, 798.1058
636.6926, 795.9818
637.1747, 795.5522
637.6568, 795.2828
638.1389, 793.1410
638.6210, 790.0692
639.1031, 789.1354
639.5853, 790.4985
640.0674, 791.8369
640.5495, 791.7933
641.0316, 791.7545
641.5137, 794.7711
641.9958, 803.4775
642.4780, 806.3158
642.9601, 796.6397
643.4422, 788.5897
643.9243, 789.4698
644.4064, 795.0667
644.8885, 799.9731
645.3707, 802.5248
645.8528, 802.3649
646.3349, 796.9835
646.8170, 788.9684
647.2991, 786.5873
647.7813, 790.0790
648.2634, 792.0311
648.7455, 789.0131
649.2276, 783.5141
649.7097, 778.9979
650.1918, 775.1325
650.6740, 773.9845
651.1561, 777.5206
651.6382, 781.3580
652.1203, 782.0766
652.6024, 783.1226
653.0845, 791.7906
653.5667, 808.3739
654.0488, 819.8935
654.5309, 811.5905
655.0130, 791.8597
655.4951, 777.9586
655.9772, 769.9542
656.4594, 766.9325
656.9415, 769.3287
657.4236, 774.2256
657.9057, 778.0515
658.3878, 780.7468
658.8699, 782.7195
659.3521, 785.0066
659.8342, 785.3802
660.3163, 781.1633
660.7984, 776.0581
661.2805, 774.1755
661.7626, 775.7926
662.2448, 777.8152
662.7269, 778.8217
663.2090, 778.5204
663.6911, 775.0403
664.1732, 769.3155
664.6553, 767.5913
665.1375, 772.2022
665.6196, 776.6367
666.1017, 772.4023
666.5838, 759.6879
667.0659, 758.3555
667.5480, 783.4900
668.0302, 799.7693
668.5123, 796.8041
668.9944, 787.9092
669.4765, 781.9205
669.9586, 779.8264
670.4407, 780.2859
670.9229, 783.2883
671.4050, 787.7094
671.8871, 795.2162
672.3692, 802.9776
672.8513, 800.9932
673.3335, 787.6340
673.8156, 774.8309
674.2977, 772.8474
674.7798, 779.4781
675.2620, 783.5010
675.7441, 784.2163
676.2262, 783.7558
676.7083, 779.5867
677.1904, 776.8531
677.6725, 779.8419
678.1547, 786.4146
678.6368, 790.9681
679.1189, 791.4419
679.6010, 790.5663
680.0831, 787.4117
680.5652, 785.3501
681.0474, 792.6303
681.5295, 807.5551
682.0116, 816.9325
682.4937, 812.3669
682.9758, 800.0203
683.4579, 793.6785
683.9401, 794.7083
684.4222, 795.1927
684.9043, 793.8770
685.3864, 793.4047
685.8685, 796.5375
686.3506, 800.8861
686.8328, 802.9146
687.3149, 802.1505
687.7970, 799.7392
688.2791, 792.7278
688.7612, 787.0555
689.2433, 789.4476
689.7255, 796.9828
690.2076, 802.5352
690.6897, 803.4169
691.1718, 802.2885
691.6539, 803.0943
692.1360, 805.3441
692.6182, 802.5684
693.1003, 793.0673
693.5824, 786.5963
694.0645, 788.1705
694.5466, 793.2186
695.0287, 795.2114
695.5109, 793.7745
695.9930, 794.1616
696.4751, 796.7541
696.9572, 801.1292
697.4393, 809.1340
697.9214, 817.6915
698.4036, 823.5978
698.8857, 826.2538
699.3678, 826.3315
699.8499, 823.6872
700.3320, 819.5027
700.8141, 814.4343
701.2963, 809.1304
701.7784, 809.0449
702.2605, 815.7948
702.7426, 825.8138
703.2247, 837.3151
703.7068, 849.2895
704.1890, 854.6399
704.6711, 846.1661
705.1532, 842.0568
705.6353, 846.7664
706.1174, 852.7800
706.5995, 855.7863
707.0817, 856.3336
707.5638, 855.9955
708.0459, 854.1854
708.5280, 855.2321
709.0101, 865.4172
709.4922, 879.2316
709.9744, 888.5756
710.4565, 892.7168
710.9386, 892.0557
711.4207, 886.3094
711.9028, 879.9125
712.3849, 882.4827
712.8671, 896.6090
713.3492, 902.6961
713.8313, 898.4630
714.3134, 890.1839
714.7955, 877.6407
715.2776, 864.0927
715.7598, 853.3122
716.2419, 845.4318
716.7240, 840.0981
717.2061, 839.3229
717.6882, 838.8477
718.1703, 834.8247
718.6525, 829.9652
719.1346, 829.8087
719.6167, 834.6520
720.0988, 837.8656
720.5809, 832.9267
721.0630, 823.0951
721.5452, 816.4014
722.0273, 812.8452
