##NAMES=Diopside
##RRUFFID=R110128
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Alchori, Pakistan
##OWNER=RRUFF
##SOURCE=Jack Lowell
##DESCRIPTION=Dark green prismatic crystals associated with pale brown epidote, R110127
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110128
457.0480, 72.08384
457.5301, 71.99052
458.0122, 71.57948
458.4943, 70.86054
458.9764, 70.45182
459.4586, 70.49696
459.9407, 70.68044
460.4228, 70.92213
460.9049, 71.15838
461.3870, 71.26331
461.8691, 71.15341
462.3513, 70.96058
462.8334, 70.83006
463.3155, 70.76086
463.7976, 70.72854
464.2797, 70.73524
464.7618, 70.76609
465.2440, 70.79655
465.7261, 70.82530
466.2082, 70.88194
466.6903, 71.10383
467.1724, 71.29157
467.6545, 71.11673
468.1367, 70.58061
468.6188, 70.08990
469.1009, 69.92776
469.5830, 70.03189
470.0651, 70.07931
470.5472, 70.17542
471.0294, 70.09419
471.5115, 69.46798
471.9936, 68.76125
472.4757, 68.66389
472.9578, 69.31867
473.4399, 70.18580
473.9221, 70.63130
474.4042, 70.60302
474.8863, 70.43449
475.3684, 69.94932
475.8505, 69.52567
476.3326, 69.33275
476.8148, 69.29190
477.2969, 69.25197
477.7790, 69.13856
478.2611, 69.01271
478.7432, 69.04804
479.2253, 69.38618
479.7075, 69.47972
480.1896, 69.05600
480.6717, 68.54797
481.1538, 68.06224
481.6359, 67.67818
482.1180, 67.58546
482.6002, 68.05274
483.0823, 68.85894
483.5644, 69.40672
484.0465, 69.68245
484.5286, 69.72466
485.0107, 69.26732
485.4929, 68.72920
485.9750, 68.66084
486.4571, 69.20136
486.9392, 69.77653
487.4213, 70.08032
487.9034, 70.16275
488.3856, 70.05342
488.8677, 69.71877
489.3498, 69.50095
489.8319, 69.77512
490.3140, 70.49306
490.7961, 70.91758
491.2783, 70.84992
491.7604, 70.70644
492.2425, 70.63770
492.7246, 70.63393
493.2067, 70.66850
493.6888, 70.73170
494.1710, 70.82852
494.6531, 70.94968
495.1352, 71.02686
495.6173, 71.36912
496.0994, 72.24792
496.5815, 73.08864
