##NAMES=Metarauchite
##RRUFFID=R120114
##IDEAL CHEMISTRY=Ni^2+^(U^6+^O_2_)_2_(As^5+^O_4_)_2_&#183;8H_2_O
##LOCALITY=Schweizer vein, 90 level, Eduard mine, Jachymov, Krusne Hory Mts., Czech Republic
##OWNER=RRUFF
##SOURCE=Dr Peter Kolesar
##DESCRIPTION=Aggregates of yellow play crystals, associated with green platy metazeunerite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120114
3.037349e+002, 6.278248e+003
3.042170e+002, 6.289312e+003
3.046991e+002, 6.291752e+003
3.051812e+002, 6.291369e+003
3.056633e+002, 6.296724e+003
3.061454e+002, 6.310983e+003
3.066276e+002, 6.325760e+003
3.071097e+002, 6.333548e+003
3.075918e+002, 6.334661e+003
3.080739e+002, 6.334383e+003
3.085560e+002, 6.333047e+003
3.090381e+002, 6.332261e+003
3.095203e+002, 6.334155e+003
3.100024e+002, 6.339064e+003
3.104845e+002, 6.343671e+003
3.109666e+002, 6.345181e+003
3.114487e+002, 6.344242e+003
3.119308e+002, 6.343965e+003
3.124130e+002, 6.344574e+003
3.128951e+002, 6.346584e+003
3.133772e+002, 6.350940e+003
3.138593e+002, 6.357254e+003
3.143414e+002, 6.362969e+003
3.148235e+002, 6.366204e+003
3.153057e+002, 6.367913e+003
3.157878e+002, 6.371296e+003
3.162699e+002, 6.378054e+003
3.167520e+002, 6.382912e+003
3.172341e+002, 6.379810e+003
3.177162e+002, 6.371912e+003
3.181984e+002, 6.365975e+003
3.186805e+002, 6.365266e+003
3.191626e+002, 6.367573e+003
3.196447e+002, 6.370316e+003
3.201268e+002, 6.374063e+003
3.206089e+002, 6.375522e+003
3.210911e+002, 6.371092e+003
3.215732e+002, 6.363615e+003
3.220553e+002, 6.356700e+003
3.225374e+002, 6.350726e+003
3.230195e+002, 6.346036e+003
3.235016e+002, 6.343802e+003
3.239838e+002, 6.344042e+003
3.244659e+002, 6.343131e+003
3.249480e+002, 6.338500e+003
3.254301e+002, 6.332858e+003
3.259122e+002, 6.329909e+003
3.263943e+002, 6.330354e+003
3.268765e+002, 6.330648e+003
3.273586e+002, 6.328610e+003
3.278407e+002, 6.324325e+003
3.283228e+002, 6.317985e+003
3.288049e+002, 6.308428e+003
3.292870e+002, 6.298463e+003
3.297692e+002, 6.291998e+003
3.302513e+002, 6.288626e+003
3.307334e+002, 6.283095e+003
3.312155e+002, 6.269058e+003
3.316976e+002, 6.251397e+003
3.321797e+002, 6.242690e+003
3.326619e+002, 6.246635e+003
3.331440e+002, 6.252841e+003
3.336261e+002, 6.253434e+003
3.341082e+002, 6.249824e+003
3.345903e+002, 6.244553e+003
3.350724e+002, 6.234252e+003
3.355546e+002, 6.224763e+003
3.360367e+002, 6.225970e+003
3.365188e+002, 6.239050e+003
3.370009e+002, 6.250667e+003
3.374830e+002, 6.252832e+003
3.379651e+002, 6.248369e+003
3.384473e+002, 6.242345e+003
3.389294e+002, 6.233318e+003
3.394115e+002, 6.225961e+003
3.398936e+002, 6.225534e+003
3.403757e+002, 6.231070e+003
3.408578e+002, 6.235155e+003
3.413400e+002, 6.234557e+003
3.418221e+002, 6.231639e+003
