##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
224.1153, 56.53736
224.5974, 57.30269
225.0795, 58.42444
225.5617, 58.95477
226.0438, 58.63241
226.5259, 57.86098
227.0080, 57.29948
227.4901, 56.89219
227.9722, 56.85975
228.4544, 57.56664
228.9365, 58.37579
229.4186, 58.75582
229.9007, 58.57230
230.3828, 58.10535
230.8649, 57.85231
231.3471, 58.11087
231.8292, 58.09362
232.3113, 57.50879
232.7934, 56.84196
233.2755, 56.55398
233.7576, 56.75293
234.2398, 57.12040
234.7219, 57.11128
235.2040, 56.27905
235.6861, 55.87952
236.1682, 56.13532
236.6503, 56.68945
237.1325, 57.33742
237.6146, 58.00158
238.0967, 58.50662
238.5788, 58.53955
239.0609, 57.73492
239.5430, 57.31178
240.0252, 57.66683
240.5073, 58.24631
240.9894, 58.54312
241.4715, 58.43667
241.9536, 58.01140
242.4357, 57.24697
242.9179, 55.95144
243.4000, 55.23463
243.8821, 55.56760
244.3642, 56.36446
244.8463, 57.11928
245.3284, 57.75126
245.8106, 58.07183
246.2927, 57.65552
246.7748, 56.45692
247.2569, 55.69584
247.7390, 55.78841
248.2211, 56.30763
248.7033, 56.77891
249.1854, 57.13512
249.6675, 57.43175
250.1496, 57.73785
250.6317, 58.04553
251.1138, 58.25346
251.5960, 58.28515
252.0781, 58.22966
252.5602, 58.17930
253.0423, 58.13288
253.5244, 58.14538
254.0065, 58.31488
254.4887, 58.58958
254.9708, 58.83180
255.4529, 58.96464
255.9350, 59.06292
256.4171, 59.24640
256.8992, 59.53963
257.3813, 59.82078
257.8635, 59.92629
258.3456, 59.96489
258.8277, 60.13694
259.3098, 60.57598
259.7919, 61.13116
260.2740, 61.56390
260.7562, 61.83424
261.2383, 62.15238
261.7204, 62.70626
262.2025, 63.36506
262.6846, 63.97641
263.1667, 64.47444
263.6489, 64.93317
264.1310, 65.50240
264.6131, 66.23666
265.0952, 66.84312
265.5773, 67.04594
266.0594, 67.10791
266.5416, 67.24953
267.0237, 67.51347
267.5058, 67.92010
267.9879, 68.59002
268.4700, 69.62186
268.9521, 70.45293
269.4343, 70.67684
269.9164, 70.73180
270.3985, 70.93530
270.8806, 71.36826
271.3627, 71.90508
271.8448, 72.37864
272.3270, 72.76293
272.8091, 73.22978
273.2912, 73.89281
273.7733, 74.60829
274.2554, 75.29408
274.7375, 75.93967
275.2197, 76.57802
275.7018, 77.33192
276.1839, 78.26643
276.6660, 78.87134
277.1481, 78.75594
277.6302, 78.50381
278.1124, 78.33430
278.5945, 78.28830
279.0766, 78.36016
279.5587, 78.64005
280.0408, 79.18591
280.5229, 79.42475
281.0051, 79.00380
281.4872, 78.53513
281.9693, 78.29016
282.4514, 78.23530
282.9335, 78.17394
283.4156, 77.89612
283.8978, 77.39300
284.3799, 77.09949
284.8620, 77.40098
285.3441, 77.52161
285.8262, 77.10947
286.3083, 76.30618
286.7905, 75.43147
287.2726, 74.68809
287.7547, 74.07339
288.2368, 73.59326
288.7189, 73.43985
289.2010, 73.19151
289.6832, 72.64402
290.1653, 71.95122
290.6474, 71.34992
291.1295, 70.98909
291.6116, 70.80538
292.0938, 70.55088
292.5759, 70.24018
293.0580, 69.82355
293.5401, 69.10677
294.0222, 68.35918
294.5043, 67.92598
294.9865, 67.96954
295.4686, 68.28297
295.9507, 68.34182
296.4328, 67.89253
296.9149, 67.64501
297.3970, 67.92892
297.8792, 68.28633
298.3613, 68.25359
298.8434, 67.70930
299.3255, 66.98515
299.8076, 66.67256
300.2897, 67.06934
300.7719, 67.20016
301.2540, 66.92285
301.7361, 66.48157
302.2182, 65.93804
302.7003, 65.34962
303.1824, 64.84592
303.6646, 64.57333
304.1467, 64.54307
304.6288, 64.72426
305.1109, 65.49999
305.5930, 66.14388
306.0751, 66.19734
306.5573, 65.75768
307.0394, 65.29008
307.5215, 65.26382
308.0036, 65.73371
308.4857, 65.82547
308.9678, 65.09684
309.4500, 64.40881
309.9321, 63.91258
310.4142, 63.64839
310.8963, 63.69767
311.3784, 64.18724
311.8605, 65.00150
312.3427, 65.21075
312.8248, 64.03318
313.3069, 63.13831
313.7890, 62.99701
314.2711, 63.25861
314.7532, 63.47798
315.2354, 63.43888
