##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
600.0895, 267.6099
600.5716, 266.4589
601.0537, 265.3550
601.5358, 264.2328
602.0179, 263.6619
602.5001, 264.0827
602.9822, 264.6205
603.4643, 264.5269
603.9464, 263.4902
604.4285, 263.1480
604.9106, 263.8354
605.3928, 264.8065
605.8749, 264.7560
606.3570, 263.7789
606.8391, 263.1586
607.3212, 263.4313
607.8033, 264.0738
608.2855, 264.2928
608.7676, 264.1848
609.2497, 264.1170
609.7318, 264.1009
610.2139, 264.3412
610.6960, 265.4489
611.1782, 267.3687
611.6603, 268.1744
612.1424, 265.6314
612.6245, 262.9041
613.1066, 262.1666
613.5887, 265.1678
614.0709, 266.3902
614.5530, 264.9003
615.0351, 262.4867
615.5172, 260.9037
615.9993, 260.1847
616.4814, 260.2277
616.9636, 261.3161
617.4457, 262.7099
617.9278, 262.9505
618.4099, 262.1091
618.8920, 260.9592
619.3741, 259.3559
619.8563, 257.9492
620.3384, 257.9448
620.8205, 259.1225
621.3026, 260.3925
621.7847, 261.7254
622.2668, 262.4801
622.7490, 261.7338
623.2311, 259.2195
623.7132, 257.5844
624.1953, 258.2899
624.6774, 259.6090
625.1595, 260.3607
625.6417, 260.4333
626.1238, 260.1063
626.6059, 259.2446
627.0880, 258.1481
627.5701, 257.0140
628.0522, 255.7493
628.5344, 255.4928
629.0165, 256.8180
629.4986, 258.7771
629.9807, 259.3607
630.4628, 258.8192
630.9449, 258.4974
631.4271, 259.8233
631.9092, 261.2097
632.3913, 260.3600
632.8734, 257.6811
633.3555, 255.8128
633.8376, 256.9488
634.3198, 258.5920
634.8019, 259.1140
635.2840, 258.0439
635.7661, 257.5175
636.2482, 258.2691
636.7303, 259.2009
637.2125, 259.5508
637.6946, 259.0888
638.1767, 258.7132
638.6588, 258.4678
639.1409, 258.3051
639.6230, 258.1491
640.1052, 258.0062
640.5873, 257.9951
641.0694, 258.2251
641.5515, 258.4684
642.0336, 258.2984
642.5157, 257.8437
642.9979, 257.4755
643.4800, 257.3110
643.9621, 257.3542
644.4442, 257.7192
644.9263, 258.3426
645.4084, 258.8661
645.8906, 258.9666
646.3727, 259.1198
646.8548, 259.7431
647.3369, 261.0213
647.8190, 261.3078
648.3011, 260.1138
648.7833, 258.6580
649.2654, 257.8548
649.7475, 257.7455
650.2296, 257.7065
650.7117, 257.7213
651.1938, 257.7277
651.6760, 257.6230
652.1581, 257.4429
652.6402, 257.2839
653.1223, 257.1228
653.6044, 257.0888
654.0865, 257.5370
654.5687, 258.1657
655.0508, 258.4003
655.5329, 257.1861
656.0150, 256.4059
656.4971, 257.0143
656.9792, 258.7489
657.4614, 260.2222
657.9435, 261.8726
658.4256, 262.5323
658.9077, 261.4106
659.3898, 258.6253
659.8719, 257.2657
660.3541, 257.5717
660.8362, 258.1755
661.3183, 258.0178
661.8004, 257.3470
662.2825, 257.2126
662.7646, 257.6971
663.2468, 258.2757
663.7289, 258.7704
664.2110, 258.9718
664.6931, 258.4489
665.1752, 256.6588
665.6573, 255.3458
666.1395, 255.6353
666.6216, 256.6818
667.1037, 257.4442
667.5858, 257.4837
668.0679, 257.6153
668.5500, 258.0175
669.0322, 258.4928
669.5143, 258.5628
669.9964, 258.1465
670.4785, 257.6926
670.9606, 257.2226
671.4427, 256.8845
