##NAMES=Abramovite
##RRUFFID=R070037
##IDEAL CHEMISTRY=Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070037
629.4607, 1419.933
629.9428, 1422.033
630.4249, 1439.320
630.9070, 1453.501
631.3892, 1446.478
631.8713, 1423.328
632.3534, 1415.019
632.8355, 1410.681
633.3176, 1430.198
633.7997, 1440.899
634.2819, 1443.256
634.7640, 1412.281
635.2461, 1424.348
635.7282, 1419.166
636.2103, 1413.276
636.6924, 1431.401
637.1746, 1405.274
637.6567, 1423.018
638.1388, 1423.249
638.6209, 1431.496
639.1030, 1422.387
639.5851, 1418.638
640.0673, 1432.251
640.5494, 1436.250
641.0315, 1425.143
641.5136, 1433.899
641.9957, 1407.166
642.4778, 1411.575
642.9600, 1429.421
643.4421, 1419.186
643.9242, 1428.259
644.4063, 1429.979
644.8884, 1398.281
645.3705, 1424.700
645.8527, 1425.985
646.3348, 1401.463
646.8169, 1425.891
647.2990, 1404.927
647.7811, 1400.165
648.2632, 1407.596
648.7454, 1402.317
649.2275, 1400.949
649.7096, 1395.263
650.1917, 1391.356
650.6738, 1386.809
651.1559, 1378.189
651.6381, 1367.457
652.1202, 1361.067
652.6023, 1360.918
653.0844, 1365.213
653.5665, 1377.123
654.0486, 1390.969
654.5308, 1395.777
655.0129, 1391.821
655.4950, 1392.077
655.9771, 1407.258
656.4592, 1429.896
656.9413, 1434.060
657.4235, 1412.851
657.9056, 1398.164
658.3877, 1400.820
658.8698, 1402.281
659.3519, 1383.409
659.8340, 1355.290
660.3162, 1346.050
660.7983, 1370.495
661.2804, 1394.522
661.7625, 1401.834
662.2446, 1399.773
662.7267, 1395.680
663.2089, 1390.608
663.6910, 1382.923
664.1731, 1371.199
664.6552, 1359.229
665.1373, 1356.010
665.6194, 1362.938
666.1016, 1368.463
666.5837, 1372.857
