##NAMES=Rheniite
##RRUFFID=R050362
##IDEAL CHEMISTRY=ReS_2_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Chain, Russia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Bright, shiney metallic crystals associated with anhydrite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R050362
400.714, 1125.584
401.196, 1125.368
401.678, 1130.423
402.160, 1139.622
402.642, 1152.699
403.124, 1167.648
403.606, 1178.620
404.088, 1185.086
404.570, 1188.056
405.053, 1184.659
405.535, 1180.366
406.017, 1180.009
406.499, 1183.619
406.981, 1186.797
407.463, 1183.620
407.945, 1174.857
408.427, 1173.191
408.910, 1179.008
409.392, 1191.788
409.874, 1212.751
410.356, 1239.556
410.838, 1269.713
411.320, 1306.059
411.802, 1338.989
412.284, 1355.843
412.767, 1358.929
413.249, 1363.410
413.731, 1372.349
414.213, 1386.896
414.695, 1415.857
415.177, 1462.503
415.659, 1487.411
416.141, 1475.295
416.623, 1443.214
417.106, 1400.444
417.588, 1350.463
418.070, 1301.929
418.552, 1260.460
419.034, 1225.164
419.516, 1189.052
419.998, 1144.082
420.480, 1108.435
420.962, 1085.338
421.445, 1071.703
421.927, 1066.199
422.409, 1067.695
422.891, 1072.185
423.373, 1075.772
423.855, 1078.810
424.337, 1077.890
424.819, 1070.482
425.302, 1061.958
425.784, 1051.161
426.266, 1041.422
426.748, 1039.664
427.230, 1051.454
427.712, 1068.453
428.194, 1078.917
428.676, 1083.117
429.159, 1090.078
429.641, 1105.089
430.123, 1121.448
430.605, 1128.674
431.087, 1125.963
431.569, 1123.916
432.051, 1123.670
432.533, 1126.450
433.015, 1137.478
433.497, 1154.930
433.980, 1165.964
434.462, 1160.232
434.944, 1140.365
435.426, 1125.989
435.908, 1125.784
436.390, 1120.197
436.872, 1100.552
437.354, 1077.570
437.837, 1063.617
438.319, 1060.972
438.801, 1061.050
439.283, 1051.782
439.765, 1031.581
440.247, 1021.848
440.729, 1032.076
441.211, 1040.674
441.694, 1032.650
442.176, 1017.526
442.658, 1013.949
443.140, 1034.032
443.622, 1058.179
444.104, 1061.925
444.586, 1047.581
445.068, 1036.117
445.550, 1034.525
