##NAMES=Hisingerite
##RRUFFID=R070695
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Zinc Consolidated mine, Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Black to dark-brown, translucent amorphous fragments
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070695
538.2255, 754033.9
538.7076, 754500.3
539.1898, 754590.4
539.6719, 754392.6
540.1540, 754149.4
540.6361, 753895.7
541.1182, 753724.0
541.6003, 753855.4
542.0825, 754252.8
542.5646, 754418.1
543.0467, 754073.3
543.5288, 753587.2
544.0109, 753648.9
544.4930, 754405.3
544.9752, 754748.7
545.4573, 754036.9
545.9394, 753233.4
546.4215, 753218.9
546.9036, 753829.9
547.3857, 754294.6
547.8679, 754116.1
548.3500, 753513.6
548.8321, 753230.8
549.3142, 753499.4
549.7963, 753694.4
550.2784, 753777.8
550.7606, 753771.6
551.2427, 753647.0
551.7248, 753433.8
552.2069, 753248.9
552.6890, 753210.5
553.1711, 753266.3
553.6533, 753199.8
554.1354, 752949.6
554.6175, 752902.1
555.0996, 753461.2
555.5817, 754204.6
556.0638, 754336.4
556.5460, 753583.1
557.0281, 753055.2
557.5102, 753423.4
557.9923, 754144.7
558.4744, 754534.3
558.9565, 754513.4
559.4387, 754316.9
559.9208, 754084.7
560.4029, 753844.9
560.8850, 753906.6
561.3671, 754756.4
561.8492, 755314.9
562.3314, 755173.5
562.8135, 754845.7
563.2956, 754864.1
563.7777, 755310.8
564.2598, 755820.9
564.7419, 755936.7
565.2241, 755722.8
565.7062, 755951.7
566.1883, 756868.7
566.6704, 757665.7
567.1525, 757849.3
567.6346, 757662.7
568.1168, 757425.4
568.5989, 757157.9
569.0810, 756900.9
569.5631, 756688.1
570.0452, 756499.9
570.5273, 756254.3
571.0095, 755943.1
571.4916, 755748.0
571.9737, 755872.3
572.4558, 756315.3
572.9379, 756577.8
573.4200, 756418.6
573.9022, 756382.9
574.3843, 756786.9
574.8664, 757279.0
575.3485, 757365.8
575.8306, 756955.4
