##NAMES=Obradovicite-KCu
##RRUFFID=R100015
##IDEAL CHEMISTRY=[K_2_(H_2_O)_17_Cu^2+^(H_2_O)_6_][Mo^6+^_8_As^5+^_2_Fe^3+^_3_O_34_(OH)_3_]
##LOCALITY=Chuquicamata, Chile
##OWNER=Colorado School of Mines
##SOURCE=Colorado School of Mines
##DESCRIPTION=Aggregates of pea-green grains associated with quartz and jarosite, type material
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100015
500.3669, 1913.341
500.8490, 1883.209
501.3311, 1854.407
501.8133, 1827.116
502.2954, 1801.302
502.7775, 1776.806
503.2596, 1753.571
503.7417, 1731.209
504.2238, 1709.834
504.7060, 1689.430
505.1881, 1669.922
505.6702, 1651.950
506.1523, 1634.029
506.6344, 1614.980
507.1165, 1594.644
507.5987, 1574.530
508.0808, 1554.636
508.5629, 1535.894
509.0450, 1520.714
509.5271, 1508.810
510.0092, 1496.243
510.4914, 1480.794
510.9735, 1464.178
511.4556, 1450.114
511.9377, 1438.412
512.4199, 1426.354
512.9020, 1410.840
513.3841, 1394.485
513.8662, 1380.848
514.3483, 1370.938
514.8304, 1361.137
515.3126, 1348.801
515.7947, 1335.399
516.2768, 1322.621
516.7589, 1310.710
517.2410, 1299.767
517.7231, 1290.287
518.2053, 1281.955
518.6874, 1273.225
519.1695, 1264.111
519.6516, 1254.449
520.1337, 1244.100
520.6158, 1232.668
521.0980, 1222.184
521.5801, 1212.938
522.0622, 1204.291
522.5443, 1195.447
523.0264, 1186.312
523.5085, 1177.598
523.9907, 1169.516
524.4728, 1161.941
524.9549, 1154.346
525.4370, 1146.732
525.9191, 1139.864
526.4012, 1135.179
526.8834, 1131.192
527.3655, 1124.063
527.8476, 1113.880
528.3297, 1103.975
528.8118, 1097.339
529.2939, 1092.459
529.7761, 1087.473
530.2582, 1081.829
530.7403, 1076.439
531.2224, 1072.177
531.7045, 1068.466
532.1866, 1064.379
532.6688, 1059.184
533.1509, 1053.992
533.6330, 1049.023
534.1151, 1044.326
534.5972, 1039.795
535.0793, 1035.571
535.5615, 1031.392
536.0436, 1027.187
536.5257, 1022.980
537.0078, 1018.380
537.4899, 1012.962
537.9720, 1007.862
538.4542, 1005.245
538.9363, 1005.338
539.4184, 1003.684
539.9005, 998.7726
540.3826, 992.2039
540.8647, 987.2478
541.3469, 983.8220
541.8290, 981.2631
542.3111, 979.8000
542.7932, 978.6843
543.2753, 976.8203
543.7574, 974.1676
544.2396, 971.1451
544.7217, 967.4138
545.2038, 963.7628
545.6859, 961.1219
546.1680, 960.5468
546.6501, 959.4135
547.1323, 955.8411
547.6144, 951.3142
548.0965, 948.3569
548.5786, 949.2912
549.0607, 949.6537
549.5428, 948.3096
550.0250, 945.4535
550.5071, 943.1080
550.9892, 941.3227
551.4713, 939.9720
551.9534, 939.2574
552.4355, 939.3480
552.9177, 938.0944
553.3998, 935.0959
553.8819, 932.0163
554.3640, 931.1297
554.8461, 932.0537
555.3282, 932.5762
555.8104, 931.9152
556.2925, 931.0135
556.7746, 931.1814
557.2567, 932.1807
557.7388, 933.2742
558.2209, 934.2888
558.7031, 935.0826
559.1852, 935.2225
559.6673, 934.7687
560.1494, 934.9982
560.6315, 937.2394
561.1136, 939.7960
561.5958, 941.5064
562.0779, 941.6064
562.5600, 942.0646
563.0421, 943.3203
563.5242, 944.8024
564.0063, 945.8309
564.4885, 946.3967
564.9706, 946.3987
565.4527, 945.4475
565.9348, 944.0439
566.4169, 944.0682
566.8990, 945.6649
567.3812, 947.3727
567.8633, 948.7079
568.3454, 949.5508
568.8275, 949.0363
569.3096, 947.1256
569.7917, 945.7078
570.2739, 946.0587
570.7560, 948.0916
571.2381, 952.6061
571.7202, 961.6520
572.2023, 967.7100
572.6844, 963.7551
573.1666, 954.3721
573.6487, 946.3841
574.1308, 942.1016
574.6129, 939.4001
575.0950, 938.1621
575.5771, 938.1894
576.0593, 938.2908
576.5414, 938.9120
577.0235, 938.9957
577.5056, 937.9927
577.9877, 935.7589
578.4698, 933.5103
578.9520, 930.7005
579.4341, 929.2015
579.9162, 932.6345
580.3983, 940.3679
580.8804, 942.1210
581.3625, 935.3131
581.8447, 925.6174
582.3268, 920.5217
582.8089, 918.9531
583.2910, 917.6521
583.7731, 915.4377
584.2552, 912.8522
584.7373, 910.0865
585.2194, 907.2907
585.7015, 905.0165
586.1837, 904.7795
586.6658, 904.0914
587.1479, 901.0682
587.6300, 895.0021
588.1121, 890.4886
588.5942, 889.3597
589.0764, 889.0109
589.5585, 887.8307
590.0406, 885.5875
590.5227, 882.9346
591.0048, 879.5779
591.4869, 876.1746
591.9691, 873.9495
592.4512, 872.9904
592.9333, 871.8427
593.4154, 870.1981
593.8975, 868.0479
594.3796, 865.1332
594.8618, 861.5978
595.3439, 858.1290
595.8260, 854.7031
596.3081, 851.8185
596.7902, 850.6062
597.2723, 851.0110
597.7545, 850.3693
598.2366, 846.7063
598.7187, 841.7585
599.2008, 836.6769
599.6829, 831.2175
600.1650, 826.5453
600.6472, 823.0286
601.1293, 820.3387
601.6114, 818.2044
602.0935, 816.9256
602.5756, 815.6432
603.0577, 814.2721
603.5399, 812.8118
604.0220, 811.5737
604.5041, 810.7392
604.9862, 808.4053
605.4683, 803.0519
605.9504, 795.7468
606.4326, 789.2858
606.9147, 783.6891
607.3968, 778.9304
607.8789, 775.4994
608.3610, 772.7064
608.8431, 769.7402
609.3253, 766.4142
609.8074, 763.2781
610.2895, 760.5230
610.7716, 758.1508
611.2537, 756.1424
611.7358, 755.2763
612.2180, 753.8187
612.7001, 751.3591
613.1822, 748.2794
613.6643, 745.0651
614.1464, 741.6065
614.6285, 738.4156
615.1107, 735.5804
615.5928, 733.1061
616.0749, 730.9823
616.5570, 729.2314
617.0391, 727.6531
617.5212, 726.1115
618.0034, 724.6724
618.4855, 723.6299
618.9676, 722.9633
619.4497, 722.0722
619.9318, 720.3447
620.4139, 718.1816
620.8961, 715.7740
621.3782, 712.6537
621.8603, 710.8996
622.3424, 713.0056
622.8245, 716.2966
623.3066, 717.7023
623.7888, 714.3060
624.2709, 712.0375
624.7530, 711.9092
625.2351, 713.0977
625.7172, 713.6534
626.1993, 713.3959
626.6815, 713.0292
627.1636, 712.5537
627.6457, 712.1807
628.1278, 713.1009
628.6099, 715.3183
629.0920, 717.4225
629.5742, 718.4333
630.0563, 718.7143
630.5384, 718.8556
631.0205, 718.8928
631.5026, 718.9694
631.9847, 719.0869
632.4669, 719.3593
632.9490, 719.8298
633.4311, 720.2636
633.9132, 721.4974
634.3953, 724.8656
634.8774, 728.6990
635.3596, 730.9179
635.8417, 730.1729
636.3238, 730.0727
636.8059, 731.2117
637.2880, 733.1149
637.7701, 734.7565
638.2523, 736.1785
638.7344, 737.0560
639.2165, 736.9967
639.6986, 736.4461
640.1807, 736.7174
640.6628, 737.7401
641.1450, 738.8644
641.6271, 739.7205
642.1092, 740.4229
642.5913, 741.0560
643.0734, 741.6356
643.5555, 742.2409
644.0377, 743.1267
644.5198, 743.9313
645.0019, 744.3331
645.4840, 743.9694
645.9661, 743.8875
646.4482, 744.0595
646.9304, 744.5858
647.4125, 745.6136
647.8946, 747.2843
648.3767, 749.0472
648.8588, 750.9728
649.3409, 752.7863
649.8231, 753.6879
650.3052, 753.8186
650.7873, 754.6104
651.2694, 756.8740
651.7515, 759.8478
652.2336, 762.3763
652.7158, 764.6078
653.1979, 767.2323
653.6800, 771.0000
654.1621, 774.9207
654.6442, 778.2670
655.1263, 780.9898
655.6085, 784.1424
656.0906, 788.1095
656.5727, 792.4521
657.0548, 796.9963
