##NAMES=Carnotite
##RRUFFID=R070647
##IDEAL CHEMISTRY=K_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_&#183;3H_2_O
##LOCALITY=Anderson mine, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Orange blocky crystals associated with yellow platy weeksite, R050330
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070647
372.6347, 31908.59
373.1168, 32104.34
373.5989, 32291.81
374.0810, 32420.34
374.5631, 32448.28
375.0453, 32377.17
375.5274, 32232.34
376.0095, 32027.71
376.4916, 31756.22
376.9737, 31403.42
377.4558, 30965.38
377.9380, 30461.01
378.4201, 29894.66
378.9022, 29265.97
379.3843, 28575.12
379.8664, 27821.29
380.3485, 27012.16
380.8307, 26174.46
381.3128, 25291.11
381.7949, 24404.07
382.2770, 23468.47
382.7591, 22554.08
383.2412, 21753.36
383.7234, 21074.25
384.2055, 20439.54
384.6876, 19759.18
385.1697, 19004.47
385.6518, 18326.13
386.1339, 17735.79
386.6161, 17195.03
387.0982, 16688.15
387.5803, 16212.97
388.0624, 15777.97
388.5445, 15388.03
389.0266, 15040.97
389.5088, 14720.98
389.9909, 14438.00
390.4730, 14174.29
390.9551, 13906.58
391.4372, 13664.11
391.9193, 13490.23
392.4015, 13404.90
392.8836, 13374.33
393.3657, 13326.52
393.8478, 13241.43
394.3299, 13190.43
394.8120, 13192.96
395.2942, 13223.11
395.7763, 13263.02
396.2584, 13310.78
396.7405, 13379.00
397.2226, 13477.12
397.7047, 13604.64
398.1869, 13775.76
398.6690, 14039.13
399.1511, 14289.52
399.6332, 14455.78
400.1153, 14559.75
400.5974, 14666.79
401.0796, 14799.10
401.5617, 14961.21
402.0438, 15172.48
402.5259, 15444.48
403.0080, 15720.48
403.4901, 15966.90
403.9723, 16199.27
404.4544, 16439.25
404.9365, 16697.19
405.4186, 16952.99
405.9007, 17188.90
406.3828, 17406.72
406.8650, 17619.39
407.3471, 17837.74
407.8292, 18042.26
408.3113, 18205.43
408.7934, 18329.68
409.2755, 18416.14
409.7577, 18476.81
410.2398, 18494.17
410.7219, 18446.09
411.2040, 18328.88
411.6861, 18143.25
412.1682, 17883.58
412.6504, 17540.52
413.1325, 17171.64
413.6146, 16768.21
414.0967, 16347.60
414.5788, 15917.58
415.0609, 15477.48
415.5431, 15016.29
416.0252, 14522.48
416.5073, 14009.78
416.9894, 13534.32
417.4715, 13102.52
417.9536, 12699.35
418.4358, 12338.93
418.9179, 11999.91
419.4000, 11653.92
419.8821, 11293.76
420.3642, 10938.82
420.8463, 10619.26
421.3285, 10346.30
421.8106, 10082.25
422.2927, 9814.881
422.7748, 9567.344
423.2569, 9354.735
