##NAMES=Segelerite
##RRUFFID=R080127
##IDEAL CHEMISTRY=CaMgFe^3+^(PO_4_)_2_(OH)&#183;4H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Thomas A. Loomis
##DESCRIPTION=Light yellow radiating acicular crystals, on a matrix of rockbridgeite and associated with leucophosphite (R080126)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080127
383.2397, 141.8913
383.7219, 141.4385
384.2040, 141.0264
384.6861, 141.3340
385.1682, 142.3030
385.6503, 142.9859
386.1324, 143.1600
386.6146, 143.2759
387.0967, 143.2508
387.5788, 143.2608
388.0609, 143.5733
388.5430, 144.2989
389.0251, 145.2081
389.5073, 145.8461
389.9894, 146.1364
390.4715, 146.2935
390.9536, 146.0692
391.4357, 145.9321
391.9178, 146.2965
392.4000, 147.1197
392.8821, 147.9540
393.3642, 148.3395
393.8463, 148.2599
394.3284, 148.2800
394.8105, 148.6250
395.2927, 148.7988
395.7748, 148.5801
396.2569, 148.0952
396.7390, 147.5039
397.2211, 146.8168
397.7032, 146.2187
398.1854, 146.2681
398.6675, 147.3179
399.1496, 147.9418
399.6317, 147.2642
400.1138, 146.2998
400.5959, 145.7924
401.0781, 145.8695
401.5602, 146.1884
402.0423, 146.5144
402.5244, 146.8389
403.0065, 147.0543
403.4886, 147.0629
403.9708, 147.0838
404.4529, 147.3662
404.9350, 147.7938
405.4171, 148.0255
405.8992, 147.6617
406.3813, 147.1464
406.8635, 147.2748
407.3456, 148.1214
407.8277, 148.9335
408.3098, 149.3952
408.7919, 149.5613
409.2740, 149.5139
409.7562, 149.1577
410.2383, 148.8531
410.7204, 148.8149
411.2025, 149.0000
411.6846, 149.2739
412.1667, 149.5954
412.6489, 150.0239
413.1310, 150.6514
413.6131, 151.4695
414.0952, 152.3952
414.5773, 153.8037
415.0594, 155.0531
415.5416, 155.3151
416.0237, 154.6769
416.5058, 154.1527
416.9879, 154.4239
417.4700, 155.3539
417.9521, 156.1818
418.4343, 156.8174
418.9164, 157.4758
419.3985, 158.2352
419.8806, 159.0476
420.3627, 159.8044
420.8448, 160.4746
421.3270, 161.1837
421.8091, 162.1222
422.2912, 163.3513
422.7733, 164.6557
423.2554, 166.5013
423.7375, 168.0143
424.2197, 168.2702
424.7018, 167.6407
425.1839, 167.3949
425.6660, 168.5096
426.1481, 170.7297
426.6302, 172.3392
427.1124, 172.7239
427.5945, 173.1999
428.0766, 173.7984
428.5587, 174.6225
429.0408, 175.9237
429.5229, 177.7250
430.0051, 179.5612
430.4872, 180.7657
430.9693, 181.2219
431.4514, 181.5211
431.9335, 181.1953
432.4156, 181.1531
432.8978, 181.9287
433.3799, 183.3040
433.8620, 184.7052
434.3441, 185.7821
434.8262, 186.6270
435.3083, 187.4745
435.7905, 188.2893
436.2726, 189.1971
436.7547, 190.3074
437.2368, 191.5034
437.7189, 192.7201
438.2010, 193.9539
438.6832, 195.0932
439.1653, 195.9492
439.6474, 196.5916
440.1295, 197.4361
440.6116, 198.6159
441.0938, 199.8675
441.5759, 200.8741
442.0580, 201.7423
442.5401, 202.8375
443.0222, 204.4122
443.5043, 206.1490
443.9865, 207.8155
444.4686, 209.3924
444.9507, 210.7259
445.4328, 211.5847
445.9149, 212.3210
446.3970, 213.7919
446.8792, 216.2111
447.3613, 218.5786
447.8434, 220.6662
448.3255, 222.5373
448.8076, 224.1615
449.2897, 225.5696
449.7719, 227.0846
450.2540, 229.0409
450.7361, 231.4745
451.2182, 233.7722
451.7003, 236.0804
452.1824, 238.1215
452.6646, 239.6223
453.1467, 240.8355
453.6288, 242.1649
454.1109, 243.7913
454.5930, 245.5826
455.0751, 247.2903
455.5573, 248.8537
456.0394, 250.4481
456.5215, 252.0151
457.0036, 253.6528
457.4857, 255.5467
457.9678, 257.5901
458.4500, 259.4654
458.9321, 260.8983
459.4142, 261.9672
459.8963, 263.1833
460.3784, 264.7723
460.8605, 266.0887
461.3427, 266.8029
461.8248, 267.2978
462.3069, 268.0049
462.7890, 269.0313
463.2711, 269.9928
463.7532, 270.4362
464.2354, 270.3994
464.7175, 270.3648
465.1996, 270.3665
465.6817, 270.4101
466.1638, 270.5829
466.6459, 270.8028
467.1281, 270.8488
467.6102, 270.6105
468.0923, 270.1988
468.5744, 269.8292
469.0565, 269.4584
469.5386, 268.6642
470.0208, 267.2150
470.5029, 265.3342
470.9850, 263.4145
471.4671, 261.4745
471.9492, 259.4001
472.4313, 257.2063
472.9135, 254.8283
473.3956, 252.1470
473.8777, 249.1800
474.3598, 246.1118
474.8419, 243.1345
475.3240, 240.1938
475.8062, 236.7929
476.2883, 232.4411
476.7704, 228.2861
477.2525, 224.5172
477.7346, 221.0941
478.2167, 218.1473
478.6989, 215.6322
479.1810, 213.1099
479.6631, 209.9619
480.1452, 206.1051
480.6273, 202.1332
481.1094, 197.6196
481.5916, 193.4487
482.0737, 190.0975
482.5558, 187.2596
483.0379, 184.3587
483.5200, 181.0815
484.0021, 177.7156
484.4843, 174.8385
484.9664, 172.5393
485.4485, 170.2619
485.9306, 167.8421
486.4127, 165.4692
486.8948, 163.2992
487.3770, 161.3021
487.8591, 159.3263
488.3412, 157.2354
488.8233, 155.1299
489.3054, 153.2702
489.7875, 151.7025
490.2697, 150.0283
490.7518, 147.9149
491.2339, 145.6590
491.7160, 143.8128
492.1981, 142.4656
492.6802, 141.2920
493.1624, 140.2354
493.6445, 139.2516
494.1266, 138.3031
494.6087, 137.3764
495.0908, 136.3983
495.5729, 135.2711
496.0551, 134.0013
496.5372, 132.8842
497.0193, 132.0546
497.5014, 131.1993
497.9835, 130.1218
498.4656, 128.9924
498.9478, 128.0641
499.4299, 127.4151
499.9120, 126.9105
500.3941, 126.3843
500.8762, 125.8687
501.3583, 125.1836
501.8405, 124.1647
502.3226, 123.1445
502.8047, 122.2074
503.2868, 121.3604
503.7689, 120.6166
504.2510, 119.9795
504.7331, 119.4343
505.2152, 118.9782
505.6974, 118.6326
506.1795, 118.2239
506.6616, 117.5378
507.1437, 116.9611
507.6258, 116.9476
508.1079, 117.3666
508.5901, 117.4995
509.0722, 116.7700
509.5543, 115.6676
510.0364, 114.8914
510.5185, 114.4446
511.0006, 114.0957
511.4828, 113.7897
511.9649, 113.4720
512.4470, 112.9689
512.9291, 112.1343
513.4113, 111.6170
513.8934, 111.8680
514.3755, 112.3473
514.8576, 112.4898
515.3397, 112.2610
515.8218, 111.9639
516.3040, 111.8483
516.7861, 111.8481
517.2682, 111.4891
517.7503, 110.0543
518.2324, 109.1641
518.7145, 109.3522
519.1967, 109.9114
519.6788, 110.2023
520.1609, 110.1052
520.6430, 109.8648
521.1251, 109.6953
521.6072, 109.5970
522.0894, 109.6146
522.5715, 109.7872
523.0536, 110.0199
523.5357, 110.4517
524.0178, 110.8414
524.4999, 110.8370
524.9821, 110.3171
525.4642, 109.7487
525.9463, 109.5760
526.4284, 109.7253
526.9105, 109.8600
527.3926, 109.9260
527.8748, 110.0057
528.3569, 110.2479
528.8390, 110.5619
529.3211, 110.6301
529.8032, 110.2074
530.2853, 109.7762
530.7675, 109.4828
531.2496, 109.3866
531.7317, 109.7249
532.2138, 110.5750
532.6959, 111.4514
533.1780, 111.7093
533.6602, 111.1917
534.1423, 111.0377
534.6244, 111.4910
535.1065, 111.9788
535.5886, 112.3170
536.0707, 112.5391
536.5529, 112.7026
537.0350, 112.8317
537.5171, 112.9563
537.9992, 113.1194
538.4813, 113.3219
538.9634, 113.5535
539.4456, 113.7391
539.9277, 114.0453
540.4098, 114.6532
540.8919, 115.4168
541.3740, 116.0165
541.8561, 116.2388
542.3383, 116.4368
542.8204, 117.1940
543.3025, 118.4218
543.7846, 119.1861
544.2667, 119.0569
544.7488, 118.7932
545.2310, 119.3102
545.7131, 120.5154
546.1952, 121.6521
546.6773, 122.6358
547.1594, 123.4857
547.6415, 124.0458
548.1237, 124.4862
548.6058, 125.2851
549.0879, 126.6432
549.5700, 128.2215
550.0521, 129.4537
550.5342, 130.1949
551.0164, 131.0112
551.4985, 131.9810
551.9806, 132.9280
552.4627, 133.8082
552.9448, 134.6082
553.4269, 135.3038
553.9091, 135.8764
554.3912, 136.4102
554.8733, 137.0948
555.3554, 137.9813
555.8375, 138.6753
556.3196, 139.0508
556.8018, 139.2988
557.2839, 139.3586
557.7660, 139.3877
558.2481, 139.8687
558.7302, 141.3864
559.2123, 142.9293
559.6945, 143.3187
560.1766, 142.7856
560.6587, 142.3670
561.1408, 142.3992
561.6229, 142.5753
562.1050, 142.5358
562.5872, 142.2529
563.0693, 141.8685
563.5514, 141.2162
564.0335, 140.6334
564.5156, 140.5163
564.9977, 140.5469
565.4799, 140.0713
565.9620, 138.8406
566.4441, 137.3082
566.9262, 136.2086
567.4083, 135.6696
567.8904, 135.0437
568.3726, 134.4477
568.8547, 133.6263
569.3368, 132.3792
569.8189, 130.8732
570.3010, 129.3777
570.7831, 127.9725
571.2653, 126.6292
571.7474, 125.2337
572.2295, 123.8266
572.7116, 122.7409
573.1937, 122.1352
573.6758, 121.6042
574.1580, 120.7005
574.6401, 119.5755
575.1222, 118.8306
575.6043, 118.9497
576.0864, 118.9745
576.5685, 118.4134
577.0507, 117.4546
577.5328, 116.3204
578.0149, 115.0882
578.4970, 113.9458
578.9791, 113.1129
579.4612, 112.6044
579.9434, 112.0387
580.4255, 111.2008
580.9076, 110.5641
581.3897, 110.3853
581.8718, 110.3582
582.3539, 110.0971
582.8361, 109.5387
583.3182, 109.0161
583.8003, 108.9478
584.2824, 109.2507
584.7645, 109.2969
585.2466, 109.0252
585.7288, 108.6573
586.2108, 108.1775
586.6929, 107.7236
587.1750, 107.5376
587.6572, 107.7047
588.1393, 107.8365
588.6214, 107.7627
589.1035, 107.5486
589.5856, 107.0879
590.0677, 107.0119
590.5499, 106.8947
591.0320, 106.7397
591.5141, 106.3757
591.9962, 106.3255
592.4783, 106.1765
592.9604, 106.0418
593.4426, 106.0906
593.9247, 105.8559
594.4068, 105.9405
594.8889, 105.9245
595.3710, 106.0032
595.8531, 105.6701
596.3353, 104.9224
596.8174, 104.9692
597.2995, 104.9618
597.7816, 104.9035
598.2637, 104.6233
598.7458, 104.6437
599.2280, 104.5522
599.7101, 104.4621
600.1922, 104.5425
600.6743, 104.3262
601.1564, 104.4162
601.6385, 104.3926
602.1207, 104.4299
602.6028, 104.3547
603.0849, 104.3223
603.5670, 104.4148
604.0491, 104.4478
604.5313, 104.3835
605.0134, 104.4612
605.4955, 104.3023
605.9776, 104.3627
606.4597, 104.5211
606.9418, 104.4935
607.4240, 104.6042
607.9061, 104.6708
608.3882, 104.5148
