##NAMES=Walpurgite
##RRUFFID=R050573
##IDEAL CHEMISTRY=Bi^3+^_4_O_4_(U^6+^O_2_)(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Joachimstal, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow thin tabular crystals associated with metazeunerite, R060301
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050573
450.7600, 64.56360
451.2421, 64.60130
451.7242, 64.72931
452.2063, 64.94505
452.6884, 65.26484
453.1706, 65.61974
453.6527, 65.84801
454.1348, 65.93935
454.6169, 65.93372
455.0990, 65.65703
455.5811, 65.40921
456.0633, 65.46189
456.5454, 65.82040
457.0275, 66.15942
457.5096, 66.15202
457.9917, 65.92413
458.4738, 65.95238
458.9560, 66.33221
459.4381, 66.78265
459.9202, 67.23473
460.4023, 67.60801
460.8844, 67.69556
461.3665, 67.21795
461.8487, 66.79595
462.3308, 67.01104
462.8129, 67.69019
463.2950, 68.23701
463.7771, 68.46890
464.2592, 68.47939
464.7414, 68.31355
465.2235, 67.90252
465.7056, 67.79868
466.1877, 68.25096
466.6698, 68.89065
467.1519, 69.53197
467.6341, 70.11381
468.1162, 70.47794
468.5983, 70.49169
469.0804, 70.25483
469.5625, 70.22546
470.0446, 70.52747
470.5268, 70.88867
471.0089, 71.30866
471.4910, 71.76878
471.9731, 72.27644
472.4552, 72.81901
472.9373, 73.34163
473.4195, 73.80714
473.9016, 74.22747
474.3837, 74.41325
474.8658, 73.93068
475.3479, 73.69608
475.8300, 74.16290
476.3122, 74.97077
476.7943, 75.58450
477.2764, 75.76509
477.7585, 75.78897
478.2406, 76.12317
478.7227, 76.81528
479.2049, 77.37420
479.6870, 77.68446
480.1691, 77.85603
480.6512, 77.85425
481.1333, 77.75224
481.6154, 77.87222
482.0976, 78.46402
482.5797, 79.32900
483.0618, 80.21379
483.5439, 81.11962
484.0260, 81.91591
484.5081, 82.50586
484.9902, 82.96964
485.4724, 83.45674
485.9545, 83.89961
486.4366, 84.54700
486.9187, 85.62229
487.4008, 86.89488
487.8829, 88.04323
488.3651, 89.02432
488.8472, 90.01076
489.3293, 91.16796
489.8114, 92.49960
490.2935, 93.63879
490.7756, 94.21706
491.2578, 95.06353
491.7399, 96.46898
492.2220, 98.25175
492.7041, 100.2039
493.1862, 102.2399
493.6683, 104.3329
494.1505, 106.4521
494.6326, 108.6042
495.1147, 110.7326
495.5968, 112.7376
496.0789, 114.8046
496.5610, 117.0740
497.0432, 119.4431
497.5253, 121.7217
498.0074, 123.7739
498.4895, 125.7323
498.9716, 127.8635
499.4537, 130.2133
499.9359, 132.4653
500.4180, 134.5755
500.9001, 136.5512
501.3822, 138.3346
501.8643, 139.9589
502.3464, 141.6428
502.8286, 143.6369
503.3107, 145.6997
503.7928, 147.4617
504.2749, 148.9077
504.7570, 150.2987
505.2391, 151.7948
505.7213, 153.3100
506.2034, 154.5925
506.6855, 155.6160
507.1676, 156.5112
507.6497, 157.4163
508.1318, 158.1565
508.6140, 158.5262
509.0961, 158.5014
509.5782, 158.1780
510.0603, 157.6329
510.5424, 156.8684
511.0245, 155.8928
511.5067, 154.8716
511.9888, 153.4356
512.4709, 151.4591
512.9530, 149.0634
513.4351, 146.3806
513.9172, 143.4395
514.3994, 140.1880
514.8815, 136.4761
515.3636, 132.2443
515.8457, 128.1771
516.3278, 124.3568
516.8099, 120.5761
517.2921, 116.6056
517.7742, 112.6675
518.2563, 109.1648
518.7384, 106.3038
519.2205, 103.6024
519.7026, 100.4442
520.1848, 96.91007
520.6669, 93.63163
521.1490, 90.75782
521.6311, 88.13243
522.1132, 85.59914
522.5953, 83.17445
523.0775, 81.11846
523.5596, 79.70615
524.0417, 78.48017
524.5238, 77.14300
525.0059, 75.74161
525.4880, 74.43082
525.9702, 73.28765
526.4523, 72.20255
526.9344, 70.94296
527.4165, 69.30737
527.8986, 68.07831
528.3807, 67.54953
528.8629, 67.11481
529.3450, 66.44939
529.8271, 65.60799
530.3092, 64.78213
530.7913, 64.07770
531.2734, 63.46645
531.7556, 62.86568
532.2377, 62.24375
532.7198, 61.72770
533.2019, 61.46585
533.6840, 61.21010
534.1661, 60.80822
534.6483, 60.27832
535.1304, 59.73810
535.6125, 59.22004
536.0946, 58.75188
536.5767, 58.40706
537.0588, 58.19227
537.5410, 57.95090
538.0231, 57.59687
538.5052, 57.21083
538.9873, 56.92141
539.4694, 56.73270
539.9515, 56.57385
540.4337, 56.40247
540.9158, 56.26618
541.3979, 56.27504
541.8800, 56.38992
542.3621, 56.40031
542.8442, 56.17081
543.3264, 55.75566
543.8085, 55.33693
544.2906, 54.87822
544.7726, 54.47325
545.2548, 54.12692
545.7369, 53.83165
546.2190, 53.56181
546.7011, 53.33377
547.1832, 53.22080
547.6653, 53.31701
548.1475, 53.53816
548.6296, 53.50825
549.1117, 53.08407
549.5938, 52.78673
550.0759, 52.92218
550.5580, 53.14090
551.0402, 53.19776
551.5223, 53.07190
552.0044, 52.85727
552.4865, 52.53306
552.9686, 52.18212
553.4507, 51.98481
553.9329, 51.94910
554.4150, 51.85406
554.8971, 51.52597
555.3792, 51.10894
555.8613, 51.02535
556.3434, 51.49052
556.8256, 51.68726
557.3077, 51.17826
557.7898, 50.52930
558.2719, 50.29372
558.7540, 50.45205
559.2361, 50.61229
559.7183, 50.48002
560.2004, 50.17665
560.6825, 50.26277
561.1646, 51.29251
561.6467, 51.74323
562.1288, 51.06776
562.6110, 50.15940
563.0931, 49.60329
563.5752, 49.43319
564.0573, 49.38930
564.5394, 49.31672
565.0215, 49.22798
565.5037, 49.14181
