##NAMES=Tausonite
##RRUFFID=X090004
##IDEAL CHEMISTRY=SrTi^4+^O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless stone, cell parameters indicate a disordered structure
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090004
486.2662, 320.0682
486.7484, 317.6212
487.2305, 315.1148
487.7126, 312.7819
488.1947, 310.8947
488.6768, 309.4014
489.1589, 307.4460
489.6411, 304.5332
490.1232, 301.9403
490.6053, 300.2906
491.0874, 299.0202
491.5695, 297.4995
492.0516, 295.5504
492.5338, 293.4312
493.0159, 291.3790
493.4980, 289.3868
493.9801, 287.4652
494.4622, 285.6429
494.9443, 283.8475
495.4265, 282.1003
495.9086, 280.3477
496.3907, 278.4275
496.8728, 276.1449
497.3549, 273.8141
497.8370, 271.6576
498.3192, 269.6738
498.8013, 267.8370
499.2834, 266.1218
499.7655, 264.6221
500.2476, 263.6097
500.7297, 263.4231
501.2119, 262.4597
501.6940, 259.8012
502.1761, 257.0064
502.6582, 255.1740
503.1403, 254.2020
503.6224, 253.4816
504.1045, 252.6784
504.5866, 251.7153
505.0688, 250.3003
505.5509, 248.1401
506.0330, 245.9547
506.5151, 243.3568
506.9972, 241.0599
507.4793, 239.7826
507.9615, 239.4239
508.4436, 239.1918
508.9257, 238.4897
509.4078, 237.3426
509.8899, 235.8739
510.3720, 233.8681
510.8542, 232.0033
511.3363, 230.5115
511.8184, 229.2906
512.3005, 228.3833
512.7827, 227.8400
513.2648, 227.0946
513.7469, 225.4580
514.2290, 223.2847
514.7111, 221.6526
515.1932, 220.7749
515.6754, 220.0540
516.1575, 219.0727
516.6396, 217.8656
517.1217, 216.6521
517.6038, 215.4883
518.0859, 214.2674
518.5681, 212.7160
519.0502, 211.1330
519.5323, 210.1682
520.0144, 209.9876
520.4965, 209.9242
520.9786, 209.1100
521.4608, 207.3379
521.9429, 206.0789
522.4250, 205.5901
522.9071, 205.2318
523.3892, 204.9366
523.8713, 204.5790
524.3535, 203.9567
524.8356, 202.9946
525.3177, 201.8992
525.7998, 201.0121
526.2819, 200.3550
526.7640, 199.8126
527.2462, 199.6476
527.7283, 199.3072
528.2104, 198.3686
528.6925, 197.0645
529.1746, 195.9516
529.6567, 195.3652
530.1389, 194.9190
530.6210, 194.0295
531.1031, 192.7301
531.5852, 191.6164
532.0673, 190.8999
532.5494, 190.3708
533.0316, 189.7880
533.5137, 189.1591
533.9958, 188.5416
534.4779, 187.9167
534.9600, 187.3338
535.4421, 186.8356
535.9243, 186.4115
536.4064, 186.0154
536.8885, 185.6299
537.3706, 185.2522
537.8527, 184.8940
538.3348, 184.6872
538.8170, 184.2069
539.2991, 183.2611
539.7812, 182.2398
540.2633, 181.1825
540.7454, 180.2371
541.2275, 179.7318
541.7097, 179.9265
542.1918, 180.4930
542.6739, 180.5353
543.1560, 179.8716
543.6381, 179.2663
544.1202, 179.0286
544.6024, 178.7601
545.0845, 178.0881
545.5666, 177.0998
546.0487, 176.3165
546.5308, 176.0011
547.0129, 176.0573
547.4951, 176.5249
547.9772, 177.3863
548.4593, 177.8933
548.9414, 177.6788
549.4235, 177.0092
549.9056, 176.2753
550.3878, 175.4314
550.8699, 174.7756
551.3520, 174.4395
551.8341, 174.2606
552.3162, 174.0746
552.7983, 173.9146
553.2805, 173.9860
553.7626, 174.4385
554.2447, 175.0790
554.7268, 175.3380
555.2089, 174.9676
555.6910, 174.6411
556.1732, 174.2807
556.6553, 174.0439
557.1374, 174.1149
557.6195, 174.4054
558.1016, 174.6264
558.5837, 174.5617
559.0659, 174.3629
559.5480, 174.3940
560.0301, 174.6825
560.5122, 175.0452
560.9943, 175.5209
561.4764, 175.9636
561.9586, 176.2221
562.4407, 176.3052
562.9228, 176.3666
563.4049, 176.3744
563.8870, 176.4496
564.3691, 176.8087
564.8513, 177.3887
565.3334, 177.7990
565.8155, 177.8080
566.2976, 177.7202
566.7797, 178.1413
567.2618, 179.4054
567.7440, 180.4198
568.2261, 181.0647
568.7082, 181.5661
569.1903, 181.9778
569.6724, 182.3579
570.1545, 182.7852
570.6367, 183.2942
571.1188, 183.9145
571.6009, 184.7474
572.0830, 185.8958
572.5651, 186.8850
573.0472, 187.6009
573.5294, 188.1971
574.0115, 188.6740
574.4936, 189.0992
574.9757, 189.6222
575.4578, 190.2280
575.9399, 191.0625
576.4221, 192.3447
576.9042, 194.0246
577.3863, 195.9237
577.8684, 198.0981
578.3505, 200.1396
578.8326, 201.4497
579.3148, 201.9574
579.7969, 202.8600
580.2790, 204.6250
580.7611, 206.3326
581.2432, 207.1777
581.7253, 207.7655
582.2075, 209.2812
582.6896, 212.0826
583.1717, 215.3016
583.6538, 217.6381
584.1359, 218.8724
584.6180, 220.8077
585.1002, 224.2428
585.5823, 227.4666
586.0643, 229.6763
586.5464, 231.4756
587.0286, 233.7551
587.5107, 236.8151
587.9928, 239.8755
588.4749, 242.0349
588.9570, 243.5511
589.4391, 245.3863
589.9213, 247.6327
590.4034, 250.3062
