##NAMES=Ferronigerite-2N1S
##RRUFFID=R120083
##IDEAL CHEMISTRY=(Al,Fe^3+^,Zn^2+^)_2_(Al,Sn^4+^)_6_O_11_(OH)
##LOCALITY=Seixoso quarry, Lixa, Portugal
##OWNER=RRUFF
##SOURCE=Robert Jenkins
##DESCRIPTION=Dark reddish-brown hexagonal tablets, frozen in matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120083
2.429882e+002, 1.426671e+003
2.434703e+002, 1.419654e+003
2.439524e+002, 1.412071e+003
2.444345e+002, 1.405006e+003
2.449166e+002, 1.399091e+003
2.453987e+002, 1.394163e+003
2.458809e+002, 1.389595e+003
2.463630e+002, 1.385394e+003
2.468451e+002, 1.381615e+003
2.473272e+002, 1.377859e+003
2.478093e+002, 1.374593e+003
2.482914e+002, 1.372698e+003
2.487736e+002, 1.372755e+003
2.492557e+002, 1.374084e+003
2.497378e+002, 1.373854e+003
2.502199e+002, 1.369859e+003
2.507020e+002, 1.367009e+003
2.511841e+002, 1.366253e+003
2.516663e+002, 1.366860e+003
2.521484e+002, 1.368041e+003
2.526305e+002, 1.369427e+003
2.531126e+002, 1.370997e+003
2.535947e+002, 1.372731e+003
2.540768e+002, 1.375069e+003
2.545590e+002, 1.377010e+003
2.550411e+002, 1.377897e+003
2.555232e+002, 1.378596e+003
2.560053e+002, 1.380120e+003
2.564874e+002, 1.382890e+003
2.569695e+002, 1.386515e+003
2.574517e+002, 1.390037e+003
2.579338e+002, 1.391817e+003
2.584159e+002, 1.395638e+003
2.588980e+002, 1.403278e+003
2.593801e+002, 1.412214e+003
2.598622e+002, 1.419520e+003
2.603444e+002, 1.424222e+003
2.608265e+002, 1.428079e+003
2.613086e+002, 1.434461e+003
2.617907e+002, 1.446236e+003
2.622728e+002, 1.456128e+003
2.627549e+002, 1.463323e+003
2.632371e+002, 1.468982e+003
2.637192e+002, 1.474199e+003
2.642013e+002, 1.479286e+003
2.646834e+002, 1.483826e+003
2.651655e+002, 1.487134e+003
2.656476e+002, 1.488622e+003
2.661298e+002, 1.490131e+003
2.666119e+002, 1.492689e+003
2.670940e+002, 1.494753e+003
2.675761e+002, 1.494905e+003
2.680582e+002, 1.492873e+003
2.685403e+002, 1.489278e+003
2.690225e+002, 1.484854e+003
2.695046e+002, 1.479612e+003
2.699867e+002, 1.472774e+003
2.704688e+002, 1.463354e+003
2.709509e+002, 1.452959e+003
2.714330e+002, 1.443166e+003
2.719152e+002, 1.434132e+003
2.723973e+002, 1.424504e+003
2.728794e+002, 1.412840e+003
2.733615e+002, 1.398906e+003
2.738436e+002, 1.385633e+003
2.743257e+002, 1.373314e+003
2.748079e+002, 1.361408e+003
2.752900e+002, 1.349537e+003
2.757721e+002, 1.337657e+003
2.762542e+002, 1.326206e+003
2.767363e+002, 1.315240e+003
2.772184e+002, 1.305063e+003
2.777006e+002, 1.296195e+003
2.781827e+002, 1.288835e+003
2.786648e+002, 1.282696e+003
2.791469e+002, 1.278217e+003
2.796290e+002, 1.275174e+003
2.801111e+002, 1.271859e+003
2.805933e+002, 1.267151e+003
2.810754e+002, 1.261409e+003
2.815575e+002, 1.256052e+003
2.820396e+002, 1.251223e+003
2.825217e+002, 1.246618e+003
