##NAMES=Glaucophane
##RRUFFID=R120002
##IDEAL CHEMISTRY=[box]Na_2_(Mg_3_Al_2_)Si_8_O_22_(OH)_2_
##LOCALITY=Cape Marmari, Grammata Bay, Syros Island, Aegean Sea, Greece
##OWNER=RRUFF
##SOURCE=Gunnar Farber
##DESCRIPTION=Dark green bladed, associated with colorless quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120002
2.278954e+002, 1.458435e+003
2.283775e+002, 1.464233e+003
2.288597e+002, 1.468223e+003
2.293418e+002, 1.470044e+003
2.298239e+002, 1.469952e+003
2.303060e+002, 1.467037e+003
2.307881e+002, 1.460727e+003
2.312702e+002, 1.451430e+003
2.317524e+002, 1.441261e+003
2.322345e+002, 1.429887e+003
2.327166e+002, 1.418224e+003
2.331987e+002, 1.406893e+003
2.336808e+002, 1.395889e+003
2.341629e+002, 1.385170e+003
2.346451e+002, 1.374483e+003
2.351272e+002, 1.363997e+003
2.356093e+002, 1.354268e+003
2.360914e+002, 1.345285e+003
2.365735e+002, 1.337077e+003
2.370556e+002, 1.329675e+003
2.375378e+002, 1.323144e+003
2.380199e+002, 1.317314e+003
2.385020e+002, 1.312141e+003
2.389841e+002, 1.307671e+003
2.394662e+002, 1.304435e+003
2.399483e+002, 1.303542e+003
2.404305e+002, 1.302444e+003
2.409126e+002, 1.299493e+003
2.413947e+002, 1.292914e+003
2.418768e+002, 1.288551e+003
2.423589e+002, 1.287455e+003
2.428410e+002, 1.288716e+003
2.433232e+002, 1.288954e+003
2.438053e+002, 1.287011e+003
2.442874e+002, 1.285625e+003
2.447695e+002, 1.286470e+003
2.452516e+002, 1.291364e+003
2.457337e+002, 1.294179e+003
2.462159e+002, 1.293376e+003
2.466980e+002, 1.290506e+003
2.471801e+002, 1.290829e+003
2.476622e+002, 1.296240e+003
2.481443e+002, 1.301932e+003
2.486264e+002, 1.305431e+003
2.491086e+002, 1.305437e+003
2.495907e+002, 1.306530e+003
2.500728e+002, 1.309615e+003
2.505549e+002, 1.313609e+003
2.510370e+002, 1.315374e+003
2.515191e+002, 1.313417e+003
2.520013e+002, 1.311651e+003
2.524834e+002, 1.311905e+003
2.529655e+002, 1.315053e+003
2.534476e+002, 1.318104e+003
2.539297e+002, 1.321604e+003
2.544118e+002, 1.324783e+003
2.548940e+002, 1.325705e+003
2.553761e+002, 1.323072e+003
2.558582e+002, 1.320470e+003
2.563403e+002, 1.319658e+003
2.568224e+002, 1.321665e+003
2.573046e+002, 1.321883e+003
2.577867e+002, 1.319624e+003
2.582688e+002, 1.315976e+003
2.587509e+002, 1.313146e+003
2.592330e+002, 1.311717e+003
2.597151e+002, 1.309919e+003
2.601973e+002, 1.306849e+003
2.606794e+002, 1.302104e+003
2.611615e+002, 1.298183e+003
2.616436e+002, 1.295465e+003
2.621257e+002, 1.293300e+003
2.626078e+002, 1.290424e+003
2.630900e+002, 1.286276e+003
2.635721e+002, 1.282923e+003
2.640542e+002, 1.281448e+003
2.645363e+002, 1.282297e+003
2.650184e+002, 1.282005e+003
2.655005e+002, 1.280142e+003
2.659827e+002, 1.277700e+003
2.664648e+002, 1.276049e+003
2.669469e+002, 1.275357e+003
2.674290e+002, 1.275043e+003
2.679111e+002, 1.275120e+003
2.683932e+002, 1.275645e+003
2.688754e+002, 1.275202e+003
2.693575e+002, 1.273252e+003
2.698396e+002, 1.271106e+003
2.703217e+002, 1.270670e+003
2.708038e+002, 1.272436e+003
2.712859e+002, 1.273875e+003
2.717681e+002, 1.274133e+003
2.722502e+002, 1.273246e+003
2.727323e+002, 1.272749e+003
2.732144e+002, 1.272686e+003
2.736965e+002, 1.272922e+003
2.741786e+002, 1.273330e+003
2.746608e+002, 1.273911e+003
2.751429e+002, 1.274721e+003
2.756250e+002, 1.275939e+003
2.761071e+002, 1.277449e+003
2.765892e+002, 1.278230e+003
2.770714e+002, 1.278067e+003
2.775535e+002, 1.277767e+003
2.780356e+002, 1.278272e+003
2.785177e+002, 1.279709e+003
2.789998e+002, 1.280539e+003
2.794819e+002, 1.280360e+003
2.799641e+002, 1.279343e+003
2.804462e+002, 1.278079e+003
2.809283e+002, 1.276429e+003
2.814104e+002, 1.275084e+003
2.818925e+002, 1.274811e+003
2.823746e+002, 1.275634e+003
2.828568e+002, 1.276139e+003
2.833389e+002, 1.276014e+003
2.838210e+002, 1.275539e+003
2.843031e+002, 1.275536e+003
2.847852e+002, 1.276092e+003
2.852673e+002, 1.276672e+003
2.857495e+002, 1.276626e+003
2.862316e+002, 1.276082e+003
2.867137e+002, 1.276629e+003
2.871958e+002, 1.278828e+003
2.876779e+002, 1.281715e+003
2.881600e+002, 1.283136e+003
2.886422e+002, 1.283066e+003
