##NAMES=Mottramite
##RRUFFID=R120112
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^V^5+^O_4_(OH)
##LOCALITY=Copperopolis, Yavapai County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Ruiz
##DESCRIPTION=Radial sprays of yellow transparent needles, variety duhamelite; associated with goethite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120112
2.911998e+002, 8.888893e+002
2.916819e+002, 8.940906e+002
2.921641e+002, 8.983405e+002
2.926462e+002, 9.025612e+002
2.931283e+002, 9.082017e+002
2.936104e+002, 9.150419e+002
2.940925e+002, 9.210797e+002
2.945746e+002, 9.250667e+002
2.950568e+002, 9.277691e+002
2.955389e+002, 9.306559e+002
2.960210e+002, 9.338966e+002
2.965031e+002, 9.373135e+002
2.969852e+002, 9.409861e+002
2.974673e+002, 9.447685e+002
2.979495e+002, 9.482186e+002
2.984316e+002, 9.513295e+002
2.989137e+002, 9.539623e+002
2.993958e+002, 9.558445e+002
2.998779e+002, 9.569109e+002
3.003600e+002, 9.575101e+002
3.008422e+002, 9.578239e+002
3.013243e+002, 9.578143e+002
3.018064e+002, 9.573084e+002
3.022885e+002, 9.558973e+002
3.027706e+002, 9.543245e+002
3.032527e+002, 9.535662e+002
3.037349e+002, 9.536863e+002
3.042170e+002, 9.536898e+002
3.046991e+002, 9.532988e+002
3.051812e+002, 9.523914e+002
3.056633e+002, 9.507183e+002
3.061454e+002, 9.480040e+002
3.066276e+002, 9.451317e+002
3.071097e+002, 9.427007e+002
3.075918e+002, 9.407234e+002
3.080739e+002, 9.395173e+002
3.085560e+002, 9.403760e+002
3.090381e+002, 9.409434e+002
3.095203e+002, 9.383271e+002
3.100024e+002, 9.321562e+002
3.104845e+002, 9.257768e+002
3.109666e+002, 9.211992e+002
3.114487e+002, 9.182648e+002
3.119308e+002, 9.165535e+002
3.124130e+002, 9.170286e+002
3.128951e+002, 9.171660e+002
3.133772e+002, 9.142145e+002
3.138593e+002, 9.086286e+002
3.143414e+002, 9.034367e+002
3.148235e+002, 9.001837e+002
3.153057e+002, 8.984242e+002
3.157878e+002, 8.971931e+002
3.162699e+002, 8.967926e+002
3.167520e+002, 8.960172e+002
3.172341e+002, 8.935818e+002
3.177162e+002, 8.901212e+002
3.181984e+002, 8.869633e+002
3.186805e+002, 8.849639e+002
3.191626e+002, 8.833824e+002
3.196447e+002, 8.809145e+002
3.201268e+002, 8.773660e+002
3.206089e+002, 8.739220e+002
3.210911e+002, 8.709575e+002
3.215732e+002, 8.686090e+002
3.220553e+002, 8.673929e+002
3.225374e+002, 8.682034e+002
3.230195e+002, 8.688671e+002
3.235016e+002, 8.667028e+002
3.239838e+002, 8.616718e+002
3.244659e+002, 8.569795e+002
3.249480e+002, 8.540623e+002
3.254301e+002, 8.519800e+002
3.259122e+002, 8.493256e+002
3.263943e+002, 8.457429e+002
3.268765e+002, 8.429639e+002
3.273586e+002, 8.430475e+002
3.278407e+002, 8.453561e+002
3.283228e+002, 8.463038e+002
3.288049e+002, 8.448347e+002
3.292870e+002, 8.420055e+002
3.297692e+002, 8.385779e+002
3.302513e+002, 8.346418e+002
3.307334e+002, 8.313242e+002
3.312155e+002, 8.296956e+002
3.316976e+002, 8.290399e+002
3.321797e+002, 8.276623e+002
3.326619e+002, 8.252635e+002
3.331440e+002, 8.224852e+002
3.336261e+002, 8.194537e+002
3.341082e+002, 8.164041e+002
3.345903e+002, 8.140016e+002
3.350724e+002, 8.127766e+002
3.355546e+002, 8.121619e+002
3.360367e+002, 8.118058e+002
3.365188e+002, 8.118224e+002
3.370009e+002, 8.108168e+002
3.374830e+002, 8.071211e+002
3.379651e+002, 8.021027e+002
3.384473e+002, 7.983201e+002
