##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
227.8472, 275.3499
228.3293, 274.8334
228.8114, 275.1538
229.2935, 276.5280
229.7757, 278.0495
230.2578, 279.6847
230.7399, 281.4596
231.2220, 283.4634
231.7041, 285.7114
232.1862, 288.1337
232.6684, 290.7321
233.1505, 293.5724
233.6326, 296.3721
234.1147, 299.1605
234.5968, 301.8949
235.0789, 304.5288
235.5611, 307.4834
236.0432, 309.6547
236.5253, 310.7028
237.0074, 310.5396
237.4895, 309.4821
237.9716, 307.2871
238.4538, 304.3518
238.9359, 301.2864
239.4180, 297.9549
239.9001, 294.6493
240.3822, 291.2905
240.8643, 287.6784
241.3465, 285.1570
241.8286, 284.2672
242.3107, 284.0843
242.7928, 283.2668
243.2749, 281.3959
243.7570, 279.6029
244.2392, 278.1686
244.7213, 277.1075
245.2034, 276.2797
245.6855, 275.5976
246.1676, 275.2134
246.6497, 275.3697
247.1319, 276.3615
247.6140, 277.3645
248.0961, 278.1695
248.5782, 278.7523
249.0603, 279.4148
249.5424, 280.1536
250.0246, 280.9864
250.5067, 281.9929
250.9888, 283.4039
251.4709, 284.5216
251.9530, 285.0555
252.4351, 284.9595
252.9173, 285.3236
253.3994, 286.2526
253.8815, 287.5084
254.3636, 288.9087
254.8457, 290.5462
255.3278, 292.0598
255.8100, 293.2946
256.2921, 294.2679
256.7742, 295.5767
257.2563, 297.3807
257.7384, 299.3003
258.2205, 300.9738
258.7026, 302.2951
259.1848, 303.6883
259.6669, 305.2661
260.1490, 307.0014
260.6311, 308.5384
261.1132, 309.9303
261.5953, 311.0499
262.0775, 311.7477
262.5596, 311.9101
263.0417, 312.0460
263.5238, 312.3809
264.0059, 312.7380
264.4880, 312.1745
264.9702, 310.3785
265.4523, 308.2594
265.9344, 306.3837
266.4165, 304.7982
266.8986, 303.1978
267.3807, 301.4757
267.8629, 299.7386
268.3450, 298.2718
268.8271, 296.9987
269.3092, 296.1557
269.7913, 295.9927
270.2734, 296.7144
270.7556, 297.0956
271.2377, 296.9052
271.7198, 296.5049
272.2019, 296.8607
272.6840, 298.2385
273.1661, 299.4833
273.6483, 299.9348
274.1304, 299.4615
274.6125, 299.3094
275.0946, 299.6067
275.5767, 300.0696
276.0588, 300.2310
276.5410, 300.0773
277.0231, 299.6472
277.5052, 298.8394
277.9873, 297.6337
278.4694, 296.7160
278.9515, 296.1555
279.4337, 295.7152
279.9158, 295.0318
280.3979, 294.0768
280.8800, 293.1943
281.3621, 292.6972
281.8442, 292.4831
282.3264, 291.4534
282.8085, 289.4596
283.2906, 287.1859
283.7727, 285.3867
284.2548, 284.0692
284.7369, 282.9179
285.2191, 281.8638
285.7012, 280.9116
286.1833, 279.9873
286.6654, 279.0670
287.1475, 278.3354
287.6296, 278.1344
288.1118, 278.3946
288.5939, 278.3784
289.0760, 277.7515
289.5581, 276.8600
290.0402, 276.6681
290.5223, 277.1956
291.0045, 277.7573
291.4866, 277.6528
291.9687, 277.0663
292.4508, 276.9276
292.9329, 277.5296
293.4150, 278.4563
293.8972, 279.0011
294.3793, 279.1939
294.8614, 279.3540
