##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y^3+^,Ca,Ce^3+^,U^4+^,Th^4+^)(Nb^5+^,Ta^5+^,Ti^4+^)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
311.2180, 8537.832
311.7001, 8553.881
312.1822, 8572.655
312.6643, 8590.727
313.1464, 8606.150
313.6285, 8621.384
314.1107, 8638.583
314.5928, 8658.278
315.0749, 8679.317
315.5570, 8700.146
316.0391, 8720.779
316.5212, 8740.946
317.0034, 8761.547
317.4855, 8781.083
317.9676, 8798.696
318.4497, 8814.309
318.9318, 8828.254
319.4139, 8839.653
319.8961, 8847.832
320.3782, 8860.279
320.8603, 8882.969
321.3424, 8904.512
321.8245, 8920.167
322.3066, 8931.112
322.7888, 8940.997
323.2709, 8952.124
323.7530, 8964.390
324.2351, 8976.649
324.7172, 8989.123
325.1993, 9001.295
325.6815, 9013.762
326.1636, 9025.709
326.6457, 9035.748
327.1278, 9042.722
327.6099, 9048.415
328.0920, 9057.591
328.5742, 9072.295
329.0563, 9086.050
329.5384, 9098.837
330.0205, 9109.363
330.5026, 9115.046
330.9847, 9115.230
331.4669, 9114.756
331.9490, 9121.504
332.4311, 9137.885
332.9132, 9150.967
333.3953, 9154.718
333.8774, 9157.772
334.3596, 9164.828
334.8417, 9176.098
335.3238, 9188.745
335.8059, 9201.028
336.2880, 9213.035
336.7701, 9221.691
337.2523, 9221.263
337.7344, 9224.043
338.2165, 9237.978
338.6986, 9259.328
339.1807, 9279.337
339.6628, 9292.462
340.1450, 9300.154
340.6271, 9307.721
341.1092, 9314.544
341.5913, 9322.396
342.0735, 9331.401
342.5556, 9341.826
343.0377, 9354.535
343.5198, 9370.353
344.0019, 9387.077
344.4840, 9400.897
344.9662, 9411.306
345.4483, 9421.465
345.9304, 9433.293
346.4125, 9444.650
346.8946, 9453.073
347.3767, 9458.280
347.8589, 9463.920
348.3410, 9473.809
348.8231, 9487.875
349.3052, 9502.068
349.7873, 9517.361
350.2694, 9530.795
350.7516, 9540.066
351.2337, 9545.771
351.7158, 9550.372
352.1979, 9554.248
352.6800, 9558.085
353.1621, 9564.813
353.6443, 9576.316
354.1264, 9586.457
354.6085, 9589.748
355.0906, 9589.762
355.5727, 9592.095
356.0548, 9599.365
356.5370, 9608.879
357.0191, 9617.112
357.5012, 9623.927
357.9833, 9631.003
358.4654, 9639.851
358.9475, 9648.846
359.4297, 9656.294
359.9118, 9662.197
360.3939, 9666.031
