##NAMES=Diamond
##RRUFFID=R050204
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050204
652.6160, 5710.000
653.9220, 5730.000
655.2280, 5784.000
656.5340, 5709.000
657.8390, 5790.000
659.1440, 5812.000
660.4490, 5717.000
661.7540, 5794.000
663.0580, 5767.000
664.3620, 5874.000
665.6660, 5816.000
666.9700, 5766.000
668.2740, 5761.000
669.5770, 5761.000
670.8810, 5758.000
672.1840, 5821.000
673.4870, 5747.000
674.7890, 5784.000
676.0920, 5754.000
677.3940, 5875.000
678.6960, 5827.000
679.9970, 5714.000
681.2990, 5866.000
682.6000, 5784.000
683.9010, 5877.000
685.2020, 5932.000
686.5030, 5744.000
687.8040, 5918.000
689.1040, 5875.000
690.4040, 5869.000
691.7040, 5880.000
693.0040, 5856.580
694.3030, 5900.000
695.6020, 5877.000
696.9010, 5859.000
698.2000, 5942.000
699.4990, 5880.000
700.7970, 5915.000
702.0950, 5902.000
703.3930, 5938.000
704.6910, 5957.000
705.9890, 5891.000
707.2860, 6034.000
708.5830, 5929.000
709.8800, 6016.000
711.1770, 5955.000
712.4730, 5952.000
713.7700, 6040.000
715.0660, 5985.000
716.3620, 5993.000
717.6580, 5975.000
718.9530, 6034.000
720.2480, 6013.000
721.5430, 6010.000
722.8380, 5931.000
724.1330, 6024.000
725.4270, 5943.000
726.7220, 6076.000
728.0160, 6002.000
729.3100, 5927.000
730.6030, 5984.000
731.8970, 5997.000
733.1900, 6062.000
734.4830, 6069.000
735.7760, 5964.000
737.0680, 6103.000
738.3610, 5994.000
739.6530, 6112.000
740.9450, 6047.000
742.2360, 6051.000
743.5280, 6153.000
744.8190, 6042.000
746.1100, 6066.000
747.4010, 6086.000
748.6920, 6140.000
749.9830, 6175.000
751.2730, 6181.393
752.5630, 6205.833
753.8530, 6190.000
755.1430, 6174.000
756.4320, 6175.000
757.7210, 6176.088
759.0100, 6234.000
760.2990, 6197.000
761.5880, 6211.000
762.8760, 6226.000
764.1650, 6165.000
765.4530, 6230.000
766.7400, 6219.000
768.0280, 6196.000
769.3150, 6193.000
770.6030, 6212.000
771.8900, 6208.000
773.1760, 6189.000
774.4630, 6123.000
775.7490, 6154.000
777.0360, 6122.000
778.3220, 6188.000
779.6070, 6296.000
780.8930, 6169.000
782.1780, 6274.000
783.4630, 6273.000
784.7480, 6256.000
786.0330, 6314.000
787.3180, 6188.000
788.6020, 6270.000
789.8860, 6231.000
791.1700, 6197.000
792.4540, 6310.000
793.7370, 6289.000
795.0200, 6270.000
796.3030, 6262.000
797.5860, 6284.000
798.8690, 6316.000
800.1510, 6267.000
801.4340, 6275.000
802.7160, 6230.000
803.9980, 6249.000
805.2790, 6199.000
806.5610, 6230.000
807.8420, 6247.734
809.1230, 6297.000
810.4040, 6330.000
811.6850, 6366.000
812.9650, 6441.000
814.2450, 6367.000
815.5250, 6367.000
816.8050, 6321.000
818.0850, 6462.000
819.3640, 6388.000
820.6430, 6403.000
821.9220, 6439.000
823.2010, 6360.000
824.4800, 6466.000
825.7580, 6444.000
827.0360, 6412.000
828.3140, 6437.000
829.5920, 6352.000
830.8690, 6482.000
832.1470, 6508.000
833.4240, 6429.000
834.7010, 6492.000
835.9780, 6450.000
837.2540, 6462.000
838.5310, 6484.000
839.8070, 6538.000
841.0830, 6587.000
842.3580, 6474.000
843.6340, 6534.000
844.9090, 6506.000
846.1840, 6518.000
847.4590, 6587.000
848.7340, 6486.000
850.0080, 6493.000
