##NAMES=Enstatite
##RRUFFID=R120174
##IDEAL CHEMISTRY=MgSiO_3_
##LOCALITY=Nuestra Señora del Carmen Mines, La Celia, Jumilla, Murcia, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Transparent, pale greenish-brown bladed crystals associated with R120173 pseudobrookite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120174
3.351505e+002, 1.521259e+002
3.356326e+002, 1.512024e+002
3.361147e+002, 1.501525e+002
3.365968e+002, 1.489436e+002
3.370789e+002, 1.476512e+002
3.375610e+002, 1.463288e+002
3.380432e+002, 1.449450e+002
3.385253e+002, 1.434524e+002
3.390074e+002, 1.418427e+002
3.394895e+002, 1.400866e+002
3.399716e+002, 1.380869e+002
3.404537e+002, 1.358632e+002
3.409359e+002, 1.334257e+002
3.414180e+002, 1.305786e+002
3.419001e+002, 1.275856e+002
3.423822e+002, 1.248379e+002
3.428643e+002, 1.224580e+002
3.433464e+002, 1.201930e+002
3.438286e+002, 1.176757e+002
3.443107e+002, 1.147256e+002
3.447928e+002, 1.120762e+002
3.452749e+002, 1.098297e+002
3.457570e+002, 1.078377e+002
3.462391e+002, 1.060728e+002
3.467213e+002, 1.045006e+002
3.472034e+002, 1.029353e+002
3.476855e+002, 1.012156e+002
3.481676e+002, 9.932214e+001
3.486497e+002, 9.760950e+001
3.491318e+002, 9.617522e+001
3.496140e+002, 9.479093e+001
3.500961e+002, 9.337373e+001
3.505782e+002, 9.194238e+001
3.510603e+002, 9.052138e+001
3.515424e+002, 8.911736e+001
3.520245e+002, 8.777172e+001
3.525067e+002, 8.665911e+001
3.529888e+002, 8.620663e+001
3.534709e+002, 8.546052e+001
3.539530e+002, 8.395126e+001
3.544351e+002, 8.222893e+001
3.549172e+002, 8.099496e+001
3.553994e+002, 8.048421e+001
3.558815e+002, 8.029375e+001
3.563636e+002, 7.972427e+001
3.568457e+002, 7.847428e+001
3.573278e+002, 7.744841e+001
3.578099e+002, 7.669444e+001
3.582920e+002, 7.610267e+001
3.587741e+002, 7.564144e+001
3.592563e+002, 7.528194e+001
3.597384e+002, 7.496870e+001
3.602205e+002, 7.463828e+001
3.607026e+002, 7.427702e+001
3.611847e+002, 7.403661e+001
3.616668e+002, 7.406786e+001
3.621490e+002, 7.405613e+001
3.626311e+002, 7.381432e+001
3.631132e+002, 7.345773e+001
3.635953e+002, 7.321380e+001
3.640774e+002, 7.322221e+001
3.645595e+002, 7.344070e+001
3.650417e+002, 7.370922e+001
3.655238e+002, 7.432164e+001
3.660059e+002, 7.454925e+001
3.664880e+002, 7.391471e+001
3.669701e+002, 7.307516e+001
3.674522e+002, 7.269966e+001
3.679344e+002, 7.299235e+001
3.684165e+002, 7.361964e+001
3.688986e+002, 7.408792e+001
3.693807e+002, 7.436239e+001
3.698628e+002, 7.456231e+001
3.703449e+002, 7.465315e+001
3.708271e+002, 7.470973e+001
3.713092e+002, 7.475018e+001
3.717913e+002, 7.478848e+001
3.722734e+002, 7.485473e+001
3.727555e+002, 7.499756e+001
3.732376e+002, 7.521190e+001
3.737198e+002, 7.531716e+001
3.742019e+002, 7.520488e+001
3.746840e+002, 7.511401e+001
3.751661e+002, 7.510979e+001
3.756482e+002, 7.517976e+001
3.761303e+002, 7.532464e+001
3.766125e+002, 7.557345e+001
3.770946e+002, 7.583043e+001
3.775767e+002, 7.584068e+001
3.780588e+002, 7.547678e+001
3.785409e+002, 7.522801e+001
3.790230e+002, 7.527874e+001
3.795052e+002, 7.546390e+001
3.799873e+002, 7.565062e+001
3.804694e+002, 7.581353e+001
3.809515e+002, 7.605770e+001
3.814336e+002, 7.654310e+001
3.819157e+002, 7.726395e+001
3.823979e+002, 7.788427e+001
3.828800e+002, 7.830761e+001
3.833621e+002, 7.867921e+001
3.838442e+002, 7.906200e+001
3.843263e+002, 7.947047e+001
3.848084e+002, 7.996383e+001
3.852906e+002, 8.057352e+001
3.857727e+002, 8.128539e+001
3.862548e+002, 8.211267e+001
3.867369e+002, 8.310324e+001
3.872190e+002, 8.402641e+001
3.877011e+002, 8.470068e+001
3.881833e+002, 8.523926e+001
3.886654e+002, 8.579002e+001
3.891475e+002, 8.637440e+001
3.896296e+002, 8.698808e+001
3.901117e+002, 8.764510e+001
3.905938e+002, 8.834010e+001
3.910760e+002, 8.902396e+001
3.915581e+002, 8.973083e+001
3.920402e+002, 9.035256e+001
3.925223e+002, 9.070406e+001
3.930044e+002, 9.076612e+001
3.934865e+002, 9.087598e+001
3.939687e+002, 9.134233e+001
3.944508e+002, 9.188140e+001
3.949329e+002, 9.200642e+001
3.954150e+002, 9.162910e+001
3.958971e+002, 9.104844e+001
3.963792e+002, 9.047134e+001
3.968614e+002, 8.990318e+001
3.973435e+002, 8.937842e+001
3.978256e+002, 8.898345e+001
3.983077e+002, 8.855137e+001
3.987898e+002, 8.802953e+001
3.992719e+002, 8.738892e+001
3.997540e+002, 8.648729e+001
4.002361e+002, 8.518537e+001
4.007183e+002, 8.368647e+001
4.012004e+002, 8.263452e+001
4.016825e+002, 8.235784e+001
4.021646e+002, 8.187668e+001
4.026467e+002, 8.084959e+001
4.031288e+002, 7.960863e+001
4.036110e+002, 7.852946e+001
4.040931e+002, 7.770279e+001
4.045752e+002, 7.699543e+001
4.050573e+002, 7.625577e+001
4.055394e+002, 7.547392e+001
