##NAMES=Creaseyite
##RRUFFID=R140557
##IDEAL CHEMISTRY=Cu^2+^_2_Pb^2+^_2_Fe^3+^_2_Si_5_O_17_&#183;6H_2_O
##LOCALITY=Evening Star mine, Tiger Wash, Belmont Mountain, Tonopah, Osborn District, Big Horn Mts, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Ron Gibbs
##DESCRIPTION=Radiating aggregate of acicular pale-green crystals, associated with prismatic yellow hedyphane.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140557
2.672021e+002, 7.865354e+003
2.676843e+002, 7.808579e+003
2.681664e+002, 7.736108e+003
2.686485e+002, 7.645885e+003
2.691306e+002, 7.544444e+003
2.696127e+002, 7.437045e+003
2.700948e+002, 7.323208e+003
2.705770e+002, 7.206620e+003
2.710591e+002, 7.088561e+003
2.715412e+002, 6.969127e+003
2.720233e+002, 6.843878e+003
2.725054e+002, 6.712278e+003
2.729875e+002, 6.581420e+003
2.734697e+002, 6.456427e+003
2.739518e+002, 6.336021e+003
2.744339e+002, 6.222591e+003
2.749160e+002, 6.116870e+003
2.753981e+002, 6.018452e+003
2.758802e+002, 5.923001e+003
2.763624e+002, 5.831019e+003
2.768445e+002, 5.745971e+003
2.773266e+002, 5.671885e+003
2.778087e+002, 5.609452e+003
2.782908e+002, 5.547580e+003
2.787729e+002, 5.484060e+003
2.792551e+002, 5.422288e+003
2.797372e+002, 5.372893e+003
2.802193e+002, 5.337150e+003
2.807014e+002, 5.304672e+003
2.811835e+002, 5.268769e+003
2.816656e+002, 5.229557e+003
2.821478e+002, 5.195039e+003
2.826299e+002, 5.165521e+003
2.831120e+002, 5.140825e+003
2.835941e+002, 5.121255e+003
2.840762e+002, 5.106861e+003
2.845583e+002, 5.095438e+003
2.850405e+002, 5.085600e+003
2.855226e+002, 5.077547e+003
2.860047e+002, 5.073030e+003
2.864868e+002, 5.072005e+003
2.869689e+002, 5.074673e+003
2.874510e+002, 5.081566e+003
2.879332e+002, 5.092616e+003
2.884153e+002, 5.106823e+003
2.888974e+002, 5.123347e+003
2.893795e+002, 5.142500e+003
2.898616e+002, 5.165729e+003
2.903438e+002, 5.193331e+003
2.908259e+002, 5.222856e+003
2.913080e+002, 5.250166e+003
2.917901e+002, 5.276097e+003
