##NAMES=Fredrikssonite
##RRUFFID=R130112
##IDEAL CHEMISTRY=Mg_2_Mn^3+^O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Opaque reddish black striated prismatic crystals, associated with calcite and granular hausmannite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130112
2.667806e+002, 4.795993e+001
2.672627e+002, 4.834509e+001
2.677448e+002, 4.855619e+001
2.682269e+002, 4.867307e+001
2.687090e+002, 4.870343e+001
2.691912e+002, 4.858266e+001
2.696733e+002, 4.867027e+001
2.701554e+002, 4.907764e+001
2.706375e+002, 4.970922e+001
2.711196e+002, 5.014537e+001
2.716017e+002, 5.031891e+001
2.720839e+002, 5.048061e+001
2.725660e+002, 5.084303e+001
2.730481e+002, 5.146767e+001
2.735302e+002, 5.188689e+001
2.740123e+002, 5.201204e+001
2.744944e+002, 5.193653e+001
2.749766e+002, 5.193626e+001
2.754587e+002, 5.203104e+001
2.759408e+002, 5.212577e+001
2.764229e+002, 5.213231e+001
2.769050e+002, 5.203516e+001
2.773871e+002, 5.205277e+001
2.778693e+002, 5.221680e+001
2.783514e+002, 5.248537e+001
2.788335e+002, 5.276637e+001
2.793156e+002, 5.305872e+001
2.797977e+002, 5.338637e+001
2.802798e+002, 5.375562e+001
2.807620e+002, 5.416291e+001
2.812441e+002, 5.467102e+001
2.817262e+002, 5.532815e+001
2.822083e+002, 5.600446e+001
2.826904e+002, 5.638225e+001
2.831725e+002, 5.642979e+001
2.836547e+002, 5.662657e+001
2.841368e+002, 5.728468e+001
2.846189e+002, 5.835649e+001
2.851010e+002, 5.934532e+001
2.855831e+002, 6.023074e+001
2.860652e+002, 6.105918e+001
2.865474e+002, 6.189531e+001
2.870295e+002, 6.273862e+001
2.875116e+002, 6.356417e+001
2.879937e+002, 6.429172e+001
2.884758e+002, 6.497469e+001
2.889579e+002, 6.593609e+001
2.894401e+002, 6.723555e+001
2.899222e+002, 6.855515e+001
2.904043e+002, 6.942120e+001
2.908864e+002, 6.989639e+001
2.913685e+002, 7.048887e+001
2.918506e+002, 7.142569e+001
2.923328e+002, 7.261774e+001
2.928149e+002, 7.380282e+001
2.932970e+002, 7.498946e+001
2.937791e+002, 7.613801e+001
2.942612e+002, 7.719538e+001
2.947433e+002, 7.817185e+001
2.952255e+002, 7.908069e+001
2.957076e+002, 7.982590e+001
2.961897e+002, 8.055662e+001
2.966718e+002, 8.163648e+001
2.971539e+002, 8.305077e+001
2.976360e+002, 8.442578e+001
2.981182e+002, 8.526941e+001
2.986003e+002, 8.581239e+001
2.990824e+002, 8.667744e+001
2.995645e+002, 8.816490e+001
3.000466e+002, 8.991274e+001
3.005287e+002, 9.144920e+001
3.010109e+002, 9.278497e+001
3.014930e+002, 9.404874e+001
3.019751e+002, 9.532350e+001
3.024572e+002, 9.658141e+001
3.029393e+002, 9.772377e+001
3.034214e+002, 9.867851e+001
3.039036e+002, 9.963512e+001
3.043857e+002, 1.008780e+002
3.048678e+002, 1.023218e+002
3.053499e+002, 1.036810e+002
3.058320e+002, 1.046211e+002
3.063141e+002, 1.054304e+002
3.067963e+002, 1.064460e+002
3.072784e+002, 1.077670e+002
3.077605e+002, 1.092032e+002
3.082426e+002, 1.107607e+002
3.087247e+002, 1.123278e+002
3.092068e+002, 1.136376e+002
3.096890e+002, 1.143724e+002
3.101711e+002, 1.148938e+002
3.106532e+002, 1.154595e+002
3.111353e+002, 1.160773e+002
3.116174e+002, 1.168350e+002
3.120995e+002, 1.179540e+002
3.125817e+002, 1.192160e+002
3.130638e+002, 1.202860e+002
3.135459e+002, 1.209422e+002
3.140280e+002, 1.214373e+002
3.145101e+002, 1.219520e+002
3.149922e+002, 1.225076e+002
3.154744e+002, 1.229127e+002
3.159565e+002, 1.229506e+002
3.164386e+002, 1.228297e+002
3.169207e+002, 1.227869e+002
3.174028e+002, 1.232993e+002
3.178849e+002, 1.235413e+002
3.183671e+002, 1.229599e+002
3.188492e+002, 1.215990e+002
3.193313e+002, 1.205202e+002
3.198134e+002, 1.205324e+002
3.202955e+002, 1.207316e+002
3.207776e+002, 1.203988e+002
3.212598e+002, 1.188278e+002
3.217419e+002, 1.172908e+002
3.222240e+002, 1.161697e+002
3.227061e+002, 1.153675e+002
3.231882e+002, 1.143731e+002
3.236703e+002, 1.130587e+002
3.241525e+002, 1.115381e+002
3.246346e+002, 1.098736e+002
3.251167e+002, 1.077541e+002
3.255988e+002, 1.059089e+002
3.260809e+002, 1.046422e+002
3.265630e+002, 1.037187e+002
3.270452e+002, 1.024871e+002
3.275273e+002, 1.005134e+002
3.280094e+002, 9.858549e+001
3.284915e+002, 9.700948e+001
3.289736e+002, 9.607729e+001
3.294557e+002, 9.488241e+001
3.299379e+002, 9.322616e+001
3.304200e+002, 9.136305e+001
3.309021e+002, 8.971934e+001
3.313842e+002, 8.832683e+001
3.318663e+002, 8.709180e+001
3.323484e+002, 8.598852e+001
3.328306e+002, 8.503867e+001
3.333127e+002, 8.420439e+001
3.337948e+002, 8.353006e+001
3.342769e+002, 8.292790e+001
3.347590e+002, 8.229802e+001
3.352411e+002, 8.157634e+001
3.357233e+002, 8.096197e+001
3.362054e+002, 8.051390e+001
3.366875e+002, 8.022197e+001
3.371696e+002, 7.996868e+001
3.376517e+002, 7.974738e+001
3.381339e+002, 7.958086e+001
3.386160e+002, 7.948591e+001
3.390981e+002, 7.945908e+001
3.395802e+002, 7.955636e+001
3.400623e+002, 7.990095e+001
3.405444e+002, 8.032079e+001
3.410266e+002, 8.015031e+001
3.415087e+002, 7.928669e+001
3.419908e+002, 7.831609e+001
3.424729e+002, 7.756348e+001
3.429550e+002, 7.703328e+001
3.434371e+002, 7.666837e+001
3.439193e+002, 7.655837e+001
3.444014e+002, 7.643980e+001
3.448835e+002, 7.575529e+001
3.453656e+002, 7.450939e+001
3.458477e+002, 7.325488e+001
3.463298e+002, 7.237930e+001
3.468120e+002, 7.174709e+001
3.472941e+002, 7.073206e+001
3.477762e+002, 6.925232e+001
3.482583e+002, 6.771152e+001
3.487404e+002, 6.663755e+001
3.492225e+002, 6.593354e+001
3.497047e+002, 6.518543e+001
3.501868e+002, 6.419791e+001
3.506689e+002, 6.308802e+001
3.511510e+002, 6.200871e+001
3.516331e+002, 6.096576e+001
3.521152e+002, 6.001806e+001
3.525974e+002, 5.924066e+001
3.530795e+002, 5.858941e+001
3.535616e+002, 5.799968e+001
3.540437e+002, 5.753672e+001
3.545258e+002, 5.702369e+001
3.550079e+002, 5.618511e+001
3.554901e+002, 5.509768e+001
3.559722e+002, 5.408961e+001
3.564543e+002, 5.341499e+001
3.569364e+002, 5.289997e+001
3.574185e+002, 5.236874e+001
3.579006e+002, 5.179986e+001
3.583828e+002, 5.118815e+001
3.588649e+002, 5.036799e+001
3.593470e+002, 4.950262e+001
3.598291e+002, 4.891369e+001
3.603112e+002, 4.911602e+001
3.607933e+002, 4.935636e+001
3.612755e+002, 4.912689e+001
