##NAMES=Osmium
##RRUFFID=R080088
##IDEAL CHEMISTRY=Os
##LOCALITY=Goodnews Bay, Bethel Borough, Alaska, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Navy blue, fine powder
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080088
308.9938, 10.33710
309.4759, 10.27082
309.9580, 10.16298
310.4402, 9.937127
310.9223, 9.634379
311.4044, 9.408498
311.8865, 9.404531
312.3686, 9.569858
312.8507, 9.666619
313.3329, 9.647635
313.8150, 9.635901
314.2971, 9.711879
314.7792, 9.839446
315.2613, 9.958898
315.7434, 10.07092
316.2256, 10.14026
316.7077, 10.03711
317.1898, 9.642879
317.6719, 9.409204
318.1540, 9.735394
318.6361, 10.24672
319.1183, 10.52475
319.6004, 10.40839
320.0825, 10.12953
320.5646, 10.00485
321.0467, 10.06236
321.5288, 10.09481
322.0110, 10.00189
322.4931, 9.878782
322.9752, 9.793809
323.4573, 9.757806
323.9394, 9.753299
324.4215, 9.795706
324.9037, 9.882525
325.3858, 9.875673
325.8679, 9.621161
326.3500, 9.402822
326.8321, 9.488003
327.3142, 9.827099
327.7964, 10.09794
328.2785, 9.995833
328.7606, 9.617209
329.2427, 9.451830
329.7248, 9.633376
330.2069, 9.845142
330.6891, 9.879241
331.1712, 9.799659
331.6533, 9.743481
332.1354, 9.815540
332.6175, 9.927817
333.0996, 9.856720
333.5818, 9.515396
334.0639, 9.271732
334.5460, 9.437002
335.0281, 9.760943
335.5102, 9.965235
335.9923, 9.956096
336.4745, 9.863099
336.9566, 9.849035
337.4387, 9.921964
337.9208, 9.932844
338.4029, 9.758451
338.8850, 9.554270
339.3671, 9.475039
339.8492, 9.537709
340.3314, 9.649282
340.8135, 9.755497
341.2956, 9.856294
341.7777, 9.949357
342.2598, 10.04820
342.7419, 10.11634
343.2241, 10.10266
343.7062, 10.02494
344.1883, 9.974213
344.6704, 10.04635
345.1525, 10.16726
345.6346, 10.16313
346.1168, 9.998424
346.5989, 9.795671
347.0810, 9.586664
347.5631, 9.405107
348.0452, 9.328230
348.5273, 9.415298
349.0095, 9.579652
349.4916, 9.749516
349.9737, 9.925460
350.4558, 10.05405
350.9379, 10.10788
351.4200, 10.09450
351.9022, 10.03044
352.3843, 9.902395
352.8664, 9.762816
353.3485, 9.616092
353.8306, 9.479197
354.3127, 9.452273
354.7949, 9.640987
355.2770, 9.816201
355.7591, 9.609059
356.2412, 9.027460
356.7233, 8.581300
357.2054, 8.518442
357.6876, 8.683131
358.1697, 8.842436
358.6518, 8.967022
359.1339, 9.088305
359.6160, 9.255011
360.0981, 9.448289
360.5803, 9.561301
361.0624, 9.526459
361.5445, 9.447318
362.0266, 9.414075
362.5087, 9.420222
362.9908, 9.390309
363.4730, 9.246078
363.9551, 9.061174
364.4372, 9.061096
364.9193, 9.373679
365.4014, 9.642114
365.8835, 9.694919
366.3657, 9.602191
366.8478, 9.504272
367.3299, 9.448491
367.8120, 9.397086
368.2941, 9.275758
368.7762, 9.056008
369.2584, 8.896572
369.7405, 8.849908
370.2226, 8.855752
370.7047, 8.872745
371.1868, 8.890851
371.6689, 8.883517
372.1511, 8.817553
372.6332, 8.689664
373.1153, 8.612430
373.5974, 8.586676
374.0795, 8.603756
374.5616, 8.742388
375.0438, 8.925532
375.5259, 8.924502
376.0080, 8.579482
376.4901, 8.044675
376.9722, 7.877115
377.4543, 8.493480
377.9365, 8.933279
378.4186, 9.026590
378.9007, 8.928609
379.3828, 8.772120
379.8649, 8.603755
380.3470, 8.455022
380.8292, 8.368271
381.3113, 8.346886
381.7934, 8.390092
382.2755, 8.624805
382.7576, 8.806722
383.2397, 8.724960
383.7219, 8.445704
384.2040, 8.225269
384.6861, 8.283994
385.1682, 8.594818
385.6503, 8.721724
386.1324, 8.422591
386.6146, 8.200868
387.0967, 8.180741
387.5788, 8.274859
388.0609, 8.363911
388.5430, 8.397216
389.0251, 8.417804
389.5073, 8.535951
389.9894, 8.890365
390.4715, 9.041171
390.9536, 8.831083
391.4357, 8.545360
391.9178, 8.345264
392.4000, 8.254230
392.8821, 8.216676
393.3642, 8.172385
393.8463, 8.118814
394.3284, 8.152676
394.8105, 8.382195
395.2927, 8.576209
395.7748, 8.686188
396.2569, 8.704141
396.7390, 8.603038
397.2211, 8.339597
397.7032, 8.013483
398.1854, 7.863389
398.6675, 7.946630
399.1496, 8.031343
399.6317, 8.039495
400.1138, 8.032693
400.5959, 8.056195
401.0781, 8.117637
401.5602, 8.196266
402.0423, 8.267804
402.5244, 8.335103
403.0065, 8.452441
403.4886, 8.720794
403.9708, 8.893582
404.4529, 8.681515
404.9350, 8.232812
405.4171, 7.974072
405.8992, 8.281397
406.3813, 8.785377
406.8635, 8.839398
407.3456, 8.388479
407.8277, 7.996874
408.3098, 7.994332
408.7919, 8.198202
