##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
3.456790e+002, 9.478902e+001
3.461611e+002, 9.465656e+001
3.466432e+002, 9.505290e+001
3.471254e+002, 9.534487e+001
3.476075e+002, 9.528763e+001
3.480896e+002, 9.507761e+001
3.485717e+002, 9.490633e+001
3.490538e+002, 9.478514e+001
3.495359e+002, 9.480206e+001
3.500181e+002, 9.503396e+001
3.505002e+002, 9.547530e+001
3.509823e+002, 9.602676e+001
3.514644e+002, 9.689894e+001
3.519465e+002, 9.769261e+001
3.524286e+002, 9.796861e+001
3.529108e+002, 9.786189e+001
3.533929e+002, 9.805881e+001
3.538750e+002, 9.897288e+001
3.543571e+002, 1.003161e+002
3.548392e+002, 1.013635e+002
3.553214e+002, 1.020319e+002
3.558035e+002, 1.026468e+002
3.562856e+002, 1.033590e+002
3.567677e+002, 1.040866e+002
3.572498e+002, 1.047345e+002
3.577319e+002, 1.053022e+002
3.582141e+002, 1.056422e+002
3.586962e+002, 1.055313e+002
3.591783e+002, 1.049478e+002
3.596604e+002, 1.040706e+002
3.601425e+002, 1.028594e+002
3.606246e+002, 1.013947e+002
3.611068e+002, 9.976319e+001
3.615889e+002, 9.795914e+001
3.620710e+002, 9.593346e+001
3.625531e+002, 9.359715e+001
3.630352e+002, 9.094547e+001
3.635173e+002, 8.842857e+001
3.639995e+002, 8.607939e+001
3.644816e+002, 8.380446e+001
3.649637e+002, 8.157632e+001
3.654458e+002, 7.939355e+001
3.659279e+002, 7.721743e+001
3.664100e+002, 7.499974e+001
3.668922e+002, 7.284386e+001
3.673743e+002, 7.113853e+001
3.678564e+002, 6.989082e+001
3.683385e+002, 6.903586e+001
3.688206e+002, 6.895431e+001
3.693027e+002, 6.909724e+001
3.697849e+002, 6.876161e+001
3.702670e+002, 6.776985e+001
3.707491e+002, 6.656687e+001
3.712312e+002, 6.576657e+001
3.717133e+002, 6.551865e+001
3.721954e+002, 6.527791e+001
3.726776e+002, 6.508169e+001
3.731597e+002, 6.486269e+001
3.736418e+002, 6.455923e+001
3.741239e+002, 6.418670e+001
3.746060e+002, 6.383003e+001
3.750881e+002, 6.357232e+001
3.755703e+002, 6.340527e+001
3.760524e+002, 6.300606e+001
3.765345e+002, 6.209393e+001
3.770166e+002, 6.127461e+001
3.774987e+002, 6.071859e+001
3.779808e+002, 6.032894e+001
3.784630e+002, 5.993571e+001
3.789451e+002, 5.945988e+001
3.794272e+002, 5.898688e+001
3.799093e+002, 5.872117e+001
3.803914e+002, 5.873810e+001
3.808735e+002, 5.885888e+001
3.813557e+002, 5.921090e+001
3.818378e+002, 5.955762e+001
3.823199e+002, 5.964151e+001
3.828020e+002, 5.947698e+001
3.832841e+002, 5.936980e+001
3.837662e+002, 5.972703e+001
3.842484e+002, 6.066749e+001
3.847305e+002, 6.124371e+001
3.852126e+002, 6.104103e+001
3.856947e+002, 6.086040e+001
3.861768e+002, 6.102047e+001
3.866589e+002, 6.139121e+001
3.871411e+002, 6.165118e+001
3.876232e+002, 6.156786e+001
3.881053e+002, 6.129606e+001
3.885874e+002, 6.142402e+001
3.890695e+002, 6.220834e+001
3.895516e+002, 6.291492e+001
3.900338e+002, 6.317645e+001
3.905159e+002, 6.340355e+001
3.909980e+002, 6.407847e+001
3.914801e+002, 6.532745e+001
3.919622e+002, 6.662415e+001
3.924443e+002, 6.726371e+001
3.929265e+002, 6.716911e+001
3.934086e+002, 6.715414e+001
3.938907e+002, 6.727031e+001
3.943728e+002, 6.754742e+001
3.948549e+002, 6.799289e+001
3.953370e+002, 6.860587e+001
3.958192e+002, 6.938187e+001
3.963013e+002, 7.041890e+001
3.967834e+002, 7.161671e+001
3.972655e+002, 7.259249e+001
3.977476e+002, 7.322503e+001
3.982297e+002, 7.394662e+001
3.987119e+002, 7.519064e+001
3.991940e+002, 7.659892e+001
3.996761e+002, 7.765616e+001
4.001582e+002, 7.810526e+001
4.006403e+002, 7.845845e+001
4.011224e+002, 7.926045e+001
4.016046e+002, 8.049236e+001
4.020867e+002, 8.171746e+001
4.025688e+002, 8.275679e+001
4.030509e+002, 8.379709e+001
4.035330e+002, 8.512683e+001
4.040151e+002, 8.675591e+001
4.044973e+002, 8.822847e+001
4.049794e+002, 8.917232e+001
4.054615e+002, 8.987889e+001
4.059436e+002, 9.084194e+001
4.064257e+002, 9.211686e+001
4.069078e+002, 9.361208e+001
4.073900e+002, 9.536669e+001
4.078721e+002, 9.729958e+001
4.083542e+002, 9.902087e+001
4.088363e+002, 1.002702e+002
4.093184e+002, 1.015057e+002
4.098005e+002, 1.030464e+002
4.102827e+002, 1.048215e+002
4.107648e+002, 1.065584e+002
4.112469e+002, 1.081333e+002
4.117290e+002, 1.096073e+002
4.122111e+002, 1.111130e+002
4.126932e+002, 1.126807e+002
4.131754e+002, 1.141952e+002
4.136575e+002, 1.157014e+002
4.141396e+002, 1.171079e+002
4.146217e+002, 1.183272e+002
4.151038e+002, 1.193409e+002
4.155859e+002, 1.201986e+002
4.160681e+002, 1.209716e+002
4.165502e+002, 1.216798e+002
4.170323e+002, 1.219814e+002
4.175144e+002, 1.217223e+002
