##NAMES=Nenadkevichite
##RRUFFID=R070610
##IDEAL CHEMISTRY=(Na,[box])_8_Nb^5+^_4_(Si_4_O_12_)_2_(O,OH)_4_&#183;8H_2_O
##LOCALITY=Desourdy Quarry, Mount Saint Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Cluster of pale-pink translucent tabular pseudohexagonal crystals, associated with analcime
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070610
665.1478, 20200.02
665.6299, 20445.12
666.1121, 20681.17
666.5942, 20901.94
667.0763, 21119.97
667.5584, 21382.64
668.0405, 21692.82
668.5226, 21999.04
669.0048, 22275.22
669.4869, 22534.21
669.9690, 22786.99
670.4511, 23038.09
670.9332, 23312.79
671.4153, 23646.86
671.8975, 24002.03
672.3796, 24348.56
672.8617, 24683.75
673.3438, 25010.13
673.8259, 25314.91
674.3080, 25619.58
674.7902, 25939.98
675.2723, 26278.25
675.7544, 26633.60
676.2365, 27007.39
676.7186, 27394.30
677.2007, 27773.15
677.6829, 28145.34
678.1650, 28526.70
678.6471, 28922.04
679.1292, 29330.79
679.6113, 29747.42
680.0934, 30172.92
680.5756, 30589.29
681.0577, 30980.10
681.5398, 31364.49
682.0219, 31767.26
682.5040, 32188.69
