##NAMES=Fergusonite-(Ce)
##RRUFFID=R110050
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_&#183;0.3H_2_O
##LOCALITY=Mount Malosa, Zomba District, Malawi
##OWNER=RRUFF
##SOURCE=Donald M Doell
##DESCRIPTION=Brown prismatic crystals on microcline, associated with zircon
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110050
4.123798e+002, 9.122974e+003
4.128619e+002, 9.152705e+003
4.133441e+002, 9.185796e+003
4.138262e+002, 9.213791e+003
4.143083e+002, 9.234987e+003
4.147904e+002, 9.255631e+003
4.152725e+002, 9.282179e+003
4.157546e+002, 9.312893e+003
4.162368e+002, 9.344795e+003
4.167189e+002, 9.376672e+003
4.172010e+002, 9.408746e+003
4.176831e+002, 9.442356e+003
4.181652e+002, 9.477056e+003
4.186473e+002, 9.510247e+003
4.191295e+002, 9.537661e+003
4.196116e+002, 9.564040e+003
4.200937e+002, 9.593389e+003
4.205758e+002, 9.630424e+003
4.210579e+002, 9.665528e+003
4.215400e+002, 9.695516e+003
4.220222e+002, 9.721575e+003
4.225043e+002, 9.747494e+003
4.229864e+002, 9.777213e+003
4.234685e+002, 9.804072e+003
4.239506e+002, 9.825778e+003
4.244327e+002, 9.841453e+003
4.249149e+002, 9.854177e+003
4.253970e+002, 9.861238e+003
4.258791e+002, 9.867042e+003
4.263612e+002, 9.876402e+003
4.268433e+002, 9.894463e+003
4.273254e+002, 9.907713e+003
4.278076e+002, 9.914598e+003
4.282897e+002, 9.915033e+003
4.287718e+002, 9.908089e+003
4.292539e+002, 9.892327e+003
4.297360e+002, 9.871948e+003
4.302181e+002, 9.849646e+003
4.307003e+002, 9.825670e+003
4.311824e+002, 9.796622e+003
4.316645e+002, 9.760692e+003
4.321466e+002, 9.722594e+003
4.326287e+002, 9.692483e+003
4.331108e+002, 9.670910e+003
4.335930e+002, 9.646483e+003
4.340751e+002, 9.614037e+003
4.345572e+002, 9.575782e+003
4.350393e+002, 9.538038e+003
4.355214e+002, 9.501034e+003
4.360035e+002, 9.465358e+003
4.364857e+002, 9.433212e+003
4.369678e+002, 9.403303e+003
4.374499e+002, 9.371434e+003
4.379320e+002, 9.336051e+003
4.384141e+002, 9.299644e+003
4.388962e+002, 9.263105e+003
4.393784e+002, 9.227369e+003
4.398605e+002, 9.195304e+003
4.403426e+002, 9.170810e+003
4.408247e+002, 9.149037e+003
4.413068e+002, 9.125293e+003
4.417889e+002, 9.099137e+003
4.422711e+002, 9.073723e+003
4.427532e+002, 9.051270e+003
4.432353e+002, 9.030103e+003
4.437174e+002, 9.008476e+003
4.441995e+002, 8.983943e+003
4.446816e+002, 8.960899e+003
4.451638e+002, 8.939561e+003
4.456459e+002, 8.920424e+003
4.461280e+002, 8.904720e+003
4.466101e+002, 8.894266e+003
4.470922e+002, 8.885971e+003
4.475743e+002, 8.878688e+003
4.480565e+002, 8.872862e+003
4.485386e+002, 8.867110e+003
4.490207e+002, 8.863016e+003
4.495028e+002, 8.858049e+003
4.499849e+002, 8.848292e+003
