##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(S^6+^O_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
386.0909, 1607.717
386.5730, 1609.682
387.0551, 1610.552
387.5372, 1610.557
388.0193, 1610.369
388.5015, 1610.057
388.9836, 1609.865
389.4657, 1609.917
389.9478, 1610.203
390.4299, 1611.139
390.9120, 1614.328
391.3942, 1617.922
391.8763, 1619.563
392.3584, 1615.564
392.8405, 1612.174
393.3226, 1613.541
393.8047, 1618.628
394.2869, 1622.692
394.7690, 1622.308
395.2511, 1621.410
395.7332, 1622.695
396.2154, 1628.263
396.6975, 1632.508
397.1796, 1633.030
397.6617, 1631.718
398.1438, 1631.805
398.6259, 1634.036
399.1081, 1637.381
399.5902, 1642.020
400.0723, 1648.275
400.5544, 1653.429
401.0365, 1656.954
401.5186, 1659.742
402.0008, 1662.372
402.4829, 1664.309
402.9650, 1667.121
403.4471, 1671.328
403.9292, 1676.539
404.4113, 1681.185
404.8935, 1685.542
405.3756, 1688.787
405.8577, 1689.833
406.3398, 1688.078
406.8219, 1688.802
407.3040, 1692.506
407.7862, 1697.908
408.2683, 1703.108
408.7504, 1708.083
409.2325, 1714.262
409.7146, 1722.503
410.1967, 1732.227
410.6789, 1742.003
411.1610, 1751.840
411.6431, 1762.085
412.1252, 1773.025
412.6073, 1784.555
413.0894, 1796.328
413.5716, 1808.049
414.0537, 1819.910
414.5358, 1832.409
415.0179, 1845.155
415.5000, 1857.341
415.9821, 1870.410
416.4643, 1881.461
416.9464, 1887.039
417.4285, 1886.648
417.9106, 1883.307
418.3927, 1878.342
418.8748, 1871.696
419.3570, 1863.410
419.8391, 1850.334
420.3212, 1838.592
420.8033, 1831.095
421.2854, 1827.255
421.7675, 1824.041
422.2497, 1819.459
422.7318, 1816.094
423.2139, 1815.571
423.6960, 1819.315
424.1781, 1823.237
424.6602, 1827.019
425.1424, 1830.742
425.6245, 1834.398
426.1066, 1836.151
426.5887, 1840.139
427.0709, 1847.887
427.5530, 1859.386
428.0351, 1869.765
428.5172, 1878.907
428.9993, 1887.200
429.4814, 1894.838
429.9636, 1901.653
430.4457, 1908.526
430.9278, 1915.896
431.4099, 1922.978
431.8920, 1927.998
432.3741, 1930.883
432.8563, 1932.573
433.3384, 1933.547
433.8205, 1933.720
434.3026, 1932.793
434.7847, 1930.871
435.2668, 1927.076
435.7490, 1919.533
436.2311, 1909.134
436.7132, 1899.473
437.1953, 1892.157
437.6774, 1885.037
438.1595, 1874.982
438.6417, 1862.408
439.1238, 1849.017
439.6059, 1834.814
440.0880, 1820.858
440.5701, 1808.499
441.0522, 1798.024
441.5344, 1787.845
442.0165, 1776.823
442.4986, 1765.555
442.9807, 1754.824
443.4628, 1744.999
443.9449, 1735.646
444.4271, 1726.674
444.9092, 1718.050
445.3913, 1709.570
445.8734, 1699.834
446.3555, 1691.433
446.8376, 1685.964
447.3198, 1685.622
447.8019, 1684.033
448.2840, 1680.341
448.7661, 1675.650
449.2482, 1671.364
449.7303, 1666.963
450.2125, 1664.001
450.6946, 1663.311
451.1767, 1664.676
451.6588, 1664.905
452.1409, 1663.987
452.6230, 1661.993
453.1052, 1658.188
453.5873, 1652.212
454.0694, 1649.276
454.5515, 1650.528
455.0337, 1653.400
455.5158, 1653.371
455.9979, 1650.634
456.4800, 1648.143
456.9621, 1647.442
457.4442, 1647.758
457.9264, 1647.045
458.4085, 1645.360
458.8906, 1644.026
459.3727, 1644.802
459.8548, 1646.498
460.3369, 1647.059
460.8191, 1645.632
461.3012, 1644.027
461.7833, 1643.744
462.2654, 1644.371
462.7475, 1645.030
463.2296, 1645.137
463.7118, 1645.345
464.1939, 1645.968
464.6760, 1647.021
465.1581, 1648.435
465.6402, 1650.190
466.1223, 1652.241
466.6045, 1654.531
467.0866, 1657.382
467.5687, 1659.994
468.0508, 1662.603
468.5329, 1664.906
469.0150, 1666.106
469.4972, 1664.694
469.9793, 1664.504
470.4614, 1667.513
470.9435, 1674.047
471.4256, 1677.042
471.9077, 1675.397
472.3899, 1672.467
472.8720, 1671.082
473.3541, 1671.323
473.8362, 1672.279
474.3183, 1674.035
474.8004, 1676.126
475.2826, 1677.896
475.7647, 1679.305
476.2468, 1679.867
476.7289, 1677.748
477.2110, 1674.892
477.6931, 1676.663
478.1753, 1683.068
478.6574, 1689.143
479.1395, 1689.932
479.6216, 1688.018
480.1037, 1687.438
480.5858, 1690.359
481.0680, 1692.720
481.5501, 1690.931
482.0322, 1686.592
482.5143, 1683.036
482.9964, 1682.458
483.4786, 1682.232
483.9607, 1681.249
484.4428, 1679.431
484.9249, 1677.089
485.4070, 1673.954
485.8892, 1670.560
486.3713, 1667.262
486.8534, 1663.854
487.3355, 1660.867
487.8176, 1657.918
488.2997, 1655.528
488.7819, 1655.032
489.2640, 1657.478
489.7461, 1659.406
490.2282, 1659.635
490.7103, 1658.234
491.1924, 1656.368
491.6746, 1653.826
492.1567, 1651.573
492.6388, 1650.774
493.1209, 1651.208
493.6030, 1650.989
494.0851, 1649.664
494.5673, 1648.111
495.0494, 1647.450
495.5315, 1647.610
496.0136, 1648.371
496.4957, 1650.412
496.9778, 1652.545
497.4600, 1653.422
497.9421, 1653.118
498.4242, 1652.433
498.9063, 1651.951
499.3884, 1651.255
499.8705, 1649.672
500.3527, 1646.186
500.8348, 1644.085
501.3169, 1646.561
501.7990, 1650.617
502.2811, 1652.030
502.7632, 1647.084
503.2454, 1642.620
503.7275, 1640.147
504.2096, 1639.543
504.6917, 1639.407
505.1738, 1640.449
505.6559, 1641.041
506.1381, 1640.075
506.6202, 1636.897
507.1023, 1634.988
507.5844, 1634.646
508.0665, 1635.070
508.5486, 1635.165
509.0308, 1634.913
509.5129, 1634.961
509.9950, 1635.406
510.4771, 1636.271
510.9592, 1637.915
511.4413, 1640.207
511.9235, 1642.205
512.4056, 1643.650
512.8877, 1644.257
513.3698, 1642.950
513.8519, 1639.459
514.3340, 1636.887
514.8162, 1638.984
515.2983, 1642.768
515.7804, 1644.609
516.2625, 1641.825
516.7446, 1638.997
517.2267, 1637.840
517.7089, 1638.037
518.1910, 1638.809
518.6731, 1641.836
519.1552, 1643.732
519.6373, 1642.340
520.1194, 1637.069
520.6016, 1634.923
521.0837, 1637.308
521.5658, 1641.237
522.0479, 1644.887
522.5300, 1648.535
523.0121, 1650.657
523.4943, 1650.954
523.9764, 1649.925
524.4585, 1647.711
524.9406, 1644.282
525.4227, 1642.635
525.9048, 1644.768
526.3870, 1648.986
526.8691, 1650.990
527.3513, 1650.905
527.8334, 1650.480
528.3155, 1651.117
528.7976, 1652.163
529.2797, 1652.710
529.7618, 1652.647
530.2440, 1652.103
530.7261, 1650.465
531.2082, 1648.608
531.6903, 1647.681
532.1724, 1648.171
532.6545, 1649.492
533.1367, 1652.395
533.6188, 1656.154
534.1009, 1658.308
534.5830, 1656.967
535.0651, 1655.405
535.5472, 1654.709
536.0294, 1655.021
536.5115, 1655.132
536.9936, 1654.629
537.4757, 1654.516
537.9578, 1655.714
538.4399, 1658.403
538.9221, 1661.609
539.4042, 1665.801
539.8863, 1669.547
540.3684, 1669.529
540.8505, 1666.096
541.3326, 1663.455
541.8148, 1663.742
542.2969, 1665.619
542.7790, 1666.685
543.2611, 1667.067
543.7432, 1667.788
544.2253, 1670.671
544.7075, 1673.650
545.1896, 1673.993
545.6717, 1670.696
546.1538, 1668.420
546.6359, 1670.641
547.1180, 1674.576
547.6002, 1677.243
548.0823, 1676.456
548.5644, 1676.069
549.0465, 1676.783
549.5286, 1678.390
550.0107, 1680.332
550.4929, 1683.066
550.9750, 1685.394
551.4571, 1686.705
551.9392, 1686.990
552.4213, 1688.248
552.9034, 1690.796
553.3856, 1693.322
553.8677, 1694.868
554.3498, 1695.455
554.8319, 1695.128
555.3140, 1693.667
555.7961, 1692.120
556.2783, 1691.536
556.7604, 1691.956
557.2425, 1693.614
557.7246, 1697.684
558.2067, 1701.932
558.6888, 1703.931
559.1710, 1704.215
559.6531, 1704.519
560.1352, 1706.179
560.6173, 1707.739
561.0994, 1707.936
561.5815, 1706.395
562.0637, 1706.045
562.5458, 1707.628
563.0279, 1710.512
563.5100, 1714.252
563.9921, 1719.510
564.4742, 1724.444
564.9564, 1728.909
565.4385, 1733.059
565.9206, 1737.031
566.4027, 1740.656
566.8848, 1744.691
567.3669, 1749.413
567.8491, 1754.614
568.3312, 1759.566
568.8133, 1764.250
569.2954, 1768.761
569.7775, 1771.830
570.2596, 1775.120
570.7418, 1782.430
571.2239, 1794.176
571.7060, 1805.777
572.1881, 1812.828
572.6702, 1818.252
573.1523, 1825.446
573.6345, 1835.908
574.1166, 1846.915
574.5987, 1857.067
575.0808, 1867.074
575.5629, 1878.324
576.0450, 1889.834
576.5272, 1903.785
577.0093, 1921.173
577.4914, 1941.411
577.9735, 1961.039
578.4556, 1978.908
578.9377, 1998.244
579.4199, 2021.057
579.9020, 2047.125
580.3841, 2074.521
580.8662, 2103.083
581.3483, 2133.441
581.8304, 2166.378
582.3126, 2201.408
582.7947, 2237.000
583.2768, 2273.136
583.7589, 2308.970
584.2410, 2342.826
584.7231, 2375.761
585.2053, 2409.874
585.6874, 2446.937
586.1696, 2484.519
586.6517, 2521.915
587.1338, 2558.834
587.6159, 2594.228
588.0980, 2628.762
588.5801, 2660.740
589.0623, 2688.731
589.5444, 2712.046
590.0265, 2736.364
590.5086, 2763.480
590.9907, 2789.325
591.4728, 2810.380
591.9550, 2825.735
592.4371, 2841.731
592.9192, 2859.376
593.4013, 2876.275
593.8834, 2891.388
594.3655, 2903.685
594.8477, 2906.511
595.3298, 2898.388
595.8119, 2879.024
596.2940, 2847.173
596.7761, 2803.651
597.2582, 2750.235
597.7404, 2682.242
598.2225, 2609.014
598.7046, 2534.905
599.1867, 2460.595
599.6688, 2390.005
600.1509, 2322.173
600.6331, 2259.023
601.1152, 2202.717
601.5973, 2153.794
602.0794, 2108.813
602.5615, 2067.413
603.0436, 2030.678
603.5258, 2000.924
604.0079, 1979.061
604.4900, 1959.950
604.9721, 1943.360
605.4542, 1928.683
605.9363, 1914.162
606.4185, 1900.230
606.9006, 1889.453
607.3827, 1884.846
607.8648, 1883.178
608.3469, 1880.412
608.8290, 1876.597
609.3112, 1872.130
609.7933, 1866.539
610.2754, 1860.822
610.7575, 1856.259
611.2396, 1853.475
611.7217, 1848.261
612.2039, 1837.802
612.6860, 1825.529
613.1681, 1813.909
613.6502, 1803.724
614.1323, 1792.923
614.6144, 1780.391
615.0966, 1768.304
615.5787, 1760.059
616.0608, 1756.411
616.5429, 1751.986
617.0250, 1745.141
617.5071, 1737.283
617.9893, 1731.506
618.4714, 1727.734
618.9535, 1725.417
619.4356, 1725.481
619.9177, 1726.128
620.3998, 1724.817
620.8820, 1721.723
621.3641, 1718.635
621.8462, 1716.672
622.3283, 1714.960
622.8104, 1712.667
623.2925, 1709.258
623.7747, 1706.896
624.2568, 1707.008
