##NAMES=Corundum
##RRUFFID=X080007
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted ruby gemstone, 6.22 ct
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X080007
472.7271, 18565.05
473.2093, 18551.93
473.6914, 18543.19
474.1735, 18537.63
474.6556, 18534.27
475.1377, 18536.08
475.6198, 18530.14
476.1020, 18503.45
476.5841, 18475.62
477.0662, 18468.23
477.5483, 18479.60
478.0304, 18487.79
478.5125, 18474.81
478.9947, 18443.95
479.4768, 18425.36
479.9589, 18431.61
480.4410, 18434.44
480.9231, 18425.93
481.4052, 18414.39
481.8874, 18409.92
482.3695, 18414.26
482.8516, 18419.64
483.3337, 18416.78
483.8158, 18405.02
484.2979, 18390.56
484.7801, 18367.97
485.2622, 18349.04
485.7443, 18339.15
486.2264, 18335.25
486.7085, 18332.97
487.1906, 18331.07
487.6728, 18328.00
488.1549, 18321.10
488.6370, 18310.20
489.1191, 18298.12
489.6012, 18283.06
490.0833, 18269.90
490.5655, 18265.79
491.0476, 18268.85
491.5297, 18265.68
492.0118, 18244.21
492.4939, 18217.45
492.9760, 18203.20
493.4582, 18201.23
493.9403, 18200.14
494.4224, 18194.85
494.9045, 18186.10
495.3866, 18175.29
495.8687, 18160.93
496.3509, 18148.34
496.8330, 18139.68
497.3151, 18132.68
497.7972, 18125.02
498.2793, 18116.37
498.7614, 18107.46
499.2436, 18098.80
499.7257, 18090.42
500.2078, 18083.33
500.6899, 18082.39
501.1720, 18076.64
501.6541, 18060.82
502.1363, 18041.03
502.6184, 18022.05
503.1005, 18005.89
503.5826, 17994.68
504.0647, 17993.61
504.5468, 18004.59
505.0290, 18007.32
505.5111, 17998.62
505.9932, 17985.24
506.4753, 17967.72
506.9575, 17948.32
507.4396, 17930.63
507.9217, 17916.44
508.4038, 17902.93
508.8859, 17884.37
509.3680, 17861.37
509.8502, 17847.51
510.3323, 17850.48
510.8144, 17855.61
511.2965, 17843.97
511.7786, 17819.47
512.2607, 17804.68
512.7429, 17816.38
513.2250, 17831.03
513.7071, 17827.54
514.1892, 17808.71
514.6713, 17786.90
515.1534, 17766.18
515.6356, 17749.49
516.1177, 17744.21
516.5998, 17763.09
517.0819, 17764.10
517.5640, 17730.07
518.0461, 17691.21
518.5283, 17668.42
519.0104, 17659.92
519.4925, 17653.00
519.9746, 17639.13
520.4567, 17620.99
520.9388, 17609.08
521.4210, 17608.11
521.9031, 17604.38
522.3852, 17593.51
522.8673, 17581.56
523.3494, 17572.85
523.8315, 17567.42
524.3137, 17562.64
524.7958, 17556.71
525.2779, 17549.76
525.7600, 17543.00
526.2421, 17537.16
526.7242, 17528.46
527.2064, 17510.86
527.6885, 17491.95
528.1706, 17483.18
528.6527, 17487.90
529.1348, 17488.95
529.6169, 17472.71
530.0991, 17448.96
530.5812, 17436.00
531.0633, 17435.89
531.5454, 17433.27
532.0275, 17415.70
532.5096, 17385.90
