##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
308.5501, 595.3418
309.0323, 598.8484
309.5144, 602.8605
309.9965, 606.2829
310.4786, 607.9539
310.9607, 609.4187
311.4428, 611.8459
311.9250, 615.2288
312.4071, 618.9494
312.8892, 622.9377
313.3713, 626.8854
313.8534, 630.5010
314.3355, 633.9008
314.8177, 636.7056
315.2998, 638.3326
315.7819, 639.0093
316.2640, 640.0054
316.7461, 643.2396
317.2282, 646.2266
317.7104, 647.0980
318.1925, 644.9583
318.6746, 641.3638
319.1567, 636.0446
319.6388, 629.5517
320.1209, 623.5018
320.6031, 618.5090
321.0852, 614.0016
321.5673, 609.6580
322.0494, 605.4279
322.5315, 601.3971
323.0136, 597.7618
323.4958, 594.3171
323.9779, 590.7267
324.4600, 587.4562
324.9421, 583.5565
325.4242, 578.0686
325.9064, 569.9735
326.3885, 564.6129
326.8706, 564.4531
327.3527, 566.4094
327.8348, 567.2167
328.3170, 566.1835
328.7991, 564.6093
329.2812, 562.6074
329.7633, 560.1598
330.2454, 557.4280
330.7275, 553.1578
331.2097, 549.6172
331.6918, 548.6051
332.1739, 552.6736
332.6560, 555.0538
333.1381, 554.5557
333.6202, 551.7699
334.1024, 549.4501
334.5845, 547.5975
335.0666, 546.2347
335.5487, 545.4642
336.0308, 545.5541
336.5129, 545.5261
336.9951, 545.4584
337.4772, 545.2156
337.9593, 544.4398
338.4414, 542.9871
338.9235, 541.4538
339.4056, 539.8669
339.8878, 538.1707
340.3699, 537.6572
340.8520, 538.6801
341.3341, 540.2308
341.8162, 541.0549
342.2983, 541.0990
342.7805, 540.8604
343.2626, 540.3372
343.7447, 539.6287
344.2268, 539.4691
344.7089, 539.9581
345.1910, 540.3079
345.6732, 539.2029
346.1553, 536.9339
346.6374, 536.3043
347.1195, 538.5563
347.6016, 541.9359
348.0837, 542.4837
348.5659, 540.3730
349.0480, 538.3630
349.5301, 539.0263
350.0122, 541.2452
350.4944, 541.9550
350.9765, 540.5140
351.4586, 538.4625
351.9407, 537.4116
352.4228, 537.2845
352.9049, 537.8149
353.3871, 539.4476
353.8692, 541.4114
354.3513, 542.6436
354.8334, 543.0662
355.3155, 543.2405
355.7976, 543.7902
356.2798, 544.3489
356.7619, 544.3276
357.2440, 541.8967
357.7261, 540.0471
358.2082, 542.2737
358.6903, 547.8214
359.1725, 551.5108
359.6546, 547.9532
360.1367, 542.5513
360.6188, 540.2691
361.1009, 544.2629
361.5830, 548.4847
362.0652, 550.5530
362.5473, 550.9262
363.0294, 550.7303
363.5115, 549.5037
363.9936, 548.4637
364.4757, 548.3981
364.9579, 549.8243
365.4400, 550.8243
365.9221, 550.5593
366.4042, 549.8127
366.8863, 549.5768
367.3684, 549.7350
367.8506, 550.6799
368.3327, 553.2208
368.8148, 557.6239
369.2969, 559.9677
369.7790, 558.4498
370.2611, 556.1451
370.7433, 555.1146
371.2254, 555.3380
371.7075, 556.9541
372.1896, 560.9078
372.6717, 566.3641
373.1538, 569.6542
373.6360, 569.6951
374.1181, 569.3113
374.6002, 569.7601
375.0823, 571.1463
375.5645, 573.1334
376.0466, 576.1574
376.5287, 579.2707
377.0108, 580.3992
377.4929, 578.8630
377.9750, 578.5687
378.4572, 581.2283
378.9393, 586.5032
379.4214, 591.2689
379.9035, 595.5485
380.3856, 599.0786
380.8677, 601.1400
381.3499, 601.8663
381.8320, 602.9643
382.3141, 604.7274
382.7962, 607.1500
383.2783, 610.6959
383.7604, 615.2598
384.2426, 619.4317
384.7247, 621.5187
385.2068, 622.5814
385.6889, 625.4218
386.1710, 630.5968
386.6531, 636.4212
387.1353, 641.2594
387.6174, 645.3610
388.0995, 649.4153
388.5816, 653.5217
389.0637, 657.9202
389.5458, 663.0186
390.0280, 668.8568
390.5101, 674.8792
390.9922, 681.2426
391.4743, 687.3858
391.9564, 692.7225
392.4385, 696.4820
392.9207, 700.0773
393.4028, 704.3417
393.8849, 709.0085
394.3670, 713.3126
394.8491, 715.7249
395.3312, 718.5441
395.8134, 723.1650
396.2955, 730.2599
396.7776, 737.7809
397.2597, 746.1791
397.7418, 754.4122
398.2239, 761.1703
398.7061, 764.7978
399.1882, 768.3831
399.6703, 772.8482
400.1524, 778.2812
400.6346, 782.8558
401.1167, 786.4955
401.5988, 789.3044
402.0809, 791.1420
402.5630, 790.7192
403.0451, 791.9061
403.5273, 795.4269
404.0094, 800.5564
404.4915, 805.3728
404.9736, 810.0778
405.4557, 813.9559
405.9378, 816.4158
406.4200, 817.2641
406.9021, 819.0406
407.3842, 822.0090
407.8663, 825.2551
408.3484, 827.3500
408.8305, 828.2789
409.3127, 829.9008
409.7948, 832.7635
410.2769, 836.6674
410.7590, 841.3078
411.2411, 846.7230
411.7232, 852.0555
412.2054, 856.2012
412.6875, 859.8372
413.1696, 864.8602
413.6517, 871.8964
414.1338, 879.4090
414.6159, 885.2758
415.0981, 890.0703
415.5802, 895.3223
416.0623, 901.8251
