##NAMES=Arseniosiderite
##RRUFFID=R150061
##IDEAL CHEMISTRY=Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_&#183;3H_2_O
##LOCALITY=Las Animas mine, La Mur, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark red platy crystals, associated with bright red granular or prismatic sewardite (R060720)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150061
389.0975, 1505.847
389.5797, 1492.526
390.0618, 1475.672
390.5439, 1458.087
391.0260, 1443.985
391.5081, 1440.225
391.9902, 1435.956
392.4724, 1424.261
392.9545, 1405.977
393.4366, 1387.309
393.9187, 1373.184
394.4008, 1358.549
394.8829, 1338.982
395.3651, 1307.097
395.8472, 1279.576
396.3293, 1262.210
396.8114, 1252.354
397.2935, 1243.029
397.7756, 1237.625
398.2578, 1228.596
398.7399, 1211.414
399.2220, 1179.388
399.7041, 1155.692
400.1862, 1145.502
400.6683, 1141.469
401.1505, 1134.378
401.6326, 1123.218
402.1147, 1110.409
402.5968, 1095.587
403.0789, 1078.741
403.5610, 1064.211
404.0432, 1051.913
404.5253, 1042.089
405.0074, 1035.982
405.4895, 1035.128
405.9716, 1030.512
406.4537, 1018.754
406.9359, 1003.945
407.4180, 998.5999
407.9001, 1003.636
408.3822, 1011.996
408.8643, 1022.924
409.3464, 1035.250
409.8285, 1036.672
410.3106, 1024.293
410.7928, 1007.885
411.2749, 1000.661
411.7570, 1001.276
412.2391, 1002.572
412.7212, 1002.516
413.2033, 1000.780
413.6855, 995.3359
414.1676, 986.2906
414.6497, 978.7618
415.1318, 977.2430
415.6139, 979.9748
416.0960, 984.5655
416.5782, 992.2251
417.0603, 999.0292
417.5424, 1000.906
418.0245, 999.0237
418.5066, 997.5182
418.9887, 998.7919
419.4709, 1000.917
419.9530, 1002.895
420.4351, 1005.100
420.9172, 1005.565
421.3993, 1002.403
421.8814, 997.3747
422.3636, 993.0624
422.8457, 988.9968
423.3278, 986.7544
423.8099, 988.3203
424.2920, 994.4333
424.7741, 996.3792
425.2563, 989.4659
425.7384, 981.2134
426.2205, 977.0839
426.7026, 979.5456
427.1847, 981.8876
427.6668, 983.6233
428.1490, 984.8069
428.6311, 985.8425
429.1132, 987.3056
429.5953, 987.3887
430.0774, 984.7141
430.5595, 978.7507
431.0417, 973.5544
431.5238, 968.7767
432.0059, 965.5245
432.4880, 967.4464
432.9701, 974.6955
433.4522, 977.1274
433.9344, 968.1702
434.4165, 952.7490
434.8986, 947.3044
435.3807, 952.0195
435.8628, 957.4001
436.3449, 954.2994
436.8271, 945.7957
437.3092, 939.4357
437.7913, 937.4487
438.2734, 936.8840
438.7555, 935.4542
439.2376, 932.9810
439.7197, 928.9369
440.2018, 922.2253
440.6840, 914.2932
441.1661, 905.8841
441.6482, 896.9600
442.1303, 889.1470
442.6124, 884.1191
443.0945, 880.3504
443.5767, 876.1636
444.0588, 871.2053
444.5409, 865.5862
445.0230, 859.1041
445.5051, 851.8429
445.9872, 844.6309
446.4694, 836.2840
446.9515, 829.0620
447.4336, 824.2523
447.9157, 823.5313
448.3978, 822.2869
448.8799, 820.3445
449.3621, 817.9607
449.8442, 815.7668
450.3263, 814.4198
450.8084, 811.9509
451.2905, 807.9107
451.7726, 802.3233
452.2548, 793.8047
452.7369, 780.6274
453.2190, 768.8632
453.7011, 765.0875
454.1832, 769.4147
454.6653, 772.7894
455.1475, 773.9216
