##NAMES=Collinsite
##RRUFFID=R140626
##IDEAL CHEMISTRY=Ca_2_Mg(PO_4_)_2_&#183;2H_2_O
##LOCALITY=Near Milgun Station, Meekatharra Shire, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless bladed to prismatic crystals with pointy ends. Associated with gordonite (R130671), montgomeryite (R140625), and hydroxylapatite (R140987).
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R140626
##MEASURED CHEMISTRY=Ca_2.01_Mg_1.06_(P_1.00_O_4_)_2_·2H_2_O ; trace Mn, Fe
2.737999e+002, 8.733425e+002
2.742820e+002, 8.730576e+002
2.747642e+002, 8.737610e+002
2.752463e+002, 8.753319e+002
2.757284e+002, 8.762405e+002
2.762105e+002, 8.761695e+002
2.766926e+002, 8.759572e+002
2.771747e+002, 8.758557e+002
2.776568e+002, 8.758240e+002
2.781389e+002, 8.757658e+002
2.786211e+002, 8.756476e+002
2.791032e+002, 8.754387e+002
2.795853e+002, 8.749796e+002
2.800674e+002, 8.740589e+002
2.805495e+002, 8.731911e+002
2.810316e+002, 8.724232e+002
2.815138e+002, 8.718060e+002
2.819959e+002, 8.714226e+002
2.824780e+002, 8.713078e+002
2.829601e+002, 8.714567e+002
2.834422e+002, 8.718716e+002
2.839243e+002, 8.724312e+002
2.844065e+002, 8.734150e+002
2.848886e+002, 8.753331e+002
2.853707e+002, 8.775975e+002
2.858528e+002, 8.792268e+002
2.863349e+002, 8.798427e+002
2.868170e+002, 8.801053e+002
2.872992e+002, 8.811635e+002
2.877813e+002, 8.831711e+002
2.882634e+002, 8.853273e+002
2.887455e+002, 8.875149e+002
2.892276e+002, 8.897784e+002
2.897097e+002, 8.921230e+002
2.901919e+002, 8.945453e+002
2.906740e+002, 8.971384e+002
2.911561e+002, 9.001501e+002
2.916382e+002, 9.036566e+002
2.921203e+002, 9.068663e+002
2.926024e+002, 9.091042e+002
2.930846e+002, 9.113470e+002
2.935667e+002, 9.147028e+002
2.940488e+002, 9.193098e+002
2.945309e+002, 9.241977e+002
2.950130e+002, 9.285013e+002
2.954951e+002, 9.322007e+002
2.959773e+002, 9.359774e+002
2.964594e+002, 9.404252e+002
2.969415e+002, 9.445391e+002
2.974236e+002, 9.481580e+002
2.979057e+002, 9.510691e+002
2.983878e+002, 9.517206e+002
2.988700e+002, 9.484964e+002
2.993521e+002, 9.418115e+002
2.998342e+002, 9.357310e+002
3.003163e+002, 9.307985e+002
3.007984e+002, 9.260067e+002
3.012805e+002, 9.207697e+002
3.017627e+002, 9.151484e+002
3.022448e+002, 9.092702e+002
3.027269e+002, 9.029280e+002
3.032090e+002, 8.965678e+002
3.036911e+002, 8.913990e+002
3.041732e+002, 8.877805e+002
3.046554e+002, 8.845764e+002
3.051375e+002, 8.810303e+002
3.056196e+002, 8.774969e+002
3.061017e+002, 8.750429e+002
3.065838e+002, 8.743062e+002
3.070659e+002, 8.744138e+002
3.075481e+002, 8.736367e+002
3.080302e+002, 8.717916e+002
3.085123e+002, 8.700549e+002
3.089944e+002, 8.690918e+002
3.094765e+002, 8.684278e+002
3.099586e+002, 8.670389e+002
3.104408e+002, 8.644991e+002
3.109229e+002, 8.619386e+002
3.114050e+002, 8.610730e+002
3.118871e+002, 8.619069e+002
3.123692e+002, 8.627279e+002
3.128513e+002, 8.632045e+002
3.133335e+002, 8.634899e+002
3.138156e+002, 8.637706e+002
3.142977e+002, 8.640711e+002
3.147798e+002, 8.643275e+002
3.152619e+002, 8.646392e+002
3.157440e+002, 8.649272e+002
3.162262e+002, 8.644178e+002
3.167083e+002, 8.622144e+002
3.171904e+002, 8.597747e+002
3.176725e+002, 8.584052e+002
3.181546e+002, 8.580795e+002
3.186367e+002, 8.578006e+002
3.191188e+002, 8.567357e+002
3.196010e+002, 8.552207e+002
3.200831e+002, 8.547165e+002
3.205652e+002, 8.559014e+002
3.210473e+002, 8.573835e+002
