##NAMES=Kegelite
##RRUFFID=R080021
##IDEAL CHEMISTRY=Pb^2+^_4_Al_2_Si_4_O_10_(S^6+^O_4_)(CO_3_)_2_(OH)_4_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless sectile crystal plates with perfect (100) cleavage, associated with mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080021
707.9313, 210.7636
708.4135, 210.3186
708.8956, 209.4387
709.3777, 208.5126
709.8598, 207.5130
710.3419, 206.6036
710.8240, 205.9994
711.3062, 205.5915
711.7883, 205.0948
712.2704, 204.4561
712.7525, 203.8785
713.2346, 203.6270
713.7167, 203.4711
714.1989, 203.1718
714.6810, 202.6606
715.1631, 202.0537
715.6452, 201.2369
716.1273, 200.4103
716.6094, 199.7618
717.0916, 199.2934
717.5737, 199.0313
718.0558, 199.0217
718.5379, 199.1540
719.0200, 199.2956
719.5021, 199.4264
719.9843, 199.3889
720.4664, 199.0457
720.9485, 198.6489
721.4306, 198.4766
721.9127, 198.4885
722.3948, 198.5972
722.8770, 198.9959
723.3591, 199.2462
723.8412, 199.0682
724.3233, 198.5635
724.8054, 198.1670
725.2875, 197.7961
725.7697, 197.7134
726.2518, 198.1568
726.7339, 198.9504
727.2160, 199.1028
727.6981, 198.5620
728.1802, 198.0323
728.6624, 197.9099
729.1445, 198.0689
729.6266, 198.3388
730.1087, 198.6875
730.5908, 198.8795
731.0729, 198.5634
