##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
383.8519, 43.35816
384.3340, 43.28366
384.8161, 43.20426
385.2982, 43.11586
385.7803, 43.03268
386.2624, 43.00785
386.7445, 43.09283
387.2267, 43.08080
387.7088, 42.81664
388.1909, 42.46251
388.6730, 42.26357
389.1551, 42.27191
389.6372, 42.30959
390.1194, 42.16624
390.6015, 41.79737
391.0836, 41.56512
391.5657, 41.56936
392.0478, 41.62136
392.5299, 41.67254
393.0121, 41.68273
393.4942, 41.53503
393.9763, 41.12667
394.4584, 40.53029
394.9405, 40.13265
395.4226, 40.07790
395.9048, 40.02911
396.3869, 39.94053
396.8690, 39.82900
397.3511, 39.70953
397.8332, 39.58886
398.3153, 39.47747
398.7975, 39.40104
399.2796, 39.41257
399.7617, 39.31220
400.2438, 39.06083
400.7259, 38.75066
401.2080, 38.39748
401.6902, 38.02702
402.1723, 37.68774
402.6544, 37.41280
403.1365, 37.20380
403.6186, 37.08436
404.1007, 37.21649
404.5829, 37.24348
405.0650, 37.04381
405.5471, 36.72937
406.0292, 36.41736
406.5113, 36.15372
406.9934, 35.94395
407.4756, 35.80972
407.9577, 35.79109
408.4398, 35.72624
408.9219, 35.57787
409.4040, 35.39668
409.8861, 35.19861
410.3683, 34.98930
410.8504, 34.77635
411.3325, 34.54456
411.8146, 34.30584
412.2967, 34.17091
412.7788, 34.20996
413.2610, 34.23308
413.7431, 34.13758
414.2252, 33.98365
414.7073, 33.86290
415.1894, 33.82349
415.6715, 33.78384
416.1537, 33.62487
416.6358, 33.34099
417.1179, 33.04747
417.6000, 32.74066
418.0821, 32.47108
418.5642, 32.28004
419.0464, 32.16811
419.5285, 32.10420
420.0106, 32.10924
420.4927, 32.14463
420.9748, 32.12419
421.4569, 32.03465
421.9391, 31.91281
422.4212, 31.77143
422.9033, 31.61814
423.3854, 31.47813
423.8675, 31.37590
424.3496, 31.26757
424.8318, 31.06833
425.3139, 30.82451
425.7960, 30.72130
426.2781, 30.85852
426.7602, 31.12587
427.2423, 31.31577
427.7245, 31.41934
428.2066, 31.49690
428.6887, 31.57876
429.1708, 31.62713
