##NAMES=Chondrodite
##RRUFFID=R110158
##IDEAL CHEMISTRY=Mg_5_(SiO_4_)_2_F_2_
##LOCALITY=Pein Pyit, Mogok, Mandalay Division, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Orange bleb enclosed in calcite, associated with red spinel
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110158
592.8577, 73348.09
593.3398, 73392.96
593.8220, 73382.73
594.3041, 73324.52
594.7862, 73270.41
595.2683, 73229.02
595.7504, 73199.88
596.2325, 73185.62
596.7147, 73183.65
597.1968, 73186.05
597.6789, 73187.05
598.1610, 73194.61
598.6431, 73225.09
599.1252, 73271.23
599.6074, 73298.88
600.0895, 73277.32
600.5716, 73250.40
601.0537, 73240.77
601.5358, 73255.52
602.0179, 73260.61
602.5001, 73250.25
602.9822, 73235.54
603.4643, 73222.33
603.9464, 73206.65
604.4285, 73211.27
604.9106, 73245.14
605.3928, 73286.11
605.8749, 73292.01
606.3570, 73266.65
606.8391, 73264.93
607.3212, 73320.30
607.8033, 73385.77
608.2855, 73374.34
608.7676, 73305.96
609.2497, 73255.20
609.7318, 73291.39
610.2139, 73339.84
610.6960, 73339.17
611.1782, 73287.34
611.6603, 73230.98
612.1424, 73179.98
612.6245, 73133.98
613.1066, 73093.61
613.5887, 73061.95
614.0709, 73031.00
614.5530, 73001.72
615.0351, 72974.15
615.5172, 72946.37
615.9993, 72916.48
616.4814, 72898.01
616.9636, 72895.58
617.4457, 72901.55
617.9278, 72899.11
618.4099, 72889.14
618.8920, 72885.11
619.3741, 72901.46
619.8563, 72918.67
620.3384, 72904.96
620.8205, 72864.02
621.3026, 72817.17
621.7847, 72767.13
622.2668, 72722.08
622.7490, 72690.92
623.2311, 72675.41
623.7132, 72662.65
624.1953, 72649.35
624.6774, 72639.66
625.1595, 72638.80
625.6417, 72666.16
626.1238, 72666.13
626.6059, 72626.05
627.0880, 72575.61
627.5701, 72556.73
628.0522, 72573.41
628.5344, 72588.04
629.0165, 72591.43
629.4986, 72590.41
629.9807, 72595.57
630.4628, 72606.77
630.9449, 72624.95
631.4271, 72656.23
631.9092, 72689.41
632.3913, 72705.90
632.8734, 72708.82
633.3555, 72722.50
633.8376, 72772.88
634.3198, 72825.20
634.8019, 72858.26
635.2840, 72867.16
635.7661, 72870.11
636.2482, 72867.39
636.7303, 72861.27
637.2125, 72853.63
637.6946, 72844.77
638.1767, 72835.12
638.6588, 72825.91
639.1409, 72816.04
639.6230, 72803.49
640.1052, 72788.92
640.5873, 72776.80
641.0694, 72769.47
641.5515, 72764.70
642.0336, 72755.84
642.5157, 72746.36
642.9979, 72746.10
643.4800, 72767.15
643.9621, 72792.49
644.4442, 72808.80
644.9263, 72817.59
645.4084, 72830.16
645.8906, 72855.49
646.3727, 72880.84
646.8548, 72901.84
647.3369, 72919.23
647.8190, 72928.66
648.3011, 72932.40
648.7833, 72924.86
649.2654, 72894.70
649.7475, 72837.73
650.2296, 72806.66
650.7117, 72806.23
651.1938, 72823.51
651.6760, 72842.75
652.1581, 72866.46
652.6402, 72902.92
653.1223, 72957.23
653.6044, 73017.67
654.0865, 73089.30
654.5687, 73158.09
655.0508, 73198.20
655.5329, 73176.08
656.0150, 73148.48
656.4971, 73128.79
656.9792, 73119.28
657.4614, 73130.12
657.9435, 73183.74
658.4256, 73225.40
658.9077, 73231.77
659.3898, 73204.85
659.8719, 73197.40
660.3541, 73213.09
660.8362, 73230.43
661.3183, 73232.02
661.8004, 73222.52
662.2825, 73221.28
662.7646, 73229.78
663.2468, 73241.52
663.7289, 73264.05
664.2110, 73281.86
664.6931, 73270.80
665.1752, 73213.77
665.6573, 73161.32
666.1395, 73132.08
666.6216, 73121.68
667.1037, 73124.55
667.5858, 73148.89
668.0679, 73176.55
668.5500, 73207.96
669.0322, 73240.91
669.5143, 73272.97
669.9964, 73307.20
670.4785, 73323.71
670.9606, 73310.75
671.4427, 73279.05
671.9249, 73250.29
672.4070, 73226.20
672.8891, 73225.13
673.3712, 73279.83
673.8533, 73350.32
674.3354, 73387.13
674.8176, 73392.16
675.2997, 73397.17
675.7818, 73426.80
676.2639, 73455.23
676.7460, 73463.22
677.2281, 73440.13
677.7103, 73431.05
678.1924, 73439.39
678.6745, 73460.16
679.1566, 73488.50
679.6387, 73522.02
680.1208, 73580.52
680.6030, 73675.22
681.0851, 73768.59
681.5672, 73808.26
682.0493, 73804.79
682.5314, 73805.84
683.0135, 73822.63
683.4957, 73846.66
683.9778, 73879.65
684.4599, 73911.92
684.9420, 73924.43
685.4241, 73882.05
685.9063, 73849.28
686.3884, 73857.59
686.8705, 73896.40
687.3526, 73926.64
687.8347, 73937.88
688.3168, 73955.83
688.7990, 73994.95
689.2811, 74049.15
689.7632, 74067.84
690.2453, 74047.13
690.7274, 74020.95
691.2095, 74000.99
691.6917, 73991.17
692.1738, 74015.86
692.6559, 74072.36
693.1380, 74111.27
693.6201, 74064.29
694.1022, 73999.50
694.5844, 73988.45
695.0665, 74047.91
695.5486, 74103.45
696.0307, 74122.84
696.5128, 74130.98
696.9949, 74149.84
697.4771, 74202.02
697.9592, 74216.30
698.4413, 74176.42
698.9234, 74121.51
699.4055, 74106.26
699.8876, 74132.80
700.3698, 74137.36
700.8519, 74106.64
701.3340, 74061.26
701.8161, 74028.85
702.2982, 74005.36
702.7803, 73977.99
703.2625, 73927.00
703.7446, 73889.90
704.2267, 73901.91
704.7088, 73945.55
705.1909, 73982.98
705.6730, 73989.38
706.1552, 74002.77
706.6373, 74031.60
707.1194, 74072.77
707.6015, 74115.00
708.0836, 74155.91
708.5657, 74199.95
709.0479, 74254.64
709.5300, 74311.96
710.0121, 74332.73
710.4942, 74317.93
710.9763, 74306.09
711.4584, 74335.23
711.9406, 74375.60
712.4227, 74390.70
712.9048, 74379.32
713.3869, 74357.80
713.8690, 74325.38
714.3511, 74293.71
714.8333, 74271.09
715.3154, 74262.95
715.7975, 74257.09
716.2796, 74263.02
716.7617, 74262.84
717.2438, 74235.10
717.7260, 74175.73
718.2081, 74150.59
718.6902, 74169.29
719.1723, 74202.97
719.6544, 74216.73
720.1365, 74218.73
720.6187, 74228.91
721.1008, 74251.61
721.5829, 74281.43
722.0650, 74309.97
722.5471, 74343.35
723.0292, 74390.76
723.5114, 74470.67
723.9935, 74541.46
724.4756, 74585.51
724.9577, 74619.34
725.4398, 74674.51
725.9219, 74758.77
726.4041, 74835.99
726.8862, 74894.46
727.3683, 74944.45
727.8504, 75012.59
728.3325, 75095.34
728.8146, 75169.77
729.2968, 75229.37
729.7789, 75271.12
730.2610, 75276.99
730.7431, 75259.45
731.2252, 75260.14
731.7073, 75313.73
732.1895, 75373.37
732.6716, 75422.13
733.1537, 75459.43
733.6358, 75487.67
734.1179, 75493.22
734.6000, 75516.63
735.0822, 75589.87
735.5643, 75703.58
736.0464, 75737.97
736.5285, 75688.80
737.0106, 75653.73
737.4927, 75721.87
737.9749, 75843.30
738.4570, 75935.95
738.9391, 75995.11
739.4212, 76042.45
739.9033, 76097.43
740.3854, 76139.78
740.8676, 76145.54
741.3497, 76093.17
741.8318, 76081.64
742.3139, 76144.84
742.7960, 76216.58
743.2781, 76248.84
743.7603, 76233.34
744.2424, 76243.33
744.7245, 76288.77
745.2066, 76328.71
745.6887, 76304.05
746.1708, 76242.23
746.6530, 76217.10
747.1351, 76246.23
747.6172, 76288.73
748.0993, 76321.96
748.5814, 76349.62
749.0635, 76374.66
749.5457, 76390.37
750.0278, 76415.23
750.5099, 76445.52
750.9920, 76487.57
751.4741, 76555.95
751.9562, 76661.90
752.4384, 76733.11
752.9205, 76750.34
753.4026, 76743.27
753.8847, 76752.91
754.3668, 76777.54
754.8489, 76818.74
755.3311, 76898.11
755.8132, 76953.32
756.2953, 76897.30
756.7774, 76784.23
757.2595, 76710.43
757.7416, 76755.16
758.2238, 76785.41
758.7059, 76765.92
759.1880, 76715.38
759.6701, 76670.05
760.1522, 76634.33
760.6343, 76592.59
761.1165, 76536.02
761.5986, 76477.40
762.0807, 76449.66
762.5628, 76449.14
763.0449, 76452.77
763.5270, 76458.20
764.0092, 76455.23
764.4913, 76424.63
764.9734, 76375.89
765.4555, 76338.73
765.9376, 76327.16
766.4197, 76324.62
766.9019, 76330.64
767.3840, 76341.22
767.8661, 76338.88
768.3482, 76318.58
768.8303, 76297.72
769.3124, 76281.08
769.7946, 76269.82
770.2767, 76267.35
770.7588, 76273.68
771.2409, 76289.47
771.7230, 76318.66
772.2051, 76355.55
772.6873, 76397.34
773.1694, 76443.30
773.6515, 76487.09
774.1336, 76529.46
774.6157, 76567.38
775.0978, 76595.27
775.5800, 76614.41
776.0621, 76652.88
776.5442, 76713.63
777.0263, 76786.24
777.5084, 76863.87
777.9905, 76947.88
778.4727, 77046.53
778.9548, 77158.85
779.4369, 77273.38
779.9190, 77382.55
780.4011, 77488.15
780.8832, 77592.98
781.3654, 77695.80
781.8475, 77797.54
782.3296, 77905.25
782.8117, 78004.96
783.2938, 78093.51
783.7759, 78172.05
784.2581, 78228.70
784.7402, 78260.23
785.2223, 78282.59
785.7044, 78327.66
786.1865, 78376.16
786.6686, 78338.38
787.1508, 78213.15
787.6329, 78066.93
788.1150, 77933.16
788.5971, 77810.33
789.0792, 77701.62
789.5613, 77606.49
790.0435, 77512.88
790.5256, 77403.14
791.0077, 77303.96
791.4898, 77229.26
791.9719, 77181.77
792.4540, 77130.70
792.9362, 77072.43
793.4183, 77023.30
793.9004, 77016.70
794.3825, 77028.59
794.8646, 76981.25
795.3467, 76868.12
795.8289, 76760.04
796.3110, 76707.90
796.7931, 76686.02
797.2752, 76679.07
