##NAMES=Chrysoberyl
##RRUFFID=X080002
##IDEAL CHEMISTRY=BeAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted purple alexandrite gemstone, 7.35 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080002
411.9804, 466.2901
412.4625, 466.9000
412.9446, 467.3143
413.4268, 467.4993
413.9089, 467.5563
414.3910, 467.3562
414.8731, 467.0227
415.3552, 467.1790
415.8373, 468.0844
416.3195, 469.4665
416.8016, 470.8973
417.2837, 472.3214
417.7658, 474.1968
418.2479, 476.6107
418.7300, 479.5553
419.2122, 483.1104
419.6943, 487.2677
420.1764, 491.8548
420.6585, 496.9292
421.1406, 502.3665
421.6227, 506.7729
422.1049, 512.3215
422.5870, 514.6942
423.0691, 510.8549
423.5512, 502.9004
424.0333, 494.1808
424.5154, 486.0008
424.9976, 478.5075
425.4797, 472.0191
425.9618, 466.4511
426.4439, 462.3482
426.9260, 460.1855
427.4081, 459.0419
427.8903, 458.5207
428.3724, 458.4457
428.8545, 458.6006
429.3366, 458.8278
429.8187, 459.1261
430.3008, 459.3773
430.7830, 458.9786
431.2651, 459.2483
431.7472, 460.8914
432.2293, 463.1308
432.7114, 464.9519
433.1935, 465.9881
433.6757, 466.7981
434.1578, 468.2886
434.6399, 470.5863
435.1220, 473.0800
435.6041, 477.3697
436.0862, 480.3900
436.5684, 480.4123
437.0505, 477.7533
437.5326, 473.7045
438.0147, 468.4220
438.4968, 462.6400
438.9789, 459.0911
439.4611, 458.3249
439.9432, 458.4335
440.4253, 459.6706
440.9074, 460.8978
441.3895, 460.6859
441.8716, 458.5489
442.3538, 456.0942
442.8359, 454.8275
443.3180, 454.5444
443.8001, 454.0372
444.2822, 452.9347
444.7643, 451.8191
445.2465, 451.2734
445.7286, 451.1974
446.2107, 451.2714
446.6928, 451.3724
447.1749, 451.6067
447.6570, 452.5286
448.1392, 453.9612
448.6213, 454.3000
449.1034, 452.5041
449.5855, 449.2108
450.0677, 446.0214
450.5498, 442.2357
451.0319, 439.9021
451.5140, 440.8543
451.9961, 442.9495
452.4782, 443.3446
452.9604, 441.5839
453.4425, 439.5023
453.9246, 439.0617
454.4067, 440.5029
454.8888, 441.0360
455.3709, 440.0038
455.8531, 438.9509
456.3352, 438.2551
456.8173, 437.9592
457.2994, 438.0978
457.7815, 438.6908
458.2636, 439.5987
458.7458, 440.5189
459.2279, 441.3181
459.7100, 442.4362
460.1921, 444.3179
460.6742, 446.1190
461.1563, 447.4680
461.6385, 448.2959
