##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
353.8817, 101.8689
354.3639, 106.5785
354.8460, 111.0872
355.3281, 114.0891
355.8102, 115.1886
356.2923, 114.6669
356.7744, 112.1327
357.2566, 107.6812
357.7387, 103.2837
358.2208, 101.1558
358.7029, 101.6552
359.1850, 102.6294
359.6671, 104.4613
360.1493, 106.3081
360.6314, 107.8629
361.1135, 109.1337
361.5956, 110.3283
362.0777, 111.6360
362.5598, 112.7476
363.0420, 112.4411
363.5241, 109.4099
364.0062, 107.0350
364.4883, 104.2399
364.9704, 103.0678
365.4525, 107.2097
365.9347, 116.6275
366.4168, 124.8134
366.8989, 122.9336
367.3810, 110.1732
367.8631, 100.5768
368.3452, 94.43109
368.8274, 92.14917
369.3095, 95.29013
369.7916, 102.0829
370.2737, 108.4975
370.7558, 113.3835
371.2379, 116.2242
371.7201, 114.7563
372.2022, 108.3055
372.6843, 104.2490
373.1664, 107.7587
373.6485, 114.2276
374.1306, 116.0455
374.6128, 111.3962
375.0949, 107.8472
375.5770, 111.3354
376.0591, 118.3637
376.5412, 120.9290
377.0233, 116.8453
377.5055, 112.8178
377.9876, 117.0317
378.4697, 130.6438
378.9518, 137.2999
379.4339, 130.9093
379.9160, 122.8034
380.3982, 119.0191
380.8803, 119.0836
381.3624, 120.9517
381.8445, 123.7284
382.3266, 126.7876
382.8087, 128.2523
383.2909, 127.1275
383.7730, 125.5289
384.2551, 123.6353
384.7372, 121.2193
385.2193, 117.1801
385.7014, 111.8810
386.1836, 107.9037
386.6657, 108.9405
387.1478, 115.5084
387.6299, 116.8273
388.1120, 106.0812
388.5941, 97.92325
389.0763, 98.13025
389.5584, 103.7046
390.0405, 110.5389
390.5226, 117.7976
391.0047, 122.9978
391.4868, 120.4671
391.9690, 109.0527
392.4511, 101.0409
392.9332, 100.7093
393.4153, 104.3268
393.8974, 109.1398
394.3795, 115.0324
394.8617, 119.2683
395.3438, 121.2231
395.8259, 120.4394
396.3080, 113.9945
396.7901, 101.1648
397.2722, 91.53931
397.7544, 93.32970
398.2365, 104.1823
398.7186, 110.2770
399.2007, 107.7733
399.6828, 104.8872
400.1649, 105.6587
400.6471, 107.9300
401.1292, 107.5303
401.6113, 103.0644
402.0934, 97.58030
402.5755, 95.65151
403.0576, 98.76797
403.5398, 101.0785
404.0219, 103.0045
404.5040, 103.8874
404.9861, 102.8853
405.4682, 100.5468
405.9503, 98.07534
406.4325, 96.16035
406.9146, 94.83603
407.3967, 94.24691
407.8788, 94.39296
408.3609, 95.32652
408.8430, 98.74015
409.3252, 101.7875
409.8073, 101.0294
410.2894, 96.32862
410.7715, 92.80592
411.2536, 96.89149
411.7357, 106.5773
412.2179, 110.7665
412.7000, 106.8754
413.1821, 101.9558
413.6642, 100.6428
414.1463, 101.7916
414.6284, 103.4626
415.1106, 105.2983
415.5927, 107.5688
416.0748, 111.7768
416.5569, 116.7497
417.0390, 118.1653
417.5211, 113.9620
418.0033, 107.8858
418.4854, 105.9187
418.9675, 110.2506
419.4496, 111.0907
419.9317, 103.1439
420.4138, 95.69511
420.8960, 95.50980
421.3781, 101.5683
421.8602, 109.2503
422.3423, 115.8288
422.8244, 121.2263
423.3065, 125.2121
423.7887, 128.7325
424.2708, 129.0892
424.7529, 122.2825
425.2350, 115.0035
425.7171, 113.8404
426.1992, 119.0817
426.6814, 124.5665
427.1635, 123.2898
427.6456, 116.0516
428.1277, 113.3243
428.6098, 118.4965
429.0919, 121.6374
429.5741, 113.1168
430.0562, 100.5265
430.5383, 96.25433
431.0204, 106.6756
431.5025, 118.4369
431.9846, 119.5533
432.4668, 112.6627
432.9489, 106.8890
433.4310, 104.3592
433.9131, 104.2765
434.3952, 106.5894
434.8773, 111.7091
435.3595, 114.3223
435.8416, 112.1565
436.3237, 109.1859
436.8058, 107.4980
437.2879, 107.0154
437.7701, 107.1088
438.2522, 107.4677
438.7343, 108.1470
439.2164, 109.2584
439.6985, 110.6288
440.1806, 112.8039
440.6628, 118.2452
441.1449, 122.4209
441.6270, 121.7029
442.1091, 116.7400
442.5912, 111.0938
443.0733, 107.6332
443.5555, 105.5153
444.0376, 100.6311
444.5197, 90.78632
445.0018, 84.34390
445.4839, 87.51720
445.9660, 94.17868
446.4482, 98.99001
446.9303, 101.3430
447.4124, 101.3811
447.8945, 97.91219
448.3766, 92.42509
448.8587, 87.20203
449.3409, 82.32688
449.8230, 80.75702
450.3051, 86.43608
450.7872, 98.15560
451.2693, 103.7108
451.7514, 97.33615
452.2336, 92.00670
452.7157, 93.16153
453.1978, 97.48581
453.6799, 100.6193
454.1620, 101.2128
454.6441, 99.99295
455.1263, 97.43160
455.6084, 92.78555
456.0905, 91.02812
456.5726, 95.63390
457.0547, 99.67931
457.5368, 100.1809
458.0190, 98.95544
458.5011, 99.29970
458.9832, 102.8504
459.4653, 107.2420
459.9474, 109.0693
460.4295, 108.2944
460.9117, 106.8012
461.3938, 103.4692
461.8759, 101.5906
462.3580, 105.3783
462.8401, 113.6435
463.3222, 120.1502
463.8044, 124.3593
464.2865, 125.2346
464.7686, 120.3081
465.2507, 110.8486
465.7328, 101.1783
466.2149, 92.75848
466.6971, 86.59395
467.1792, 84.90878
467.6613, 90.13330
468.1434, 95.04890
468.6255, 99.64934
469.1076, 103.9625
469.5898, 108.2419
470.0719, 112.2429
470.5540, 115.1229
471.0361, 116.1883
471.5182, 116.2689
472.0003, 118.5853
472.4825, 125.5418
472.9646, 128.1006
473.4467, 117.5865
473.9288, 106.8951
474.4109, 106.8978
474.8930, 116.6952
475.3752, 123.1567
475.8573, 114.8671
476.3394, 100.0108
476.8215, 93.22353
477.3036, 94.91616
477.7857, 96.62584
478.2679, 93.65941
478.7500, 88.44292
479.2321, 87.10029
479.7142, 90.98680
480.1963, 94.63320
480.6784, 96.35664
481.1606, 97.83253
481.6427, 101.6321
482.1248, 107.1516
482.6069, 110.3060
483.0890, 107.4616
483.5711, 100.3581
484.0533, 99.11471
484.5354, 110.1211
485.0175, 116.4163
485.4996, 113.7892
485.9817, 107.4113
486.4638, 100.1526
486.9460, 92.89748
487.4281, 87.18530
487.9102, 83.99053
488.3923, 83.26160
488.8744, 85.84706
489.3565, 92.58875
489.8387, 97.70735
490.3208, 97.78555
490.8029, 94.54393
491.2850, 91.84436
491.7671, 89.86499
492.2492, 87.88741
492.7314, 84.29205
493.2135, 81.36267
493.6956, 82.64241
494.1777, 87.89425
494.6598, 92.98808
495.1419, 94.59194
495.6241, 93.45956
496.1062, 94.67091
496.5883, 102.6160
497.0704, 106.6059
497.5525, 101.9923
498.0346, 95.69351
498.5168, 93.80019
498.9989, 96.68314
499.4810, 100.1185
499.9631, 100.3359
500.4452, 98.33371
500.9273, 98.11687
501.4095, 100.1859
501.8916, 101.8811
502.3737, 101.4667
502.8558, 100.3664
503.3379, 101.0147
503.8200, 103.9812
504.3022, 106.4419
504.7843, 107.1157
505.2664, 106.8532
505.7485, 106.8123
506.2306, 106.9427
506.7127, 105.7729
507.1949, 101.8148
507.6770, 96.47147
508.1591, 96.07794
508.6412, 107.4500
509.1233, 113.7542
509.6054, 110.1654
510.0876, 104.4846
