##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz. Sample used in Downs and Palmer (1994)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
345.8133, 2133.651
346.2954, 2130.914
346.7775, 2132.934
347.2596, 2136.344
347.7417, 2139.035
348.2238, 2141.229
348.7060, 2143.229
349.1881, 2144.546
349.6702, 2146.856
350.1523, 2155.785
350.6344, 2180.287
351.1165, 2191.531
351.5987, 2170.080
352.0808, 2140.016
352.5629, 2129.628
353.0450, 2143.454
353.5271, 2164.725
354.0092, 2175.074
354.4914, 2171.910
354.9735, 2170.979
355.4556, 2174.041
355.9377, 2177.107
356.4198, 2177.167
356.9019, 2175.851
357.3841, 2176.516
357.8662, 2181.012
358.3483, 2189.577
358.8304, 2203.676
359.3125, 2228.431
359.7946, 2250.774
360.2768, 2273.540
360.7589, 2290.573
361.2410, 2293.146
361.7231, 2279.597
362.2052, 2262.585
362.6873, 2259.511
363.1695, 2271.741
363.6516, 2275.267
364.1337, 2257.403
364.6158, 2241.691
365.0979, 2243.319
365.5800, 2259.821
366.0622, 2280.665
366.5443, 2302.417
367.0264, 2324.354
367.5085, 2346.333
367.9906, 2368.850
368.4727, 2387.086
368.9549, 2398.097
369.4370, 2402.453
369.9191, 2401.853
370.4012, 2390.140
370.8833, 2383.081
371.3654, 2392.941
371.8476, 2413.894
372.3297, 2433.556
372.8118, 2448.893
373.2939, 2457.773
373.7760, 2455.231
374.2581, 2434.662
374.7403, 2423.270
375.2224, 2426.989
375.7045, 2436.476
376.1866, 2444.794
376.6687, 2451.944
377.1508, 2461.789
377.6329, 2477.587
378.1151, 2498.946
378.5972, 2520.128
379.0793, 2543.273
379.5614, 2563.602
380.0435, 2582.065
380.5256, 2596.570
381.0078, 2601.482
381.4899, 2594.983
381.9720, 2587.385
382.4541, 2596.156
382.9362, 2624.739
383.4183, 2654.366
383.9005, 2685.278
384.3826, 2714.645
384.8647, 2738.969
385.3468, 2759.654
385.8289, 2782.555
386.3110, 2812.523
386.7932, 2847.393
387.2753, 2880.067
387.7574, 2908.448
388.2395, 2942.682
388.7216, 2995.626
389.2037, 3056.244
389.6859, 3102.353
390.1680, 3121.687
390.6501, 3143.692
391.1322, 3187.183
391.6143, 3247.853
392.0964, 3317.006
392.5786, 3394.246
393.0607, 3469.129
393.5428, 3523.773
394.0249, 3548.325
394.5070, 3590.900
394.9891, 3663.302
395.4713, 3746.316
395.9534, 3827.949
396.4355, 3907.955
396.9176, 3990.046
397.3997, 4075.411
397.8818, 4166.346
398.3640, 4277.490
398.8461, 4420.909
399.3282, 4572.397
399.8103, 4738.736
400.2924, 4905.890
400.7745, 5051.781
401.2567, 5173.848
401.7388, 5301.563
402.2209, 5475.410
402.7030, 5698.208
403.1851, 5929.519
403.6672, 6157.021
404.1494, 6405.512
404.6315, 6684.563
405.1136, 6990.691
405.5957, 7317.247
406.0778, 7661.949
406.5599, 8023.291
407.0421, 8393.167
407.5242, 8771.208
408.0063, 9175.513
408.4884, 9621.554
408.9705, 10091.95
409.4526, 10549.53
409.9348, 10973.74
410.4169, 11444.63
410.8990, 12038.33
411.3811, 12674.56
411.8632, 13236.08
412.3453, 13709.65
412.8275, 14163.44
413.3096, 14666.35
413.7917, 15226.09
414.2738, 15705.02
414.7559, 16104.67
415.2380, 16439.27
415.7202, 16724.60
416.2023, 16946.23
416.6844, 17083.85
417.1665, 17128.00
417.6486, 17088.80
418.1307, 16987.59
418.6129, 16835.78
419.0950, 16587.83
419.5771, 16203.17
420.0592, 15750.33
420.5413, 15244.57
421.0234, 14695.63
421.5056, 14129.77
421.9877, 13550.33
422.4698, 12968.29
422.9519, 12405.21
423.4340, 11861.36
423.9161, 11337.00
424.3983, 10828.68
424.8804, 10340.68
425.3625, 9876.478
425.8446, 9432.615
426.3267, 9020.817
426.8088, 8651.408
427.2910, 8314.934
427.7731, 7991.746
428.2552, 7674.786
428.7373, 7382.435
429.2194, 7135.887
429.7015, 6939.939
430.1837, 6743.419
430.6658, 6536.118
431.1479, 6339.769
431.6300, 6164.294
432.1121, 6006.083
432.5942, 5858.090
433.0764, 5717.775
433.5585, 5583.720
434.0406, 5453.143
434.5227, 5322.492
435.0048, 5204.557
435.4869, 5100.732
435.9691, 5008.711
436.4512, 4932.333
436.9333, 4867.979
437.4154, 4802.469
437.8975, 4724.314
438.3796, 4640.334
438.8618, 4570.201
439.3439, 4516.600
439.8260, 4459.348
440.3081, 4385.881
440.7902, 4305.215
441.2723, 4234.038
441.7545, 4174.957
442.2366, 4118.502
442.7187, 4059.571
443.2008, 4001.002
443.6829, 3946.664
444.1650, 3897.320
444.6472, 3855.284
445.1293, 3826.032
445.6114, 3810.302
446.0935, 3771.148
446.5756, 3685.356
447.0577, 3606.425
447.5399, 3549.960
448.0220, 3509.552
448.5041, 3479.404
448.9862, 3456.968
449.4683, 3433.619
449.9504, 3394.200
450.4326, 3334.228
450.9147, 3281.416
451.3968, 3240.177
451.8789, 3203.231
452.3610, 3168.060
452.8431, 3134.174
453.3253, 3100.349
453.8074, 3063.712
454.2895, 3029.204
454.7716, 3004.322
455.2537, 2988.742
455.7358, 2977.001
456.2180, 2970.629
456.7001, 2962.775
457.1822, 2939.761
457.6643, 2899.141
458.1464, 2863.876
458.6285, 2841.573
459.1106, 2824.246
459.5927, 2805.425
460.0749, 2784.964
460.5570, 2765.307
461.0391, 2748.335
461.5212, 2733.291
462.0033, 2716.727
462.4854, 2695.198
462.9676, 2677.295
463.4497, 2669.105
463.9318, 2660.987
464.4139, 2640.094
464.8960, 2607.839
465.3781, 2582.974
465.8603, 2589.612
466.3424, 2620.576
466.8245, 2628.745
467.3066, 2604.277
467.7887, 2582.228
468.2708, 2588.764
468.7530, 2605.758
469.2351, 2606.469
469.7172, 2582.531
470.1993, 2555.287
470.6814, 2535.553
471.1635, 2521.356
471.6457, 2508.295
472.1278, 2495.412
472.6099, 2487.436
473.0920, 2491.053
473.5741, 2507.238
474.0562, 2510.289
474.5384, 2497.623
475.0205, 2477.213
475.5026, 2439.155
475.9847, 2399.359
476.4668, 2382.475
476.9489, 2395.682
477.4311, 2418.132
477.9132, 2419.693
478.3953, 2397.215
478.8774, 2378.453
479.3595, 2366.003
479.8416, 2355.267
480.3238, 2345.486
480.8059, 2335.505
481.2880, 2322.442
481.7701, 2303.145
482.2522, 2284.012
482.7343, 2272.268
483.2165, 2266.536
483.6986, 2259.453
484.1807, 2247.888
484.6628, 2238.303
485.1449, 2240.914
485.6270, 2259.748
486.1092, 2266.893
486.5913, 2254.835
487.0734, 2238.025
487.5555, 2220.917
488.0376, 2205.257
488.5197, 2192.413
489.0019, 2182.955
489.4840, 2178.236
489.9661, 2182.467
490.4482, 2200.117
490.9303, 2212.459
491.4124, 2219.014
491.8946, 2218.844
492.3767, 2207.688
492.8588, 2188.978
493.3409, 2172.176
493.8230, 2162.995
494.3051, 2156.637
494.7873, 2145.251
495.2694, 2129.602
495.7515, 2119.094
496.2336, 2118.132
496.7157, 2121.447
497.1978, 2121.981
497.6800, 2119.747
498.1621, 2115.027
498.6442, 2104.083
499.1263, 2093.932
499.6084, 2089.599
500.0905, 2089.956
500.5727, 2092.135
501.0548, 2094.874
501.5369, 2096.542
502.0190, 2093.048
502.5011, 2082.600
502.9832, 2071.675
503.4654, 2056.861
503.9475, 2045.024
504.4296, 2041.986
504.9117, 2045.432
505.3938, 2047.516
505.8759, 2043.179
506.3581, 2036.439
506.8402, 2034.556
507.3223, 2036.921
507.8044, 2034.531
508.2865, 2022.851
508.7686, 2007.702
509.2508, 1997.142
509.7329, 1991.210
510.2150, 1989.344
510.6971, 1997.136
511.1792, 2003.970
511.6613, 2001.601
512.1434, 1992.666
512.6255, 1984.230
513.1077, 1979.854
513.5898, 1978.365
514.0719, 1977.543
514.5540, 1977.803
515.0361, 1977.417
515.5182, 1976.412
516.0004, 1974.490
516.4825, 1969.841
516.9646, 1963.964
517.4467, 1961.384
517.9288, 1966.369
518.4109, 1972.954
518.8931, 1973.578
519.3752, 1969.097
519.8573, 1964.812
520.3394, 1962.642
520.8215, 1960.442
521.3036, 1955.049
521.7858, 1945.365
522.2679, 1937.512
522.7500, 1931.397
523.2321, 1927.200
523.7142, 1927.082
524.1964, 1928.496
524.6785, 1926.872
525.1606, 1920.289
525.6427, 1910.929
526.1248, 1900.490
526.6069, 1887.525
527.0891, 1884.681
527.5712, 1906.481
528.0533, 1920.308
528.5354, 1897.906
529.0175, 1855.930
529.4996, 1831.184
529.9818, 1839.636
530.4639, 1858.935
530.9460, 1880.000
531.4281, 1897.924
531.9102, 1896.113
532.3923, 1869.774
532.8745, 1841.289
533.3566, 1834.980
533.8387, 1852.463
534.3208, 1864.922
534.8029, 1868.864
535.2850, 1872.368
535.7672, 1879.913
536.2493, 1886.893
536.7314, 1887.754
537.2135, 1881.126
537.6956, 1870.243
538.1777, 1854.709
538.6599, 1836.275
539.1420, 1831.458
539.6241, 1845.723
540.1062, 1858.302
540.5883, 1855.545
541.0704, 1844.424
541.5526, 1839.177
542.0347, 1842.400
542.5168, 1846.399
542.9989, 1847.455
543.4810, 1848.217
543.9631, 1854.069
544.4453, 1863.997
544.9274, 1869.167
545.4095, 1862.087
545.8916, 1846.013
546.3737, 1836.724
546.8558, 1836.425
547.3380, 1839.103
547.8201, 1847.536
548.3022, 1855.594
548.7843, 1859.056
549.2664, 1857.926
549.7485, 1854.695
550.2307, 1849.757
550.7128, 1844.215
551.1949, 1840.746
551.6770, 1838.969
552.1591, 1833.463
552.6412, 1820.788
553.1234, 1806.625
553.6055, 1800.223
554.0876, 1805.507
554.5697, 1805.508
555.0518, 1791.517
555.5339, 1780.915
556.0161, 1787.377
556.4982, 1802.767
556.9803, 1811.011
557.4624, 1805.274
557.9445, 1793.814
558.4266, 1788.454
558.9088, 1789.379
559.3909, 1791.897
559.8730, 1797.231
560.3551, 1801.397
560.8372, 1802.815
561.3193, 1801.073
561.8015, 1794.286
562.2836, 1778.562
562.7657, 1763.864
563.2478, 1755.278
563.7299, 1750.802
564.2120, 1748.569
564.6942, 1747.845
565.1763, 1746.365
565.6584, 1741.596
566.1405, 1734.521
566.6226, 1733.584
567.1047, 1743.731
567.5869, 1751.788
568.0690, 1751.475
568.5511, 1751.463
569.0332, 1760.272
569.5153, 1777.303
569.9974, 1793.035
570.4796, 1802.804
570.9617, 1807.212
571.4438, 1805.190
571.9259, 1797.543
572.4080, 1792.349
572.8901, 1793.796
573.3723, 1795.982
573.8544, 1788.796
574.3365, 1767.498
574.8186, 1753.489
575.3007, 1751.779
575.7828, 1751.676
576.2650, 1748.207
576.7471, 1743.207
577.2292, 1740.330
577.7113, 1740.936
578.1934, 1742.829
578.6755, 1742.477
579.1577, 1740.422
579.6398, 1742.960
580.1219, 1752.539
580.6040, 1760.396
581.0861, 1759.922
581.5682, 1753.762
582.0504, 1750.527
582.5325, 1753.683
583.0146, 1753.144
583.4967, 1741.962
583.9788, 1728.428
584.4609, 1719.597
584.9431, 1716.423
585.4252, 1718.452
585.9073, 1726.131
586.3894, 1736.829
586.8715, 1742.851
587.3536, 1743.720
587.8358, 1741.545
588.3179, 1734.688
588.8000, 1726.756
589.2821, 1717.147
589.7642, 1707.935
590.2463, 1707.612
590.7285, 1726.243
591.2106, 1747.002
591.6927, 1759.233
592.1748, 1764.528
592.6569, 1765.157
593.1390, 1761.923
