##NAMES=Magnesioferrite
##RRUFFID=R070127
##IDEAL CHEMISTRY=MgFe^3+^_2_O_4_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black poorly formed octahedral crystals with deep red highlites, associated with hematite and calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070127
448.6120, 823.3832
449.0941, 842.7925
449.5763, 826.4540
450.0584, 778.5671
450.5405, 756.6625
451.0226, 767.2153
451.5047, 788.7298
451.9868, 808.5454
452.4690, 827.0720
452.9511, 839.0737
453.4332, 842.8115
453.9153, 841.8818
454.3974, 841.6296
454.8795, 842.1367
455.3617, 845.1830
455.8438, 857.2012
456.3259, 871.8962
456.8080, 869.2803
457.2901, 848.2029
457.7722, 827.7456
458.2544, 826.0053
458.7365, 837.1891
459.2186, 851.8411
459.7007, 874.9181
460.1828, 891.1047
460.6649, 880.0959
461.1471, 849.4371
461.6292, 826.0760
462.1113, 827.4029
462.5934, 837.4818
463.0755, 845.0863
463.5576, 846.7343
464.0398, 852.9285
464.5219, 875.8655
465.0040, 902.2734
465.4861, 915.0989
465.9682, 900.4940
466.4503, 884.0915
466.9325, 868.5266
467.4146, 854.1047
467.8967, 847.2835
468.3788, 855.8262
468.8609, 863.2256
469.3430, 856.8582
469.8252, 826.3138
470.3073, 814.6860
470.7894, 830.9480
471.2715, 860.0807
471.7536, 872.2001
472.2357, 865.3317
472.7179, 854.9821
473.2000, 844.7702
473.6821, 835.7807
474.1642, 835.0973
474.6463, 843.2451
475.1284, 854.1999
475.6106, 865.5299
476.0927, 875.4553
476.5748, 877.2486
477.0569, 865.5851
477.5390, 852.2531
478.0211, 854.7913
478.5033, 867.9604
478.9854, 874.9966
479.4675, 858.0208
479.9496, 836.6202
480.4317, 827.5045
480.9138, 833.3831
481.3960, 840.9615
481.8781, 841.4570
482.3602, 841.8152
482.8423, 849.0793
483.3244, 877.8495
483.8065, 899.5210
484.2887, 902.4213
484.7708, 890.7951
485.2529, 888.3585
485.7350, 905.9816
486.2171, 922.3910
486.6992, 928.7434
487.1814, 921.9660
487.6635, 914.9532
488.1456, 906.7018
488.6277, 899.2845
489.1098, 896.4857
489.5919, 899.7573
490.0741, 899.3692
490.5562, 890.2495
491.0383, 876.7392
491.5204, 876.2252
492.0026, 889.2383
492.4847, 905.3474
492.9668, 919.1486
493.4489, 930.2516
493.9310, 938.1804
494.4131, 943.1734
494.8953, 943.2601
495.3774, 932.4207
495.8595, 914.9651
496.3416, 900.7907
496.8237, 890.6115
497.3058, 887.6118
497.7880, 899.3094
498.2701, 923.2222
498.7522, 941.2994
499.2343, 941.3019
499.7164, 934.8433
500.1985, 928.8323
500.6807, 920.7759
501.1628, 920.5867
501.6449, 938.1917
502.1270, 962.8651
502.6091, 976.7466
503.0912, 973.4755
503.5734, 967.2488
504.0555, 959.0921
504.5376, 949.4097
505.0197, 945.9976
505.5018, 951.6082
505.9839, 958.2613
506.4661, 959.0051
506.9482, 952.7805
507.4303, 953.5436
507.9124, 964.8755
508.3945, 978.5395
508.8766, 976.5240
509.3588, 961.3293
509.8409, 954.9130
510.3230, 974.7502
510.8051, 1005.641
511.2872, 1016.374
511.7693, 1008.287
512.2515, 1001.201
512.7336, 1013.949
513.2157, 1033.924
513.6978, 1045.775
514.1799, 1043.834
514.6620, 1039.861
515.1442, 1037.819
515.6263, 1038.427
516.1084, 1042.890
516.5905, 1061.609
517.0726, 1074.533
517.5547, 1069.246
518.0369, 1044.914
518.5190, 1034.687
519.0011, 1046.509
519.4832, 1066.426
519.9653, 1088.070
520.4474, 1115.747
520.9296, 1134.123
521.4117, 1141.141
521.8938, 1140.699
522.3759, 1138.059
522.8580, 1132.436
523.3401, 1129.839
523.8223, 1133.055
524.3044, 1140.600
524.7865, 1145.707
525.2686, 1148.254
525.7507, 1155.142
526.2328, 1181.466
526.7150, 1214.566
527.1971, 1224.577
527.6792, 1201.343
528.1613, 1176.213
528.6434, 1176.951
529.1255, 1194.733
529.6077, 1214.073
530.0898, 1233.910
530.5719, 1249.004
531.0540, 1256.155
531.5361, 1255.775
532.0182, 1252.152
532.5004, 1236.404
532.9825, 1225.330
533.4646, 1229.444
533.9467, 1260.487
534.4288, 1282.529
534.9109, 1292.352
535.3931, 1295.477
535.8752, 1298.081
536.3573, 1298.407
536.8394, 1304.108
537.3215, 1320.372
537.8036, 1342.250
538.2858, 1347.417
538.7679, 1334.135
539.2500, 1321.198
539.7321, 1321.113
540.2142, 1331.219
540.6964, 1342.526
541.1785, 1354.514
541.6606, 1367.386
542.1427, 1381.007
542.6248, 1395.565
543.1069, 1412.096
543.5891, 1438.112
544.0712, 1457.373
544.5533, 1450.202
545.0354, 1425.893
545.5175, 1412.665
545.9996, 1432.151
546.4818, 1456.066
546.9639, 1469.663
547.4460, 1468.752
547.9281, 1473.547
548.4102, 1492.992
548.8923, 1513.602
549.3745, 1523.634
549.8566, 1513.124
550.3387, 1515.207
550.8208, 1537.820
551.3029, 1571.076
551.7850, 1591.629
552.2672, 1598.586
552.7493, 1600.255
553.2314, 1595.188
553.7135, 1587.670
554.1956, 1597.005
554.6777, 1623.415
555.1599, 1653.667
555.6420, 1679.748
556.1241, 1701.140
556.6062, 1715.173
557.0883, 1718.716
557.5704, 1722.995
558.0526, 1737.040
558.5347, 1757.451
559.0168, 1778.797
559.4989, 1806.811
559.9810, 1827.231
560.4631, 1826.358
560.9453, 1807.687
561.4274, 1805.635
561.9095, 1841.279
562.3916, 1880.324
562.8737, 1907.281
563.3558, 1914.620
563.8380, 1935.557
564.3201, 1977.004
564.8022, 2023.003
565.2843, 2055.354
565.7664, 2073.054
566.2485, 2086.267
566.7307, 2095.261
567.2128, 2103.278
567.6949, 2118.462
568.1770, 2140.158
568.6591, 2161.662
569.1412, 2175.318
569.6234, 2188.397
570.1055, 2213.179
570.5876, 2249.918
571.0697, 2289.025
571.5518, 2328.576
572.0339, 2365.254
572.5161, 2394.755
572.9982, 2411.924
573.4803, 2429.585
573.9624, 2449.582
574.4445, 2472.785
574.9266, 2500.269
575.4088, 2540.028
575.8909, 2574.164
576.3730, 2596.918
576.8551, 2609.814
577.3372, 2626.891
577.8193, 2648.720
578.3015, 2673.044
578.7836, 2699.023
579.2657, 2726.352
579.7478, 2755.884
580.2299, 2787.771
580.7120, 2820.739
581.1942, 2855.295
581.6763, 2889.612
582.1584, 2917.312
582.6405, 2932.288
583.1226, 2946.363
583.6047, 2971.175
584.0869, 3004.284
584.5690, 3039.235
585.0511, 3074.947
585.5332, 3110.062
586.0153, 3142.631
586.4974, 3172.601
586.9796, 3205.939
587.4617, 3259.715
587.9438, 3305.093
588.4259, 3323.273
588.9080, 3286.391
589.3901, 3282.094
589.8723, 3324.098
590.3544, 3384.605
590.8365, 3419.570
591.3186, 3425.048
591.8007, 3442.217
592.2828, 3486.337
592.7650, 3544.177
593.2471, 3582.772
593.7292, 3603.923
594.2113, 3624.108
594.6934, 3656.840
595.1755, 3692.982
595.6577, 3720.340
596.1398, 3738.224
596.6219, 3753.264
597.1040, 3767.250
597.5862, 3781.543
598.0683, 3797.446
598.5504, 3813.914
599.0325, 3834.060
599.5146, 3860.219
599.9968, 3889.937
600.4789, 3919.800
600.9610, 3955.877
601.4431, 3981.080
601.9252, 3986.585
602.4073, 3978.126
602.8895, 3988.323
603.3716, 4022.092
603.8537, 4053.075
604.3358, 4063.262
604.8179, 4056.893
605.3000, 4058.197
605.7822, 4068.157
606.2643, 4080.825
606.7464, 4094.523
607.2285, 4106.413
607.7106, 4111.245
608.1927, 4105.527
608.6749, 4097.550
609.1570, 4093.619
609.6391, 4090.988
610.1212, 4085.087
610.6033, 4074.737
611.0854, 4060.710
611.5676, 4037.891
612.0497, 4008.646
612.5318, 3995.340
613.0139, 4011.335
613.4960, 4024.157
613.9781, 4019.852
614.4603, 3997.894
614.9424, 3963.451
615.4245, 3911.788
615.9066, 3864.300
616.3887, 3850.017
616.8708, 3861.294
617.3530, 3856.447
617.8351, 3826.884
618.3172, 3783.540
618.7993, 3725.649
619.2814, 3663.620
619.7635, 3619.301
620.2457, 3618.735
620.7278, 3623.300
621.2099, 3613.824
621.6920, 3591.362
622.1741, 3562.167
622.6563, 3520.574
623.1384, 3479.124
623.6205, 3442.385
624.1026, 3410.382
624.5847, 3384.373
625.0668, 3370.633
625.5490, 3353.449
626.0311, 3315.535
626.5132, 3254.186
626.9953, 3211.018
627.4774, 3194.470
627.9595, 3184.214
628.4417, 3146.622
628.9238, 3088.892
629.4059, 3040.577
629.8880, 3016.319
630.3701, 3000.320
630.8522, 2980.196
631.3344, 2955.525
631.8165, 2924.441
632.2986, 2870.961
632.7807, 2823.696
633.2628, 2804.199
633.7449, 2815.987
634.2271, 2812.958
634.7092, 2782.102
635.1913, 2742.929
635.6734, 2704.896
636.1555, 2667.907
636.6376, 2632.134
637.1198, 2594.240
637.6019, 2563.556
638.0840, 2556.511
638.5661, 2570.995
639.0482, 2576.292
639.5303, 2564.757
640.0125, 2542.241
640.4946, 2508.110
640.9767, 2469.103
641.4588, 2444.192
641.9409, 2467.233
642.4230, 2487.907
642.9052, 2462.433
643.3873, 2396.951
643.8694, 2343.358
644.3515, 2321.088
644.8336, 2311.357
645.3157, 2305.477
645.7979, 2302.678
646.2800, 2306.565
646.7621, 2324.941
647.2442, 2339.273
647.7263, 2329.456
648.2084, 2292.328
648.6906, 2265.116
649.1727, 2253.093
649.6548, 2248.534
650.1369, 2241.884
650.6190, 2233.830
651.1011, 2227.256
651.5833, 2228.700
652.0654, 2225.556
652.5475, 2198.374
653.0296, 2155.830
653.5117, 2122.724
653.9938, 2110.310
654.4760, 2108.848
654.9581, 2117.607
655.4402, 2136.757
655.9223, 2152.395
656.4044, 2168.691
656.8865, 2175.899
657.3687, 2166.271
657.8508, 2135.344
658.3329, 2112.634
658.8150, 2098.225
659.2971, 2091.781
659.7792, 2098.858
660.2614, 2115.593
660.7435, 2120.271
661.2256, 2106.571
661.7077, 2087.035
662.1898, 2074.395
662.6719, 2066.150
663.1541, 2057.490
663.6362, 2046.758
664.1183, 2034.843
664.6004, 2019.030
665.0825, 2001.792
665.5646, 1992.083
666.0468, 2005.347
666.5289, 2011.158
667.0110, 1998.182
667.4931, 1967.017
667.9752, 1945.854
668.4573, 1937.768
668.9395, 1930.715
669.4216, 1914.121
669.9037, 1890.472
670.3858, 1877.866
670.8679, 1878.307
671.3500, 1877.499
671.8322, 1853.772
672.3143, 1822.064
672.7964, 1808.178
673.2785, 1827.917
673.7606, 1841.578
674.2427, 1820.615
674.7249, 1782.637
675.2070, 1752.140
675.6891, 1744.934
676.1712, 1732.617
676.6533, 1706.853
677.1354, 1674.156
677.6176, 1653.445
678.0997, 1649.188
678.5818, 1641.874
679.0639, 1620.314
679.5460, 1590.992
680.0281, 1586.623
680.5103, 1605.697
680.9924, 1615.808
681.4745, 1581.264
681.9566, 1530.730
682.4387, 1507.528
682.9208, 1514.968
683.4030, 1519.085
683.8851, 1498.699
684.3672, 1468.690
684.8493, 1439.574
685.3314, 1407.888
685.8135, 1387.842
686.2957, 1389.302
686.7778, 1395.210
687.2599, 1385.873
687.7420, 1356.291
688.2241, 1332.454
688.7062, 1319.151
689.1884, 1310.867
689.6705, 1296.773
690.1526, 1278.194
690.6347, 1263.454
691.1168, 1259.258
691.5989, 1256.820
692.0811, 1246.217
692.5632, 1228.955
693.0453, 1209.958
693.5274, 1184.831
694.0095, 1164.250
694.4916, 1157.702
694.9738, 1165.550
695.4559, 1161.750
695.9380, 1136.600
696.4201, 1111.036
696.9022, 1095.076
697.3843, 1089.802
697.8665, 1083.968
698.3486, 1077.666
698.8307, 1070.384
699.3128, 1060.314
699.7949, 1048.869
700.2770, 1040.409
700.7592, 1035.512
701.2413, 1033.784
701.7234, 1040.308
702.2055, 1047.902
702.6876, 1046.698
703.1697, 1025.020
703.6519, 1006.650
704.1340, 1001.677
704.6161, 1003.170
705.0982, 997.7892
705.5803, 979.1741
706.0624, 965.5959
706.5446, 960.5208
707.0267, 962.7380
707.5088, 972.4081
707.9909, 989.8091
708.4730, 999.6776
708.9551, 989.7281
709.4373, 970.4135
709.9194, 963.1971
710.4015, 965.5368
710.8836, 962.0114
711.3657, 934.5132
