##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
391.0047, 2432.987
391.4868, 2431.263
391.9690, 2449.286
392.4511, 2464.708
392.9332, 2473.578
393.4153, 2475.422
393.8974, 2467.111
394.3795, 2448.908
394.8617, 2435.431
395.3438, 2435.848
395.8259, 2444.839
396.3080, 2455.130
396.7901, 2466.307
397.2722, 2474.920
397.7544, 2477.901
398.2365, 2476.090
398.7186, 2475.096
399.2007, 2477.337
399.6828, 2477.710
400.1649, 2471.756
400.6471, 2463.209
401.1292, 2459.338
401.6113, 2462.548
402.0934, 2467.147
402.5755, 2463.866
403.0576, 2446.903
403.5398, 2440.261
404.0219, 2454.774
404.5040, 2468.026
404.9861, 2465.410
405.4682, 2451.711
405.9503, 2440.488
406.4325, 2440.276
406.9146, 2448.939
407.3967, 2460.370
407.8788, 2480.354
408.3609, 2490.806
408.8430, 2478.311
409.3252, 2462.308
409.8073, 2459.148
410.2894, 2470.897
410.7715, 2485.746
411.2536, 2494.821
411.7357, 2498.642
412.2179, 2498.689
412.7000, 2493.281
413.1821, 2488.370
413.6642, 2490.143
414.1463, 2495.224
414.6284, 2496.584
415.1106, 2489.464
415.5927, 2482.518
416.0748, 2483.778
416.5569, 2490.589
417.0390, 2493.271
417.5211, 2487.217
418.0033, 2481.017
418.4854, 2490.104
418.9675, 2524.136
419.4496, 2539.053
419.9317, 2517.330
420.4138, 2489.078
420.8960, 2470.143
421.3781, 2462.422
421.8602, 2466.879
422.3423, 2486.096
422.8244, 2513.694
423.3065, 2521.084
423.7887, 2487.761
424.2708, 2466.039
424.7529, 2465.110
425.2350, 2474.193
425.7171, 2488.771
426.1992, 2506.063
426.6814, 2518.538
427.1635, 2517.001
427.6456, 2502.679
428.1277, 2490.115
428.6098, 2478.921
429.0919, 2470.336
429.5741, 2464.308
430.0562, 2461.305
430.5383, 2462.793
431.0204, 2470.264
431.5025, 2479.796
431.9846, 2490.237
432.4668, 2500.402
432.9489, 2505.083
433.4310, 2501.845
433.9131, 2496.559
434.3952, 2496.223
434.8773, 2501.404
435.3595, 2506.033
435.8416, 2511.009
436.3237, 2514.249
436.8058, 2513.271
437.2879, 2509.496
437.7701, 2506.222
438.2522, 2505.055
438.7343, 2505.976
439.2164, 2509.567
439.6985, 2522.203
440.1806, 2525.692
440.6628, 2510.642
441.1449, 2494.963
441.6270, 2490.458
442.1091, 2496.539
442.5912, 2505.704
443.0733, 2513.180
443.5555, 2519.006
444.0376, 2523.020
444.5197, 2524.523
445.0018, 2526.195
445.4839, 2530.408
445.9660, 2534.582
446.4482, 2537.041
446.9303, 2537.983
447.4124, 2533.876
447.8945, 2512.648
448.3766, 2486.758
448.8587, 2487.697
449.3409, 2521.519
449.8230, 2555.510
450.3051, 2563.563
450.7872, 2547.927
451.2693, 2536.790
451.7514, 2533.031
452.2336, 2530.040
452.7157, 2522.886
453.1978, 2516.219
453.6799, 2518.791
454.1620, 2532.420
454.6441, 2547.862
455.1263, 2552.860
455.6084, 2545.482
456.0905, 2538.611
456.5726, 2528.822
457.0547, 2523.309
457.5368, 2529.259
458.0190, 2539.797
458.5011, 2543.099
458.9832, 2533.228
459.4653, 2519.084
459.9474, 2513.745
460.4295, 2517.367
460.9117, 2520.609
461.3938, 2522.292
461.8759, 2522.264
462.3580, 2518.298
462.8401, 2511.677
463.3222, 2509.787
463.8044, 2516.302
464.2865, 2527.063
464.7686, 2541.532
465.2507, 2557.751
465.7328, 2568.223
466.2149, 2569.269
466.6971, 2564.330
467.1792, 2559.827
467.6613, 2555.180
468.1434, 2552.394
468.6255, 2552.706
469.1076, 2553.757
469.5898, 2556.255
470.0719, 2558.334
470.5540, 2554.447
471.0361, 2539.696
471.5182, 2520.367
472.0003, 2517.270
472.4825, 2539.962
472.9646, 2552.813
473.4467, 2538.544
473.9288, 2518.776
474.4109, 2504.434
474.8930, 2496.989
475.3752, 2497.303
475.8573, 2513.479
476.3394, 2534.713
476.8215, 2540.156
477.3036, 2529.200
477.7857, 2519.598
478.2679, 2521.132
478.7500, 2528.848
479.2321, 2529.380
479.7142, 2516.027
480.1963, 2512.868
480.6784, 2537.195
481.1606, 2565.135
481.6427, 2573.710
482.1248, 2562.876
482.6069, 2546.281
483.0890, 2533.151
483.5711, 2523.834
484.0533, 2520.133
484.5354, 2523.721
485.0175, 2530.609
485.4996, 2544.715
485.9817, 2558.309
486.4638, 2563.834
486.9460, 2561.293
487.4281, 2558.247
487.9102, 2563.044
488.3923, 2571.773
488.8744, 2571.152
489.3565, 2559.462
489.8387, 2547.622
490.3208, 2539.570
490.8029, 2535.841
491.2850, 2537.509
491.7671, 2547.228
492.2492, 2554.603
492.7314, 2554.603
493.2135, 2551.250
493.6956, 2550.081
494.1777, 2550.996
494.6598, 2547.570
495.1419, 2533.124
495.6241, 2511.352
496.1062, 2506.486
496.5883, 2537.478
497.0704, 2559.101
497.5525, 2560.893
498.0346, 2556.237
498.5168, 2555.604
498.9989, 2560.387
499.4810, 2566.230
499.9631, 2568.706
500.4452, 2569.407
500.9273, 2575.882
501.4095, 2590.478
501.8916, 2600.815
502.3737, 2599.808
502.8558, 2592.213
503.3379, 2585.679
503.8200, 2580.460
504.3022, 2575.872
504.7843, 2571.768
505.2664, 2568.117
505.7485, 2564.654
506.2306, 2561.510
506.7127, 2559.305
507.1949, 2558.165
507.6770, 2558.675
508.1591, 2563.616
508.6412, 2580.701
509.1233, 2590.773
509.6054, 2585.978
510.0876, 2579.429
510.5697, 2583.144
511.0518, 2595.475
511.5339, 2603.971
512.0161, 2597.653
512.4982, 2582.392
512.9803, 2574.330
513.4624, 2574.454
513.9445, 2576.192
514.4266, 2577.515
514.9088, 2579.248
515.3909, 2584.000
515.8730, 2592.501
516.3551, 2595.109
516.8372, 2581.646
517.3193, 2566.391
517.8015, 2564.527
518.2836, 2573.696
518.7657, 2581.004
519.2478, 2579.410
519.7299, 2572.753
