##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=CaMn^2+^_3_Mn^2+^Si_5_O_15_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
439.0625, 435.1969
439.5446, 434.7770
440.0268, 433.6837
440.5089, 432.9636
440.9910, 433.4441
441.4731, 434.4479
441.9552, 435.5008
442.4373, 436.6029
442.9195, 437.3793
443.4016, 437.4376
443.8837, 437.1290
444.3658, 436.8798
444.8479, 436.4376
445.3300, 436.4567
445.8122, 437.3725
446.2943, 439.0685
446.7764, 440.5700
447.2585, 441.5847
447.7406, 442.4826
448.2227, 443.4691
448.7049, 444.7316
449.1870, 445.7079
449.6691, 446.3169
450.1512, 446.6749
450.6333, 446.8600
451.1154, 446.5229
451.5976, 446.7990
452.0797, 448.2311
452.5618, 450.7015
453.0439, 452.3712
453.5260, 453.0775
454.0081, 453.3968
454.4903, 453.6516
454.9724, 453.8438
455.4545, 454.2907
455.9366, 455.0843
456.4187, 456.0293
456.9008, 456.6581
457.3830, 457.0503
457.8651, 457.7413
458.3472, 459.5107
458.8293, 461.5943
459.3114, 462.4995
459.7935, 462.2183
460.2757, 461.6931
460.7578, 461.3484
461.2399, 461.3275
461.7220, 461.9222
462.2041, 463.6703
462.6862, 465.2631
463.1684, 465.5356
463.6505, 464.9977
464.1326, 464.8244
464.6147, 466.0531
465.0968, 467.2956
465.5789, 467.5378
466.0611, 466.4672
466.5432, 466.3262
467.0253, 468.5824
467.5074, 471.4001
467.9895, 473.2346
468.4716, 473.2926
468.9538, 473.2772
469.4359, 473.1463
469.9180, 473.0187
470.4001, 473.3656
470.8822, 474.6244
471.3643, 475.5745
471.8465, 475.4410
472.3286, 474.0015
472.8107, 473.9425
473.2928, 475.4358
473.7749, 477.8874
474.2570, 481.4056
474.7392, 485.9721
475.2213, 488.2001
475.7034, 486.7158
476.1855, 483.2582
476.6676, 480.9594
477.1497, 479.8152
477.6319, 479.8428
478.1140, 482.0068
478.5961, 485.0322
479.0782, 486.6160
479.5603, 486.5186
480.0424, 486.1772
480.5246, 486.7136
481.0067, 487.7485
481.4888, 488.7399
481.9709, 489.3891
482.4530, 490.1003
482.9352, 491.2111
483.4173, 492.5745
483.8994, 493.7281
484.3815, 494.1333
484.8636, 494.6085
485.3457, 495.6662
485.8279, 497.6239
486.3100, 499.1035
486.7921, 499.3947
487.2742, 499.4850
487.7563, 500.2655
488.2384, 502.1783
488.7206, 504.0601
489.2027, 505.8816
489.6848, 507.5682
490.1669, 508.6915
490.6490, 508.9819
491.1311, 509.5152
491.6133, 510.9555
492.0954, 513.2907
492.5775, 515.1256
493.0596, 516.3283
493.5417, 517.5657
494.0238, 519.9538
494.5060, 523.1453
494.9881, 525.3571
495.4702, 525.7418
495.9523, 525.5537
496.4344, 526.5817
496.9165, 528.5831
497.3987, 530.6410
497.8808, 532.5402
498.3629, 534.0916
498.8450, 535.0598
499.3271, 535.4204
499.8092, 535.5109
500.2914, 534.8065
500.7735, 534.2548
501.2556, 534.7534
501.7377, 537.6249
502.2198, 540.2239
502.7019, 541.8709
503.1841, 542.8292
503.6662, 543.8364
504.1483, 544.7456
504.6304, 545.9562
505.1125, 547.6510
505.5946, 549.8798
506.0768, 552.0324
506.5589, 554.2326
507.0410, 556.1630
507.5231, 557.5153
508.0052, 558.2197
508.4873, 558.7984
508.9695, 559.2498
509.4516, 559.6796
509.9337, 560.2595
510.4158, 560.9879
510.8979, 561.8415
511.3800, 562.7348
511.8622, 563.7709
512.3443, 565.6278
512.8264, 568.2042
513.3085, 569.9697
513.7906, 568.9962
514.2728, 566.7947
514.7549, 565.3908
515.2370, 565.3821
515.7191, 565.5515
516.2012, 565.3499
516.6833, 564.7918
517.1655, 563.8963
517.6476, 561.8337
518.1297, 560.2744
518.6118, 560.1365
519.0939, 561.2792
519.5760, 561.9586
520.0582, 561.0898
520.5403, 560.4827
521.0224, 561.0789
521.5045, 563.6974
521.9866, 565.0466
522.4688, 564.5793
522.9509, 563.4358
523.4330, 562.9376
523.9151, 563.1199
524.3972, 563.7659
524.8793, 564.9110
525.3615, 566.4103
525.8436, 568.0394
526.3257, 569.7978
526.8078, 571.3071
527.2899, 572.1503
527.7720, 572.6395
528.2542, 573.5870
528.7363, 575.0458
529.2184, 576.3646
529.7005, 576.9666
530.1826, 577.0897
530.6647, 576.9650
531.1469, 576.2224
531.6290, 575.9766
532.1111, 577.0123
532.5932, 578.9797
533.0753, 581.1589
533.5574, 584.0701
534.0396, 586.4666
534.5217, 587.7073
535.0038, 587.6790
535.4859, 587.9949
535.9680, 588.7795
536.4501, 589.8157
536.9323, 590.9805
537.4144, 592.2787
537.8965, 593.7244
538.3786, 595.3268
538.8607, 597.0652
539.3428, 598.9831
539.8250, 601.1371
540.3071, 602.9667
540.7892, 604.2388
541.2713, 605.1391
541.7534, 606.0160
542.2355, 606.8748
542.7177, 607.7333
543.1998, 608.5878
543.6819, 609.4700
544.1640, 610.2750
544.6461, 610.9664
545.1282, 612.1584
545.6104, 614.9832
546.0925, 618.2462
546.5746, 620.5724
547.0567, 620.8795
547.5388, 621.1775
548.0209, 622.0068
548.5031, 623.2950
548.9852, 624.8994
549.4673, 627.4127
549.9494, 629.5784
550.4315, 630.8104
550.9136, 631.1170
551.3958, 632.4884
551.8779, 635.6465
552.3600, 638.6631
552.8421, 640.0648
553.3242, 639.5866
553.8063, 640.0716
554.2885, 641.7598
554.7706, 644.0836
555.2527, 646.4615
555.7348, 648.8627
556.2169, 651.1046
556.6990, 653.1189
557.1812, 654.9280
557.6633, 656.5866
558.1454, 658.0670
