##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
2.679111e+002, 2.839447e+002
2.683932e+002, 2.840827e+002
2.688754e+002, 2.838882e+002
2.693575e+002, 2.833168e+002
2.698396e+002, 2.824718e+002
2.703217e+002, 2.814314e+002
2.708038e+002, 2.801232e+002
2.712859e+002, 2.788969e+002
2.717681e+002, 2.779241e+002
2.722502e+002, 2.771889e+002
2.727323e+002, 2.761371e+002
2.732144e+002, 2.747390e+002
2.736965e+002, 2.731158e+002
2.741786e+002, 2.713857e+002
2.746608e+002, 2.695236e+002
2.751429e+002, 2.675995e+002
2.756250e+002, 2.655827e+002
2.761071e+002, 2.635135e+002
2.765892e+002, 2.616716e+002
2.770714e+002, 2.601780e+002
2.775535e+002, 2.586507e+002
2.780356e+002, 2.567237e+002
2.785177e+002, 2.543691e+002
2.789998e+002, 2.518656e+002
2.794819e+002, 2.491758e+002
2.799641e+002, 2.463882e+002
2.804462e+002, 2.441035e+002
2.809283e+002, 2.424277e+002
2.814104e+002, 2.407662e+002
2.818925e+002, 2.384639e+002
2.823746e+002, 2.355078e+002
2.828568e+002, 2.329870e+002
2.833389e+002, 2.312100e+002
2.838210e+002, 2.298861e+002
2.843031e+002, 2.280907e+002
2.847852e+002, 2.257434e+002
2.852673e+002, 2.236014e+002
2.857495e+002, 2.223057e+002
2.862316e+002, 2.217929e+002
2.867137e+002, 2.212074e+002
2.871958e+002, 2.204523e+002
2.876779e+002, 2.195628e+002
2.881600e+002, 2.186672e+002
2.886422e+002, 2.177686e+002
2.891243e+002, 2.166091e+002
2.896064e+002, 2.147180e+002
2.900885e+002, 2.123134e+002
2.905706e+002, 2.107198e+002
